26e9f532f21ae1b5217d968c7544a6ab7e8e1fd836a680932f6c470b90bd85e8,26a45454b393e82f58645b509c61dbd5b12bb0d458ecd5f83445e468356406cc,6b36ae3a35e069cf90ca1f4832875511612d472ff9a61bdcfa912d67d37c16d5,d3426d2e1dabcccfe128c879af607294be66708ec6f50ff1727f1897206c2389,483ee5fc8aa67533d4754345f3694d4ea2bc8c47704ea0f1c140abc611385cb6,028981724cde3b1d9eac17947c29fc3f4d33d1b7a81277622dfd6a388c61db2b,c8f04c1ec6c8f0c673ec83bc150c628bfad450d40ac5266fee01040f31c42406,ce14d86d5b442eb46a3aa00478bf2b5133ea509a2e79140aea77658850fb9dcb,2a987b74088c4c243cb15d261941e5fbd331d345e54157e62d8302167daa661b,91f5b0c5383e5de12afc70d061925a97e6ea0ba2fcf63943e4adba9e869d3777,e9af5c6856c3bc32d1d35c10450f1a9b9be4a2629665f08f816fefe828ab29f9,64c65056db04abb477b9afa447f5ca0146161d92f7429985ed036667b53aed74
"10001","0","0","0","2018/09/07 16:00:00","1000101","0","10001201","10001115","0","1000102","0"
"10001","0","0","0","0","1000102","0","0","0","0","0","1000101"
"10002","0","0","0","2018/10/13 16:00:00","1000201","0","10002201","10002115","0","1000202","0"
"10002","0","0","0","0","1000202","0","0","0","0","0","1000201"
"10003","0","0","0","2018/11/11 16:00:00","1000301","0","10003201","10003115","0","1000302","0"
"10003","0","0","0","0","1000302","0","0","0","0","0","1000301"
"10004","0","0","0","2018/12/11 16:00:00","1000401","0","10004201","10004115","0","1000402","0"
"10004","0","0","0","0","1000402","0","0","0","0","1000403","1000401"
"10004","0","0","0","0","1000403","0","0","0","0","0","1000402"
"10005","0","0","0","2019/01/13 16:00:00","1000501","0","10005201","10005115","0","1000502","0"
"10005","0","0","0","0","1000502","0","0","0","0","1000503","1000501"
"10005","0","0","0","0","1000503","0","0","0","0","0","1000502"
"10006","0","0","0","2019/02/11 12:00:00","1000601","0","10006201","10006115","0","1000602","0"
"10006","0","0","0","0","1000602","0","0","0","0","1000603","1000601"
"10006","0","0","0","0","1000603","0","0","0","0","0","1000602"
"10007","0","0","0","2019/03/13 16:00:00","1000701","0","10007201","10007115","0","1000702","0"
"10007","0","0","0","0","1000702","0","0","0","0","1000703","1000701"
"10007","0","0","0","0","1000703","0","0","0","0","0","1000702"
"10008","0","0","0","2019/04/09 16:00:00","1000801","0","10008201","10008115","0","1000802","0"
"10008","0","0","0","0","1000802","0","0","0","0","1000803","1000801"
"10008","0","0","0","0","1000803","0","0","0","0","0","1000802"
"10009","0","0","0","2019/05/09 12:00:00","1000901","0","10009201","10009115","0","1000902","0"
"10009","0","0","0","0","1000902","0","0","0","0","1000903","1000901"
"10009","0","0","0","0","1000903","0","0","0","0","0","1000902"
"10010","0","0","0","2019/06/10 12:00:00","1001001","0","10010201","10010115","0","1001002","0"
"10010","0","0","0","0","1001002","0","0","0","0","1001003","1001001"
"10010","0","0","0","0","1001003","0","0","0","0","0","1001002"
"10010","0","0","3","0","1001004","0","0","0","0","0","0"
"10011","0","0","0","2019/07/08 12:00:00","1001101","0","10011201","10011115","0","1001102","0"
"10011","0","0","0","0","1001102","0","0","0","0","1001103","1001101"
"10011","0","0","0","0","1001103","0","0","0","0","0","1001102"
"10011","0","0","3","0","1001104","0","0","0","0","0","0"
"10012","0","0","0","2019/07/24 12:00:00","1001201","0","10012201","10012115","0","1001202","0"
"10012","0","0","0","0","1001202","0","0","0","0","1001203","1001201"
"10012","0","0","0","0","1001203","0","0","0","0","0","1001202"
"10012","0","0","3","0","1001204","0","0","0","0","0","0"
"10013","0","0","0","2019/08/08 12:00:00","1001301","0","10013201","10013115","0","1001302","0"
"10013","0","0","0","0","1001302","0","0","0","0","1001303","1001301"
