cba3fa50ad6a4cde3107c52daa53ee0904df61e4a37a7eccd45d97ffd897d2ae,bf1d83bdb9bf6477ec03ca7644bd276e23eea692b294bbed00f573887fb1a340,5fabda0f349da1db30ab398c5965bcd67f8b9d77187085eb5e224064fcf831f9,5bc2b653f748a4cc03c06196b5bf522ab3b681257b5eb458ea9fe9eb3837b8a9,413e29ee5516eb61556402cc1f4d6e5670e16343168c1ca4871868b8fb2cf4e0,a41006e0fa85192a01c6b38b019156f3a9073dc9d731c2eb82c0ec2e879d1cf3
"150","1","1","0","10","150"
"400","1","2","0","10","250"
"800","1","3","0","10","400"
"150","2","1","0","20","150"
"400","2","2","0","20","250"
"800","2","3","0","20","400"
"1300","2","4","1","20","500"
"800","3","1","0","30","800"
"1800","3","2","0","30","1000"
"3000","3","3","0","30","1200"
"4400","3","4","1","30","1400"
"6000","3","5","2","30","1600"
"800","4","1","0","40","800"
"1800","4","2","0","40","1000"
"3000","4","3","0","40","1200"
"4400","4","4","1","40","1400"
"6000","4","5","2","40","1600"
"0","5","0","0","0","0"
