3eb10acd6ab38d2cff37584ac40561acf42741d8d294d37369218b01392b6e0a,bbb9d4fa6f9d3c2ca7c12f9ddd23048acc23e06c9a689ef12590be463f5ed70e,c2d93f90c60db2006db056ce714a83afc801d53f8c9b2a8d08226613e4fbd337,be813e299c5e7234a4fd10e83d188a0e38f41c5e24d4194289dce6c706da8796,a144e0cfff01bde5faafc9e13521a276d95009910a82fc08740d37fb787f3a1d,67f126f2186742ce19148bd85c5487679f0e609d9bad07260d5bc6c7b5ce98d3,27c1bdf64657b2af7befacaf820485ea9554228e4ffd8d02db8f5f8fee4a35be,39730bfbaf9e25b5d005908083fb13d9006827cecf52121b8f3f426f80da334a,cb5dc614f5f5b1f10c99918b01286b0389339d5d23e2087c325ac66bed992061,776eeff8678d601d2e2872d083d46f620124095db5f8a205ee92828349975e8b,58e45defb974d4d47b45480f4685289be94a757e4606428eb1d00a2a98bce292,03f21aa11891737fd569dd175f3707f0df90afea78c0f77122f7399a882d21eb,94d913ae9ea5d71cfa56d14af16bd4f35401bd303aee4d0b37b8656caaafe0bc,61402762262ef82ff8a3174ed8538a3dd6f11971b87ac455acec592f2f840910,c9bf1e6afc9722d8880fff8ca533c6ccd36f2ef9568c5c2ba444aecf89e39890,f03b7b25dd94eec5019fe914932188f872126fa6bd4be9d54fba8ebd23b7391d,1e5f4b77d4d4b29b9c8757789a9a0af0f89ee1c9f6d64dbf4611d99aea21ffaf,0cb6ab7a0996af1364346fc433f7b662f652982779958d11a473e05b3bbb4998,4344f86558ef93faf29f9b05e206527459cc74d77bc678ee933c19778357005f,c1479815eab5c4ce39a5a933aea9ff983197a8ae80e2428b53722dd8c98fbce6,3ae0c7afdae6ab0349630e3f6598a3cceb8b354fa5cb42bd864f16cd124e0054,68128332a4bb0d3e29e535b5aafa31682854cb0e36cf3dfb51d622ab37752486,3d291a334ad31f044a4bfe68fc297656d6ed8cd3eb6b721c9cb744e042827420,953ddae4b401f377cfcc5b80e3ea9dd8784a3492e14539c819407fb1843726e3,8655e78c5d431268c9c8a76e8341c94b264bb695dbbc58fa213172c3e09c1ae4,25b35652433377a0b5f2674d6629fdb846a279e6564fbfab2208600342229c32,792725401c1897a6cee70e859ba6cceb612dce0ab3bc61062f46bf9bc6a9c67f,288131180aba5702519d5327d5d3fea2e2066a2fb176f1c21b05515e451f8b5d,49c8f923b384c1932142d6fb4b3ba9f058de6d900813c1fdd130a98dc684f20d,2e1dfcbd8e3dfe337f76ee045acfee20fb2afe69952d1e7f253513a6e3c88506,38ee5252d70547ea3fe1bfd4fd2eb979d785d6e91217851d940fff38226194b8,3b15eb642fcb69a71d709d62b9808f160fa66edcbf351533f70e1eb16979bd99,e42dc979c21b372117e8f8ea4f503671c3a0bd25e9f9e82f362a4cc314452653,9e3273da6acb29017cb3e11fb4dd9789d8278f11c4e8c44e23e270aa20969476,837440d4e4308fcc933cb90bc834dedb1c9a7bdd43a6371c3f94c50d8ef0f908,d62144b60cae4960999b6cd0c410e37287f3bc3091b70a39b92844e84a076753,f137e346dfc048aec81364ef473a5b77d47fe645409ee18af044afde5223fef8,43705239f3efe03282267b17c36e41c16973b8626116242e1949be2474198394,20312f5e18763f0a9023c75350f606bfc8b108d9d2d3e2f66d9e71fdcc468884,7ee5063cb82afb24e9a0aad07ecafee24c867a8d99504c1be016b4c5365a07ab,216984845a138d68b003ccdb342ff2d66ba2a767ff8594059e74769febb8430e,2c8ab849a0a53cd18b0d23f8929459cce4f7a66a99836f37fbaf77408cdca90e,ba96115ea724c32c5a693deedc8d402b82560ac4b35d36d553bc2c9ad43a497d,fbb512c2451cec9646bf687cd2b71a8544d91fde3cb448beab48d2de77bf2785
"8","0","20001101","20001101","8","bgm_M41","20001","塔爾格姆地區 1-1","0","0","0","120","650130011","8","650130012","100014","0","90","0","bgm_M41","0","650001101","1","100014","0","-820","-50","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100015","0","100016","0","0","100020","0","650130013","1","650001124","0"
"8","0","20001102","20001101","8","bgm_M41","20001","塔爾格姆地區 1-2","0","0","0","120","650140011","8","650140012","100014","0","90","0","bgm_M41","0","650001102","2","100014","0","-710","-140","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100015","0","100016","0","0","100020","0","650140013","1","650001125","0"
"8","0","20001103","20001101","8","bgm_M41","20001","塔爾格姆地區 1-3","0","0","0","120","650150011","8","650150012","100091","0","90","0","bgm_M41","0","650001103","3","100091","0","-620","0","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100092","0","100093","0","0","100030","0","650150013","1","650001126","0"
"8","0","20001104","20001101","8","bgm_M41","20001","塔爾格姆地區 1-4","0","0","0","120","650160011","8","650160012","100041","0","90","0","bgm_M41","0","650001104","4","100041","0","-500","-90","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100042","0","100043","0","0","100040","0","650160013","1","650001127","0"
"8","0","20001105","20001101","8","bgm_M41","20001","塔爾格姆地區 1-5","0","0","0","120","650170011","8","650170012","100091","0","90","0","bgm_M41","0","650001105","5","100091","0","-425","45","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100092","0","100093","0","0","100030","0","650170013","1","650001123","0"
"9","0","20001106","20001101","9","bgm_M41","20001","塔爾格姆地區 1-6","0","0","0","135","650180011","9","650180012","100061","0","90","0","bgm_M41","0","650001106","6","100061","0","-280","0","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100062","0","100063","0","0","100010","0","650180013","1","650001124","0"
"9","0","20001107","20001101","9","bgm_M41","20001","塔爾格姆地區 1-7","0","0","0","135","650190011","9","650190012","100021","0","90","0","bgm_M41","0","650001107","7","100021","0","-220","-160","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100022","0","100023","0","0","100050","0","650190013","1","650001125","0"
"9","0","20001108","20001101","9","bgm_M41","20001","塔爾格姆地區 1-8","0","0","0","135","650200011","9","650200012","100041","0","90","0","bgm_M41","0","650001108","8","100041","0","-100","-10","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100042","0","100043","0","0","100040","0","650200013","1","650001126","0"
"9","0","20001109","20001101","9","bgm_M41","20001","塔爾格姆地區 1-9","0","0","0","135","650210011","9","650210012","100014","0","90","0","bgm_M41","0","650001109","9","100014","0","30","30","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100015","0","100016","0","0","100020","0","650210013","1","650001127","0"
"9","0","20001110","20001101","9","bgm_M41","20001","塔爾格姆地區 1-10","0","0","0","135","650220011","9","650220012","100091","0","90","0","bgm_M41","0","650001110","10","100091","0","140","-80","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100092","0","100093","0","0","100030","0","650220013","1","650001122","0"
"10","0","20001111","20001101","10","bgm_M41","20001","塔爾格姆地區 1-11","0","0","0","150","650230011","10","650230012","100101","0","90","0","bgm_M41","0","650001111","11","100101","0","260","61","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100102","0","100103","0","0","100070","0","650230013","1","650001124","0"
"10","0","20001112","20001101","10","bgm_M41","20001","塔爾格姆地區 1-12","0","0","0","150","650240011","10","650240012","100061","0","90","0","bgm_M41","0","650001112","12","100061","0","345","-96","bgm_M41","bgm_M41","bgm_M41","bgm_M41","0","0","100062","0","100063","0","0","100010","0","650240013","1","650001125","0"
