fb7f555749f309adca27f9e5e1f0878ceb34d779c9cbcc68a5a0eb89e3847e5b,44d1d1bd5c16e9acc7a98e635d8bb1d9a5dbed1a75b2355a4f5854a6e956424f,5518e3a948849edb84edf731af0f3daeaaa469313f058ccdc3966ef9a44a23a6,d0a165b0759cbe13887a4ba43f2945b63623c1ba3ead69cd95572fde8dc1571b,2087e69f0202129b1195fcb83522e920e05cf07b9b3aa132d5e12596ad496c47,598a8ff95fc6950ab2375eea8bc3fd477c68e61438ee8e67165f507bcde9e095,8798d9f9c7c71b12485500d49122496938d3cfdafd3c66badba097a95d201c81,e616db79f5fed840861e95d1a42bf3a9e90860a79ae635de796a04b383a56184,3ea7ccbf8a7623943cc10a9fa710a20a5eaa51e6fe8c330a11c925aa35e632e3,27edfd7b78b62a6adf6cdfab2253de6b0befbd39e492e8a915ed86e96b353cd9,1dda364a6fe1eeeba4dc2e366bc3dca9b2260a2ca5d68be9edf81167c46987c8,56f24cb5f572d8ab0e69b791233a23d4e0f91f258a7604cf5b31a0be9b264ad1,ab68c6f90d74f6025401ef450626f1027a7b05495a5fc5f69eb89517ace543ba,ceb5d281989f1f3af91cd54fd8f228d153d6b9560fefcf8946fba77b53121a91,85be70f07f54d54898424ae9b8c7be389320f4b9a88f21c1ad74e31b8da7d2ba,01a221f734139c07b592a5cdb038f60252363152c67a5bf51703a9df1c0371f3,9c87cd4aafe5cfa9f2bf9e92c179515fb905109f11a1a0a8f14b01da9bc983a8,46f76f59c907f1945f90005a4da87e2b0a8208c11d20f9f7ba291eb0be9b10dd,c31ed9a6968897367e0cf0cf213294f3cfe7a85793588aae9c6da1d2984eb8bc
"0","0","75","0","0","100101","1","0","0","0","65","0","0","1","16","0","2","10","0"
"0","0","125","0","0","100101","3","0","0","0","185","0","0","2","68","0","3","30","0"
"0","0","260","0","0","100101","7","0","0","0","420","0","0","4","158","0","4","60","3"
"0","0","420","0","0","100101","12","0","0","0","810","0","0","7","293","0","5","100","7"
"0","0","630","0","0","100101","17","0","3","0","1340","0","0","11","486","0","6","130","11"
"0","0","1235","0","0","100101","26","0","6","0","1660","0","0","15","731","0","7","155","17"
"0","0","1795","0","10","100101","35","0","9","0","2290","0","9","15","1030","0","8","180","24"
"0","0","1795","5","40","100101","46","0","9","0","2540","0","23","16","1459","0","9","205","27"
"0","10","1795","10","100","100101","51","0","9","0","2740","0","37","16","1941","0","10","205","35"
"0","20","1795","15","158","100101","55","0","9","0","3100","0","37","16","2439","3","11","205","44"
"0","20","2045","15","198","100101","66","0","9","0","3470","0","37","18","2871","36","12","205","46"
"0","20","2045","15","251","100101","79","0","9","0","3720","0","37","18","3345","56","13","230","54"
"0","20","2045","15","328","100101","97","0","9","0","3880","0","37","20","3840","56","14","255","68"
"0","20","2045","15","448","100101","111","0","9","0","3880","0","37","20","4412","56","15","255","82"
"0","20","2045","15","586","100101","124","0","9","0","3880","0","37","20","5015","59","16","255","94"
"0","20","2045","15","711","100101","142","0","9","0","3930","0","37","20","5656","62","17","255","103"
"0","20","2045","15","856","100101","157","0","9","0","3980","0","37","20","6351","62","18","255","119"
"0","20","2045","15","984","100101","173","0","9","0","4075","0","37","20","7154","62","19","255","135"
"0","20","2045","15","1065","100101","203","0","9","0","4270","0","37","20","8017","62","20","255","147"
"0","20","2045","15","1160","100101","232","0","9","0","4580","0","37","20","8971","62","21","255","157"
"0","20","2045","15","1262","100101","259","0","9","0","4790","0","37","20","10078","62","22","255","176"
"0","20","2045","15","1343","100101","287","0","9","0","4880","0","37","20","11352","62","23","255","199"
"0","20","2045","15","1416","100101","308","0","9","0","4970","0","37","20","12783","62","24","255","221"
"0","20","2045","15","1471","100101","331","0","9","0","5230","0","37","20","14334","62","25","255","247"
"0","20","2045","15","1495","100101","359","0","9","0","6835","0","37","20","15835","62","26","255","280"
"0","20","2045","15","1513","100101","387","0","9","0","8440","0","37","20","17449","62","27","255","313"
"0","20","2045","15","1538","100101","400","0","9","0","9225","0","37","20","19454","62","28","255","326"
"0","20","2045","15","1571","100101","415","0","9","0","10010","0","37","20","21599","62","29","255","341"
"0","20","2045","15","1614","100101","440","0","9","0","10270","0","37","20","23844","62","30","255","366"
"0","20","2045","15","1657","100101","450","0","9","0","10795","0","37","20","26318","62","31","255","376"
"0","20","2045","15","1690","100101","450","0","9","0","11845","0","37","20","28948","62","32","255","376"
"0","20","2045","15","1729","100101","461","0","9","0","12370","0","37","20","31669","62","33","255","387"
"0","20","2045","15","1775","100101","483","0","9","0","12370","0","37","20","34498","62","34","255","409"
"0","0","75","0","0","100201","1","0","0","0","55","23","0","0","0","0","2","0","2"
"0","0","125","0","0","100201","1","0","0","0","150","81","0","0","0","0","3","0","8"
"0","10","175","0","0","100201","4","0","0","0","325","172","0","0","0","0","4","5","17"
"0","10","175","0","0","100201","4","0","0","0","505","349","0","0","0","0","5","15","33"
"0","25","175","0","0","100201","12","0","0","0","1035","522","0","0","0","0","6","15","52"
"0","30","175","0","0","100201","14","0","0","0","1395","790","0","0","0","0","7","85","66"
"0","75","175","0","0","100201","19","0","0","0","1675","1089","4","0","0","0","8","85","88"
"6","110","175","5","0","100201","25","0","0","0","2130","1389","9","0","0","0","9","100","109"
"30","115","395","10","0","100201","28","0","0","0","2490","1758","14","0","0","0","10","135","126"
"53","129","735","10","0","100201","35","0","0","0","2910","2159","14","0","0","0","11","151","145"
"63","138","955","12","0","100201","56","0","0","0","3430","2471","17","0","0","0","12","177","171"
"63","140","1175","14","0","100201","94","0","0","0","3810","2705","20","0","0","0","13","199","209"
"71","146","1295","16","0","100201","133","0","0","0","3990","2982","20","0","0","0","14","199","251"
"81","151","1395","18","0","100201","168","0","0","0","4130","3310","20","0","0","0","15","199","293"
"81","157","1495","18","0","100201","208","0","0","0","4330","3658","20","0","0","0","16","199","336"
"81","158","1495","18","0","100201","250","0","0","0","4510","4008","20","3","0","0","17","214","384"
"81","158","1495","18","0","100201","295","0","0","0","4915","4353","20","6","0","0","18","229","441"
"81","158","1590","18","0","100201","349","0","0","0","5560","4719","20","6","0","0","19","229","506"
"93","158","1685","18","0","100201","406","0","0","0","6145","5176","20","6","0","0","20","229","568"
"93","158","1685","18","0","100201","472","0","0","0","6765","5618","20","6","0","0","21","229","646"
"93","158","1685","18","0","100201","541","0","0","0","8080","6142","20","6","0","0","22","229","725"
"93","158","1685","18","0","100201","619","0","0","0","9855","6707","20","6","0","0","23","229","810"
"93","158","1685","18","0","100201","704","0","0","0","11380","7347","20","6","0","0","24","229","901"
"103","158","1685","18","0","100201","784","0","0","0","12675","8212","20","6","0","0","25","229","987"
"118","158","1685","18","0","100201","853","0","0","0","13965","9328","20","6","0","0","26","229","1062"
"128","158","1685","18","0","100201","920","0","0","0","15535","10563","20","6","0","0","27","229","1132"
"138","158","1685","18","0","100201","990","0","0","0","17300","11885","20","6","0","0","28","229","1203"
"148","158","1685","18","0","100201","1066","0","0","0","19295","13290","20","6","0","0","29","229","1279"
"158","158","1685","18","0","100201","1147","0","0","0","21525","14765","20","6","0","0","30","229","1360"
"168","158","1685","18","0","100201","1230","0","0","0","23915","16312","20","6","0","0","31","229","1443"
"178","158","1685","18","0","100201","1315","0","0","0","26460","17930","20","6","0","0","32","229","1528"
"188","158","1685","18","0","100201","1402","0","0","0","29250","19645","20","6","0","0","33","229","1615"
"198","158","1685","18","0","100201","1491","0","0","0","32450","21457","20","6","0","0","34","229","1704"
"0","0","75","0","0","100301","2","0","0","0","95","0","0","0","22","0","2","0","0"
"0","0","125","0","0","100301","6","0","0","0","310","0","0","0","71","0","3","0","2"
"0","0","155","0","0","100301","11","0","0","0","685","0","0","0","176","0","4","10","4"
"0","5","155","0","0","100301","20","0","0","0","1435","0","0","0","289","0","5","20","11"
"0","5","245","0","0","100301","31","0","0","0","2300","0","0","0","499","0","6","35","13"
"0","5","715","0","0","100301","43","0","0","0","3270","0","0","0","746","0","7","35","15"
"0","5","715","0","0","100301","57","0","3","0","4025","0","0","0","1040","0","8","50","23"
"0","5","1115","0","20","100301","71","0","7","0","4630","0","9","0","1353","0","9","65","31"
"0","30","1115","0","50","100301","80","0","12","0","4990","0","18","5","1729","0","10","65","40"
"0","40","1115","0","88","100301","88","0","17","0","5410","0","18","7","2147","13","11","65","49"
"0","40","1115","0","130","100301","98","0","17","0","6180","0","21","7","2581","29","12","65","56"
"0","40","1115","0","163","100301","112","0","17","0","6670","0","24","7","3026","42","13","98","66"
"0","40","1115","0","214","100301","123","0","17","0","7050","0","24","7","3571","42","14","131","76"
"0","40","1115","0","280","100301","142","0","17","0","7420","0","24","7","4098","42","15","131","91"
"0","40","1115","0","370","100301","156","0","17","0","7560","0","24","7","4716","45","16","143","99"
"0","40","1115","0","467","100301","170","0","17","0","7750","0","24","7","5390","48","17","143","105"
"0","40","1115","0","591","100301","179","0","17","0","8015","0","24","7","6136","48","18","143","114"
"0","40","1115","0","730","100301","191","0","17","0","8340","0","24","7","6947","48","19","143","126"
"0","40","1115","0","849","100301","213","0","17","0","8665","0","24","7","7816","48","20","143","138"
"0","40","1115","0","980","100301","233","0","17","0","8950","0","24","7","8795","48","21","143","149"
