5bc7b7088eac78527390613a6cbaa262707ed41c18f1e7c5365f5f9d578c4cba,a89effe8781af6e6509d8c211ff44f06a20ec48e7dcd3bbf078a507146d79e9f,85b1de7365e6d8986cc9eb6e1c39b87c5081f0ab70bd0faa6b2774d00b97fd05,62830c1d31b703cb03c5fd101f387e4bc4637b4ba478b303928ab03b0bf3c895,8aa7fff3a672fc00dd8e9c2f3147687bece5ed718e579c6101ac2e64b8a2986b,3a0a6092b17bb59c9d83c1624b576678e599432c2e81b86ece8c5ed6965bc2ca,b7502fceffb99ccb4d9ed05a11f27941a13307d1487adb8cefcc6f5c02cc7ab9
"71004025","討伐BOSS解放！\n還有{0}隻","10004","1","107601","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]"
"71005025","討伐BOSS解放！\n還有{0}隻","10005","2","108001","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]"
"71007031","討伐NORMAL BOSS解放！","10007","3","108201","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71009031","討伐NORMAL BOSS解放！","10009","4","108501","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71010031","討伐NORMAL BOSS解放！","10010","5","108901","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71011031","討伐NORMAL BOSS解放！","10011","6","109001","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71013031","討伐NORMAL BOSS解放！","10013","7","109301","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71017031","討伐NORMAL BOSS解放！","10017","8","109801","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71019031","討伐NORMAL BOSS解放！","10019","9","110101","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72004021","討伐NORMAL BOSS解放！","20004","10","107601","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71021035","討伐NORMAL BOSS解放！","10021","11","110501","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72005021","討伐NORMAL BOSS解放！","20005","12","108001","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71025031","討伐NORMAL BOSS解放！","10025","13","111201","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71026031","討伐NORMAL BOSS解放！","10026","15","108201","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71029031","討伐NORMAL BOSS解放！","10029","16","111601","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71030031","討伐NORMAL BOSS解放！","10030","17","108501","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71031031","討伐NORMAL BOSS解放！","10031","18","112101","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71032031","討伐NORMAL BOSS解放！","10032","19","108901","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71033031","討伐NORMAL BOSS解放！","10033","20","112301","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71035031","討伐NORMAL BOSS解放！","10035","21","112601","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71034031","討伐NORMAL BOSS解放！","10034","22","109001","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71039031","討伐NORMAL BOSS解放！","10039","24","109301","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71042031","討伐NORMAL BOSS解放！","10042","25","113001","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71043031","討伐NORMAL BOSS解放！","10043","26","110101","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71044031","討伐NORMAL BOSS解放！","10044","27","113201","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71046031","討伐NORMAL BOSS解放！","10046","28","113501","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71045035","討伐NORMAL BOSS解放！","10045","29","110501","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71049031","討伐NORMAL BOSS解放！","10049","30","111201","[3C404E]討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
