a710e77a806dead75a21578eea48c275781e5c4d8447deecc7b0c33eed23cf20,7bb299adf2b4c320cbe73fc0aea1db83d2d4d5c1a31b8a0fef69ec6d7bcd4c22,4796148cc84eff4ef76df58e8061d0481a249be5135eaa403b3ed3930e9856c1,82d887b00db5de7288f1bacc0db1ce9fb212641b297319b5e71dc4f5f077b30b,bafd76fffbf982fa7c156b80c100c938adab091962aba3a316b79071d4bbdfb4,1672ba93ccb92ff1d7ebf89b363ad6b32934f90791918615898af2f7d9c0f593,56e4f9eb0ab2ec012473bf35114830dfe7bdef50b70978fe08ec81738eab67ba,a84af8750b419ec6ca3137797fbe3c6834d98f9ba54eb041bf5597f915814f89,f57275aebcf9686efad0e3a2df7210c669d4636e600dc4524c3af3d2144c384a,06aa0e4325ec93134be8bdebed727b8f3d4a1a1c5ffd0aaa254b05e9ec8197bc,7f82a7ca27b21213a79913da324055c2420a012769a6e23390874d0e978a1b59,051ac454a2aba8698c4ebaa1ae239857a003562f795cb0afbc1a43b6bc5c9fa0,1c7fe2d6c0f424c48ff8411309ed99a3bace90b9f04b7c1cf72a22dc30671b6d,13f958fc6ab863f6ad20ff6ab883851fa7e2dfa38afe4697ba86cc3337cd1e17,563ee1b539d43d6b23f7d44cc2f743fe613b456011329bb0e0562935cbfe76a9,0a2abab45b86e39e0cfa0b16dd45462939fae61a42f8015d36660fdd60c2f114,149a62fe5e9c444a05c5cb401ba60b5135a4b09618481c224b7a774fae5defe8,06f23edd1b05f4c51fb2d69b36c9e4a2ec38cd0e8b94ef1ac988873f7e2161cf,a54eecbc68eeb3b81543b1518d20bec2cdea807cadf52af7faba8a6de1777c48,4cef5da47431247437c5d9f2621e48b06835d82824c34da7a5193112c0270b13,4d044e5c6b86eb155147e569f45bdac4cd3912ae3fb47542cfa29a15f7f5e2d2,547aac7e877f2df8c4decf1e667fb945fbb2261aaf8d0cd6c0393993fd6448d0
"0.6","101001","250","1","10","0","-30","10010101","0","1","0.8","-480","1001","210","1","1","-120","0.7","bgm_M64","101001","-30","1"
"0.75","101001","0","1","10","0","-30","10010102","0","1","1.2","-260","1001","200","1","2","-120","1","bgm_M64","101001","0","2"
"0.75","101001","100","1","0","-50","-30","10010103","0","1","1.1","-40","1001","200","1","3","0","1","bgm_M64","101001","-10","3"
"0.7","101001","0","1","0","0","-30","10010104","0","1","1","240","1001","200","1","4","-50","1","bgm_M64","101001","0","4"
"1.2","101011","200","1","0","0","-30","10010105","0","1","1.3","480","1001","250","1","5","-40","1","bgm_M55","101011","0","5"
"0.6","101021","250","1","10","0","-30","10020101","0","1","0.8","-480","1002","210","1","1","-155","0.7","bgm_M64","101001","-30","1"
"0.75","101021","250","1","10","0","-30","10020102","0","1","1.2","-265","1002","200","1","2","-120","1","bgm_M64","101001","0","2"
"0.9","101021","100","1","0","-30","-30","10020103","-15","1","1.4","-30","1002","200","1","3","30","1","bgm_M64","101001","-10","3"
"1","101021","100","1","0","-30","-30","10020104","0","1","1.5","220","1002","200","1","4","-90","1.25","bgm_M64","101001","0","4"
"1.4","101031","200","1","0","0","-30","10020105","0","1","1.8","440","1002","250","1","5","0","1.6","bgm_M55","101011","0","5"
"0.6","101041","250","1","10","0","-30","10030101","0","1","0.8","-470","1003","210","1","1","-155","0.7","bgm_M64","101041","-30","1"
"0.75","101041","250","1","10","0","-30","10030102","0","1","1.2","-210","1003","200","1","2","-95","1","bgm_M64","101041","0","2"
"0.75","101041","100","1","0","-50","-30","10030103","0","1","1.1","50","1003","200","1","3","-120","1","bgm_M64","101041","-10","3"
"0.8","101041","100","1","0","-30","-30","10030104","0","1","1.5","195","1003","200","1","4","35","1.2","bgm_M64","101041","0","4"
"1.1","101042","150","1","0","-50","-30","10030105","0","1","1.8","450","1003","210","1","5","-55","1.35","bgm_M55","101042","0","5"
