ea2e83361a45c938f29b52450965569756a7e0254409ab1b35ebc7b87bad15d7,119ecdc2854a6ef3bf28163a3497775a78851bd0a032bb37f9055e17a1a30b04,057cf063ddfa7507c631340bab18571b17a2de639479c0c4dfd18a556550cec6,b24316411986fec87d805907304ccd9b2b163796f7c2f36c0868bd7efc70bc24,2be1a538c91c3df04b644395d7a5bb5248cefd2348e5b8dda97a97793b3d9e19,778e4a46635d8f7fead0195ac48a4ad9fd40fb7be6f6c8e9de3553516bdc5c64,67fca1293df81807a038c8f38b7ec6f0d69193898ad955568a8e7b92564441e6,a7ecc8d41cfb3b45b27869513a25fbf95b6ec623ad5ed2ddc9c668ecb7808d1f,25d0c7a081b4d0d54f1712a79adfc3026b8bdad1076d53865551b7248d9ae192,b9a5cb4076882aa0f08e1eff506d7439b3e8fa0b574bb68c217d0ffe07d8ce98,81a1dfd7fe9f6fd07ad2ef8d30924f4df22ba6fb613fa7bc2cbf44d6c6233182,76a2997895b90669cedf6eff6153aa1602779782f3924621299e4f914eff8955
"0.05","0.025","0","0","27","0","1","288","31","0","0","23"
"0.05","0.025","0","0","26","0","2","279","30","0","0","22"
"0.05","0.025","0","0","25","0","3","270","29","0","0","21"
"0.05","0.025","0","0","24","0","4","261","28","0","0","20"
"0.05","0.025","0","0","23","0","5","252","27","0","0","19"
"0.05","0.025","0","0","22","0","6","243","26","0","0","18"
"0.05","0.025","0","0","21","0","7","234","25","0","0","17"
"0.05","0.025","0","0","20","0","8","225","24","0","0","16"
"0.05","0.025","0","0","19","0","9","216","23","0","0","15"
"0.05","0.025","0","0","18","0","10","207","22","0","0","14"
"0.05","0.025","0","0","17","0","11","198","21","0","0","13"
"0.05","0.025","0","0","16","0","12","189","20","0","0","12"
"0.05","0.025","0","0","15","0","13","180","19","0","0","11"
"0.05","0.025","0","0","14","0","14","171","18","0","0","10"
"0.05","0.025","0","0","13","0","15","161","17","0","0","9"
"0.05","0.025","0","0","12","0","16","152","16","0","0","8"
"0.05","0.025","0","0","11","0","17","143","15","0","0","7"
"0.05","0.025","0","0","10","0","18","134","14","0","0","6"
"0.05","0.025","0","0","9","0","19","125","13","0","0","5"
"0.05","0.025","0","0","8","0","20","116","12","0","0","4"
"0.05","0.025","0","0","7","0","21","107","11","0","0","3"
"0.05","0.025","0","0","6","0","22","101","10","0","0","2"
"0","0","0","0","0","0","23","1","0","0","0","0"
