c6a7137b47af493ab659db0ce44ef56140732cca587836016d7d95878cc383e9,9fedfc0db89596934a829a3546138f906e38f0e7c03ba9ac452b5705bd7af3be,9f28804685f03a19969d01e7caaab3d2cbf9e056aa82be9363eec9f39335cfee,dc4f745bb6f60cf6ba980211f5fff3460c4922d8de0c74504b8f7f3795c58889
"1","戰鬥中，大幅度提升「毒」、「猛毒」所造成的傷害。","提升毒/猛毒造成的傷害","poison_damage_up"
"2","戰鬥中，大幅度提升「火傷」所造成的傷害。","提升火傷造成的傷害","burn_damage_up"
"3","戰鬥中，大幅度提升「詛咒」、「咒術」所造成的傷害。","提升詛咒/咒術造成的傷害","curse_damage_up"
"4","戰鬥中，增加「麻痺」的效果時間。","增加麻痺的效果時間","paralysis_time_extension"
"5","戰鬥中，增加「凍結」的效果時間。","增加凍結的效果時間","frozen_time_extension"
"6","戰鬥中，增加「束縛」的效果時間。","增加束縛的效果時間","bind_time_extension"
"7","戰鬥中，增加「暈眩」的效果時間。","增加暈眩的效果時間","stun_time_extension"
"8","戰鬥中，增加「毒」、「猛毒」的效果時間。","增加毒/猛毒的效果時間","poison_time_extension"
"9","戰鬥中，增加「火傷」的效果時間。","增加火傷的效果時間","burn_time_extension"
"10","戰鬥中，增加「詛咒」、「咒術」的效果時間。","增加詛咒/咒術的效果時間","curse_time_extension"
"11","戰鬥中，增加「誘惑」的效果時間。","增加誘惑的效果時間","temptation_time_extension"
"12","戰鬥中，增加「混亂」的效果時間。","增加混亂的效果時間","confusion_time_extension"
"13","戰鬥中，大幅度提升物理攻擊力。","提升物理攻擊力","attack_up"
"14","戰鬥中，大幅度提升魔法攻擊力。","提升魔法攻擊力","magic_str_up"
"15","戰鬥中，大幅度提升物理防禦力。","物理防禦力提升","defense_up"
"16","戰鬥中，大幅度提升魔法防禦力。","魔法防禦力提升","magic_def_up"
"17","戰鬥中，大幅度提升物理暴擊率。","物理暴擊提高","physical_critical_up"
"18","戰鬥中，大幅度提升魔法暴擊率。","魔法暴擊提高","magic_critical_up"
"19","戰鬥中，大幅度提升TP上升。","提升TP上升","energy_recovery_rate_up"
"20","戰鬥開始時，特大幅度恢復TP。","戰鬥開始時，特大幅度恢復TP","energy_recovery"
"22","戰鬥中，變成必定可施加「麻痺」的狀態。","必定施加麻痺","paralysis_hit_absolute"
"23","戰鬥中，變成必定可施加「凍結」的狀態。","必定施加凍結","frozen_hit_absolute"
"24","戰鬥中，變成必定可施加「束縛」的狀態。","必定施加束縛","bind_hit_absolute"
"25","戰鬥中，變成必定可施加「暈眩」的狀態。","必定施加暈眩","stun_hit_absolute"
"26","戰鬥中，變成必定可施加「毒」、「猛毒」的狀態。","必定施加毒/猛毒","poison_hit_absolute"
"27","戰鬥中，變成必定可施加「火傷」的狀態。","必定施加火傷","burn_hit_absolute"
"28","戰鬥中，變成必定可施加「詛咒」、「咒術」的狀態。","必定施加詛咒/咒術","curse_hit_absolute"
"29","戰鬥中，變成必定可施加「誘惑」的狀態。","必定施加誘惑","temptation_hit_absolute"
"30","戰鬥中，變成必定可施加「混亂」的狀態。","必定施加混亂","confusion_hit_absolute"
