4ba1ee42695016ac033c5e51acfca109cfccd15d4078688309d794de7311c7db,1afeab9c1c6527f58daad2bfe01063c34fafe2e265be6a7ea491986ecea2b950,21223377dd0396c88dae2aad033049b52c6ec107216e54cd7622e25311da8fbb,07e73039f17e52f5eb35ffdcef5010fdf615fa1202a1869e8e1f20f173431b8e,2dbe07a0ade38239361a6c242c09e8240d08ea68c4394280c3fbf618927c7280,d8a06910087a5644567f493a4f6ba11fb424fbab157e97df9869f7290212bd8b,3d3d3d89db28365f3845e7948671bcd71eb5a66ab6cb92f787a113aeb932401a
"1","","0","0","1","10008101","10008111"
"2","","0","0","1","10008112","10008115"
"3","","0","0","3","10008101","10008103"
"4","","0","0","3","10008105","10008115"
"5","","0","0","4","10008112","150"
"6","","0","0","1","10028101","10028111"
"7","","0","0","1","10028112","10028115"
"8","","0","0","3","10028101","10028103"
"9","","0","0","3","10028105","10028115"
"10","","0","0","4","10028112","150"
"11","","20012107","0","11","20012104","20012104"
"12","","20012109","0","11","20012108","20012108"
"13","","20012114","0","11","20012110","20012110"
"14","","20012115","0","11","20012115","20012115"
"15","","0","0","4","20012110","120"
"16","","0","0","1","20008101","20008111"
"17","","0","0","1","20008112","20008115"
"18","","0","0","3","20008101","20008103"
"19","","0","0","3","20008105","20008115"
"20","","0","0","4","20008112","150"
