825ff3ddc477f61faa4391eabcbece629ed66c2eb21c60af187b3cc3827ccb50,a049f4ae0207da4b464d925dc853bd72edf08f8d2be95502523afc2896185bae,5b1a5bae523b6fbb639cc4153d4b77048655c5a374e1113955d5af4133eceea2,00c11b5e999cbedc3d7889d4f35d2bfd98e52982471c84459fedf45471672f9e,c7bd644865f53939aca53ad8ed544217fa5a1bc4c224481d743a77fe641d2a1f,928588d34eef7fb906e9119e4f0032829b2257253ad48b89cf15a00ab91fc49c,aa137d24650f2833bbf191d3b6fca955023979b57f76f8d0f6c6be4a065e78bc
"1","250","1004","100","200","150","50"
"2","400","1004","160","320","240","80"
"3","250","1004","100","200","150","50"
"5","250","1004","100","200","150","50"
"6","400","1004","160","320","240","80"
"12","3","1004","1","2","1","1"
"1","250","1005","100","200","150","50"
"3","250","1005","100","200","150","50"
"4","400","1005","160","320","240","80"
"5","250","1005","100","200","150","50"
"7","400","1005","160","320","240","80"
"13","3","1005","1","2","1","1"
"1","125","1010","50","100","75","25"
"2","200","1010","80","160","120","40"
"3","125","1010","50","100","75","25"
"5","125","1010","50","100","75","25"
"6","200","1010","80","160","120","40"
"1","125","1011","50","100","75","25"
"3","125","1011","50","100","75","25"
"4","200","1011","80","160","120","40"
"5","125","1011","50","100","75","25"
"7","200","1011","80","160","120","40"
"1","500","1006","200","400","300","100"
"2","250","1006","100","200","150","50"
"3","500","1006","200","400","300","100"
"5","500","1006","200","400","300","100"
"6","250","1006","100","200","150","50"
"12","3","1006","1","2","1","1"
"1","500","1007","200","400","300","100"
"3","500","1007","200","400","300","100"
"4","250","1007","100","200","150","50"
"5","500","1007","200","400","300","100"
"7","250","1007","100","200","150","50"
"13","3","1007","1","2","1","1"
"1","250","1012","100","200","150","50"
"2","400","1012","160","320","240","80"
"3","250","1012","100","200","150","50"
"5","250","1012","100","200","150","50"
"6","400","1012","160","320","240","80"
"12","5","1012","2","4","3","1"
