a5f9a24ea295a9f64d9a23933c6bb513c32ec38d017c9327b66bd83033638a00,97b8ea57d105f3e97addaaf60643fc8e967a7a5121750f384b099d6bdb7d47a3,7b81c37d88415a20c5ede0cfdf30dc9f683b00ea16034a02d38caa189edc46f4,92088f97d424303427e9a38f7f11d7bf67374c8dbafe414649c9c05b28151b08,dc2acdf89dc09847de76af9fdb3bef0c32443f4465fd8e934c9222e9bbc1e0a0
"10000101","150000","94002","12","100001011"
"10000101","6","22003","2","100001012"
"10000102","500000","94002","12","100001021"
"10000102","6","22003","2","100001022"
"10000103","500000","94002","12","100001031"
"10000103","3","140001","4","100001032"
"10000103","3","25001","2","100001033"
"10000104","500000","94002","12","100001041"
"10000104","6","22003","2","100001042"
"10000105","500000","94002","12","100001051"
"10000105","4","140001","4","100001052"
"10000105","4","25001","2","100001053"
"10000106","500000","94002","12","100001061"
"10000106","6","22003","2","100001062"
"10000107","500000","94002","12","100001071"
"10000107","4","140001","4","100001072"
"10000107","4","25001","2","100001073"
"10000108","500000","94002","12","100001081"
"10000108","6","22003","2","100001082"
"10000109","500000","94002","12","100001091"
"10000109","4","140001","4","100001092"
"10000109","4","25001","2","100001093"
"10050501","120000","94002","12","100505011"
"10050501","3","22003","2","100505012"
"10050502","120000","94002","12","100505021"
"10050502","4","22003","2","100505022"
"10050503","120000","94002","12","100505031"
"10050503","4","22003","2","100505032"
"10050511","120000","94002","12","100505111"
"10050511","3","22003","2","100505112"
"10050512","160000","94002","12","100505121"
"10050512","4","22003","2","100505122"
"10060601","120000","94002","12","100606011"
"10060601","3","22003","2","100606012"
"10060602","120000","94002","12","100606021"
"10060602","4","22003","2","100606022"
"10060603","120000","94002","12","100606031"
"10060603","4","22003","2","100606032"
"10060611","120000","94002","12","100606111"
"10060611","3","22003","2","100606112"
"10060612","160000","94002","12","100606121"
"10060612","4","22003","2","100606122"
"10070701","120000","94002","12","100707011"
"10070701","3","22003","2","100707012"
"10070702","120000","94002","12","100707021"
"10070702","4","22003","2","100707022"
"10070703","120000","94002","12","100707031"
"10070703","4","22003","2","100707032"
"10070711","120000","94002","12","100707111"
"10070711","3","22003","2","100707112"
"10070712","160000","94002","12","100707121"
"10070712","4","22003","2","100707122"
"10080801","120000","94002","12","100808011"
"10080801","3","22003","2","100808012"
"10080802","120000","94002","12","100808021"
"10080802","4","22003","2","100808022"
"10080803","120000","94002","12","100808031"
"10080803","4","22003","2","100808032"
"10080811","120000","94002","12","100808111"
"10080811","3","22003","2","100808112"
"10080812","160000","94002","12","100808121"
"10080812","4","22003","2","100808122"
