ffce171723d539967a593cf7911d7dcd23e9935682fc45b9aa7f983a16678c46,0ecd83c30c5f96aaaebd50dad815de553f324f5fc4d1bbf634986ccd6e6caaf6,af3117d42439054a5212caa2e7682bd5bc6636a595b4b42ba986491399c1eb35,507fa12bcaf24f6e1189ad366fcfbf84898d1a3bb84708ecdb841752aeee7af7,3d7ee649fa9a08d24cd2e98428fe1803198b43abaf9ef56b428bf381d1a02867
"1","1","0","26999","小雞"
"2","1","0","26999","生手"
"3","1","0","26999","魚苗"
"4","3","0","26999","新手賽跑者"
"5","1","0","26999","小嬰兒"
"6","1","0","26999","寶寶"
"7","1","0","26999","小人物"
"8","1","0","26999","無用之人"
"9","1","0","26999","外行人"
"10","1","27000","33999","小魚"
"11","1","27000","33999","新手"
"12","3","27000","33999","愉悅賽跑者"
"13","1","27000","33999","小輩"
"14","1","27000","33999","新人"
"15","1","27000","33999","女孩"
"16","1","27000","33999","期待之星"
"17","1","27000","33999","原石"
"18","2","27000","33999","新希望"
"19","1","34000","50399","探究者"
"20","1","34000","50399","暴徒"
"21","1","34000","50399","天才"
"22","1","34000","50399","奇才"
"23","1","34000","50399","大人物"
"24","1","34000","50399","麒麟兒"
"25","1","34000","50399","希望"
"26","1","34000","50399","新星"
"27","1","34000","50399","逸才"
"28","1","50400","59999","女僕"
"29","1","50400","59999","前輩"
"30","1","50400","59999","中級者"
"31","3","50400","59999","沙灘搶旗者"
"32","1","50400","59999","魚"
"33","1","50400","59999","領袖"
"34","1","50400","59999","主將"
"35","1","50400","59999","獨當一面"
"36","1","50400","59999","半職業"
"37","1","50400","59999","大型新人"
"38","1","60000","69999","流星"
"39","1","60000","69999","老師"
"40","1","60000","69999","海豚"
"41","1","60000","69999","職人"
"42","1","60000","69999","選手"
"43","1","60000","69999","金槍鮪"
"44","1","60000","69999","中等之中"
"45","2","60000","69999","知名人士"
"46","1","60000","69999","異才"
"47","1","60000","69999","精英"
"48","1","60000","69999","高手"
"49","1","60000","69999","行家"
"50","1","70000","83999","虎鯨"
"51","1","70000","83999","名人"
"52","1","70000","83999","魔術師"
"53","1","70000","83999","師傅"
"54","1","70000","83999","潛水艇"
"55","2","70000","83999","短跑選手"
"56","1","70000","83999","名手"
"57","2","70000","83999","王牌賽跑者"
"58","1","70000","83999","職業選手"
"59","1","70000","83999","看板選手"
"60","1","70000","83999","最高權威"
"61","1","70000","83999","教師"
"62","2","84000","99999","速度之星"
"63","1","84000","99999","豪傑"
"64","1","84000","99999","公主"
"65","1","84000","99999","女神"
"66","1","84000","99999","大師"
"67","2","84000","99999","頭號人物"
"68","1","84000","99999","寵兒"
"69","3","84000","99999","狂暴格里芬"
"70","1","84000","99999","飛龍"
"71","2","84000","99999","專家"
"72","2","84000","99999","頂尖賽跑者"
"73","1","100000","119999","飛毛腿"
"74","1","100000","119999","皇后"
"75","2","100000","119999","冠軍"
"76","2","100000","119999","天才賽跑者"
"77","3","100000","119999","紀錄保持人"
"78","1","100000","119999","極致"
"79","2","100000","119999","涅普堤利昂"
"80","2","100000","119999","希德雷克"
"81","1","100000","119999","女傑"
"82","1","100000","119999","革命家"
"83","2","100000","119999","巨星"
"84","2","120000","999999","幻想之星"
"85","2","120000","999999","超級巨星"
"86","3","120000","999999","世界冠軍"
"87","1","120000","999999","傳奇"
"88","1","120000","999999","超人"
"89","1","120000","999999","托爾披頓"
"90","1","120000","999999","加爾基諾司"
"91","2","120000","999999","水之里歐斯"
"92","1","120000","999999","至寶"
"93","3","120000","999999","宗師"
"94","1","120000","999999","英雄"
"95","1","120000","999999","統治天下"
