82507ceef476684ede62cf848441a61cfc8981da1ac4100bba9a5aaccfe941d8,7dc16caa5ddd17a7bc95ebaffcd45ce4e1bf57ef2e77bf05e07d55e9fc0110f7,6a86ff1f996a6e34f2e258649a4c98abe029d4c88e3c005e1a5b8f96de2db900
"20001","31038","31012"
"20002","31004","31020"
"20003","31017","31010"
"20004","31028","31076"
"20005","31032","31080"
"20006","31034","31047"
"20007","31022","31082"
"20008","31051","31009"
"20009","31029","31085"
"20010","31002","31089"
"20011","31011","31090"
"20012","31008","31043"
"20013","31018","31093"
"20014","31045","31053"
"20015","31050","31101"
"20016","31014","31105"
"20017","31040","31056"
"20018","31036","31112"
"20019","31005","31037"
"20020","31044","31116"
"20021","31021","31121"
"20022","31049","31123"
"20023","31046","31107"
"20024","31033","31028"
"20025","31065","31130"
"20026","31027","31132"
"20027","31023","31135"
"20028","31013","31016"
"20029","31054","31141"
"20030","31037","31014"
"20031","31048","31146"
"20032","31060","31147"
"20033","31003","31156"
"20034","31003","31156"
"20035","31010","31158"
"20036","31031","31032"
"20037","31015","31065"
"20038","31040","31168"
"20039","31050","31018"
"20040","31109","31174"
"20041","31051","31096"
"20042","31047","31178"
"20043","31055","31053"
"20044","31006","31192"
"20045","31044","31208"
"20046","31060","31059"
"20047","31058","31212"
"20048","31026","31128"
"20049","31046","31065"
"20050","31031","31014"
"20051","31034","31221"
"20052","31002","31224"
"20053","31036","31228"
"20054","31023","31010"
"20055","31013","31235"
"20056","31005","31037"
"20057","31047","31241"
"20058","31066","31247"
"20059","31029","31249"
"20060","31042","31249"
"20061","31046","31053"
"20062","31038","31012"
"20063","31057","31257"
"20064","31008","31044"
"20065","31048","31267"
"20066","31031","31270"
"20067","31002","31288"
"20068","31001","31288"
"20069","31060","31011"
"20070","31042","31056"
"20071","31054","31018"
"20072","31058","31028"
"20073","31014","31283"
"20074","31034","31110"
"20075","31027","31043"
