3224b6eb1efaf6fbc631576736528248136ab167c4ee7e1537152d13b3bc8e3d,da3e03c0dd258b5b5a27bbb2e4a4380baa516dcb2df8e2710777ff46f199b1bf,966d43d2440f61f5c46a7beea39dbb935ef3b03699b361fdcd2b083646ae621e,baa0171efd3125c53bc38e2c6af3079eb6c5c9daba586e4ab92151b31f38f38c,708999ff07f61a442fe48230306edb431d2e756a9bbc02e7665bcc8a3bbe0c77,9f37cba321ceb9b27d58d3af491e2b9995a4d97536fc5eb5baf9d8994325e72d,21df98d401325f3aa2884798aa289a3620d2b29653c2106ba70f5a0b53de0562,b11790c58b3a83c68076350bfbe6919d21c06c11a2e2d92576eff3f963ccbf48,3988f21d627da22068f6271a0cda16fe02131ebcc8e1afd2983fb67d940f9dc4,e3c53082c40aa9e188d87d14b178fe17c5f82faeaff48d82a44ea063ae4dac46,f652c5e21e283165bb84cc26ddefa0eb93de17554042e9329b1575a206d352e1
"1","111831","-150","-100","1","115","101001","nop_idle_joy1","0","101","1.5"
"1","120731","-150","100","1","114","101002","nop_idle_normal_joy","1","101","1.5"
"1","120831","-127","-215","1","111","101003","nop_idle_arm_crossed","0","101","1.5"
"1","111931","-127","215","1","110","101004","nop_idle_normal","1","101","1.5"
"1","120931","-150","-330","1","113","101005","nop_idle_thinking","0","101","1.5"
"1","112031","-150","330","1","112","101006","nop_idle_normal","1","101","1.5"
"1","108731","-150","-100","1","115","102001","nop_idle_joy1","0","102","1.5"
"1","108831","-150","100","1","114","102002","nop_idle_joy_normal","1","102","1.5"
"1","108931","-127","-215","1","111","102003","nop_idle_normal","0","102","1.5"
"1","102011","-135","-100","1","113","103001","nop_idle_joy1","0","103","1.5"
"1","100411","-150","-215","1","115","103002","nop_idle_normal","0","103","1.5"
"1","103631","-143","100","1","114","103003","nop_idle_wish","1","103","1.5"
"1","101231","-150","-100","1","115","104001","nop_idle_normal","0","104","1.5"
"1","104011","-150","100","1","114","104002","nop_idle_normal","1","104","1.5"
"1","101511","-127","-215","1","111","104003","nop_idle_normal","0","104","1.5"
"1","103111","-135","-100","1","113","105001","nop_idle_normal","0","105","1.5"
"1","102211","-135","100","1","111","105002","nop_idle_sad","1","105","1.5"
"1","100711","-150","-215","1","115","105003","nop_05_miyako_idle_normal","0","105","1.5"
"1","100611","-150","215","1","112","105004","nop_idle_joy1","1","105","1.5"
"1","2051","-135","-25","5","114","105005","nop_skull_idle","1","105","1.5"
"1","104731","-150","-215","1","115","106001","nop_idle_arm_crossed","0","106","1.5"
"1","107131","-150","215","1","114","106002","nop_idle_arm_crossed","1","106","1.5"
"1","103731","-135","-100","1","111","106003","nop_idle_normal","0","106","1.5"
"1","100511","-135","100","1","110","106004","nop_idle_joy1","1","106","1.5"
"1","102831","-150","-100","1","115","107001","nop_idle_normal","0","107","1.5"
"1","102111","-150","100","1","114","107002","nop_idle_normal","1","107","1.5"
"1","102511","-127","-215","1","111","107003","nop_idle_normal","0","107","1.5"
"1","102311","-127","215","1","110","107004","nop_idle_normal","1","107","1.5"
"1","101011","-150","-100","1","115","108001","nop_idle_joy_normal","0","108","1.5"
"1","104331","-150","100","1","114","108002","nop_idle_arm_crossed","1","108","1.5"
"1","101711","-127","-215","1","111","108003","nop_idle_joy1","0","108","1.5"
"1","101431","-127","215","1","110","108004","nop_idle_normal","1","108","1.5"
"1","103311","-150","-100","1","115","109001","nop_idle_joy1","0","109","1.5"
"1","105211","-127","-215","1","111","109002","nop_idle_joy_normal","0","109","1.5"
"1","102611","-150","100","1","114","109003","nop_idle_sad2","1","109","1.5"
"1","103811","-127","215","1","110","109004","nop_idle_normal","1","109","1.5"
"1","103231","-150","-100","1","115","110001","nop_idle_joy1","0","110","1.5"
"1","103411","-127","215","1","110","110002","nop_10_yukari_02","1","110","1.5"
"1","11","-127","215","5","111","110003","nop_10_yukari_02","1","110","1.5"
"1","104811","-150","100","1","114","110004","nop_idle_doya","1","110","1.5"
"1","104611","-127","-215","1","111","110005","nop_idle_joy_normal","0","110","1.5"
"1","100911","-150","-100","1","115","111001","nop_11_anna_idle_arm_crossed","0","111","1.5"
"1","101311","-150","100","1","114","111002","nop_idle_joy_normal","1","111","1.5"
