d62793ed864b977b2113e6fc80472da58327cd439d99bf7d26dc26cb226189ce,ac91478eadd7a04bd12bd7bbf8bf29dbaea3c7edab3c2578a143d20e1a785c4f,ae304489b3e297e3e5a7204a2a065b33be65ecce3a23001369368d5949837dba,0296c732895a1c357518d4e4ac21bb21173f998342ef910db2a13d84952bd344,25635145edff46c018d8e5c924ac44db4872ddce1d0b23a3ed65884b069a1615,9cf8b6a843ecd3b74e1996cb7ca36192688acbe3106e57e5b982453ac95c4166,57f15ed51dc52ba1c77b9a525c6d2eb83a6b75a14fde6d1329d24fb9d5e6cac2,a3d4bf252cddabb615b1a1a35129ac246a132474c265093c5ea73779f23dcd7e,6c92b0d52eddb4145452bb8c702cc87eb44ffd91a994625464afaa9e76a724cf,be88ffa4b3593b93a3189ed0d8b2f796711ef4b6341139412aa4ec2c8ca1402f,40a7faae083dc7289bff5cc2839f3936bf4b20ab6bdf8193831035a8db0d797a
"5","10011","1","1","0","1","1","1000","0","1","0"
"2","10012","2","2","1","2","0","2000","0","2","0"
"5","10013","2","3","1","3","0","2000","0","3","0"
"8","10014","2","4","1","4","0","2000","0","4","0"
"2","10015","3","5","2","5","0","3000","0","5","0"
"5","10016","3","6","3","6","0","3000","0","6","0"
"8","10017","3","7","4","7","0","3000","0","7","0"
"2","10018","4","8","5","8","0","4000","0","8","0"
"5","10019","4","9","6","9","0","4000","0","9","0"
"8","10020","4","10","7","10","0","4000","0","10","0"
"5","10021","5","11","8","11","1","10000","9","11","10"
"2","10022","6","12","11","12","0","8000","0","12","0"
"5","10023","6","13","11","13","0","8000","0","13","0"
"8","10024","6","14","11","14","0","8000","0","14","0"
"2","10025","7","15","12","15","0","10000","0","15","0"
"5","10026","7","16","13","16","0","10000","0","16","0"
"8","10027","7","17","14","17","0","10000","0","17","0"
"2","10028","8","18","15","18","0","12000","0","18","0"
"5","10029","8","19","16","19","0","12000","0","19","0"
"8","10028","8","20","17","20","0","12000","0","20","0"
"5","10030","9","21","18","21","1","20000","19","21","20"
"2","10012","10","22","21","22","0","10000","0","22","0"
"5","10013","10","23","21","23","0","10000","0","23","0"
"8","10014","10","24","21","24","0","10000","0","24","0"
"2","10015","11","25","22","25","0","12000","0","25","0"
"5","10016","11","26","23","26","0","12000","0","26","0"
"8","10017","11","27","24","27","0","12000","0","27","0"
"2","10018","12","28","25","28","0","14000","0","28","0"
"5","10019","12","29","26","29","0","14000","0","29","0"
"8","10020","12","30","27","30","0","14000","0","30","0"
"5","10032","13","31","28","31","1","20000","29","31","30"
"2","10022","14","32","31","32","0","12000","0","32","0"
"5","10023","14","33","31","33","0","12000","0","33","0"
"8","10024","14","34","31","34","0","12000","0","34","0"
"2","10025","15","35","32","35","0","14000","0","35","0"
"5","10026","15","36","33","36","0","14000","0","36","0"
"8","10027","15","37","34","37","0","14000","0","37","0"
"2","10028","16","38","35","38","0","16000","0","38","0"
"5","10029","16","39","36","39","0","16000","0","39","0"
"8","10028","16","40","37","40","0","16000","0","40","0"
"5","10033","17","41","38","41","1","30000","39","41","40"
