94d71b8f31b638838713d77e72d1e2bff832728ad1d231e736fd7d102b22989e,ac73e3876570c1efdfab31f42628e09246458aeac6b0f226b8c4cdc0b7b5dab7,a46522020712fb21151a02071051f8d0266cd3623473668c9315b849b2bc66cc,6331c8b459d6780a661580c489bb1aaac236618e2e95ede93f363609fd88ba04,19d1079199e4e4771947050e241b414dfb15a3a835db9ec7f406f564d8e77a49
"1","74001102","add_shadow","追加1隻闇影","追加吉塔的闇影。"
"2","74001103","add_shadow","追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。"
"3","74001104","star6_shadow","闇影★6化","望的闇影變成★6。"
"4","74001104","add_shadow","追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。"
"5","74001105","star6_shadow","闇影★6化","望、吉塔、鏡華的闇影\n變成★6。"
"6","74001105","add_shadow","追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。"
"7","74001202","add_shadow","追加1隻闇影","追加優花梨的闇影。"
"8","74001203","add_shadow","追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。"
"9","74001204","star6_shadow","闇影★6化","優花梨與優衣的闇影變成★6。"
"10","74001204","add_shadow","追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。"
"11","74001205","star6_shadow","闇影★6化","宮子、優花梨、真步、優衣的闇影變成★6。"
"12","74001205","add_shadow","追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。"
"13","74001301","boss_magic_cut","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。"
"14","74001302","boss_magic_cut","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。"
"15","74001302","add_shadow","追加1隻闇影","追加靜流（夏日）的闇影。"
"16","74001303","energy_recover","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"17","74001303","boss_magic_cut","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。"
"18","74001303","add_shadow","追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。"
"19","74001304","boss_ub_enhance","Boss UB強化","Boss怪物的必殺技會受到強化。"
"20","74001304","energy_recover","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"21","74001304","boss_magic_cut","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。"
"22","74001304","add_shadow","追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。"
"23","74001305","limit_time","戰鬥時間限制","戰鬥時間變成60秒。"
"24","74001305","boss_ub_enhance","Boss UB強化","Boss怪物的必殺技會受到強化。"
"25","74001305","energy_recover","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"26","74001305","boss_magic_cut","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。"
"27","74001305","add_shadow","追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。"
"28","74001401","boss_physics_cut","Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。"
"29","74001402","boss_physics_cut","Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。"
"30","74001402","add_shadow","追加1隻闇影","追加空花（大江戶）的闇影。"
"31","74001403","energy_recover","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"32","74001403","boss_physics_cut","Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。"
"33","74001403","add_shadow","追加2隻闇影","追加空花（大江戶）與似似花的闇影。"
"34","74001404","boss_ub_enhance","Boss UB強化","Boss怪物的必殺技會受到強化。"
"35","74001404","energy_recover","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"36","74001404","boss_physics_cut","Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。"
"37","74001404","add_shadow","追加2隻闇影","追加空花（大江戶）與似似花的闇影。"
"38","74001405","limit_time","戰鬥時間限制","戰鬥時間變成60秒。"
"39","74001405","boss_ub_enhance","Boss UB強化","Boss怪物的必殺技會受到強化。"
"40","74001405","energy_recover","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"41","74001405","boss_physics_cut","Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。"
"42","74001405","add_shadow","追加2隻闇影","追加空花（大江戶）與似似花的闇影。"
"43","74001502","boss_atk_up","開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。"
"44","74001503","limit_chara_num","編組角色人數限制","可以編組的角色變成4個。"
"45","74001503","boss_atk_up","開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。"
"46","74001504","limit_chara_num","編組角色人數限制","可以編組的角色變成4個。"
"47","74001504","boss_ub_enhance","Boss UB強化","Boss怪物的必殺技會受到強化。"
"48","74001504","boss_atk_up","開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。"
"49","74001505","limit_chara_num","編組角色人數限制","可以編組的角色變成4個。"
"50","74001505","max_hp_down","降低角色的最大HP","隊伍角色的最大HP降低20%。"
