d5f57c47bf6079adf5c336f6f2ba78b9d954fb4df1689f411f0191724235965f,ffa9ecfa530c98900d94ac80549e70cdf37b4fed1be63a25866c19b2564c26ea,f3497450cb0cef57e6b42063f128957d4f3c6a6d72afab78faa1f17a572640ac,eccdce2a180c949e8e06799d55cd411eb948d14ea74f8913e7244ce5573c1bc8,de229946ff930f6c1ee695e62963dd9aaaeb32838d69aaf3463c076ff39882f3,f20789560a48c4e7473fe646dfb91682e6aa97dd7fcdf9357127de478446180d,96f8ba67a2b169060bbcf8af38897e70b40977d522ee8ac768b2d4fc919bc21f,a964c09a46e061cba3a94341add862f561206dd0e83c20e756b4c5d65a0a94d9,ee5ba73def85bd2fdb59ef252e9e486045db574147fe07b6217163cf439dcc0c,e649433465b2a60b123ce1e314102213f6dd4a4e8799755196670c1d0cada883,2facf1f706b9aa27217781551c567f3f0917381abe84acb060b40eb4f4a295f6,037341a07c35d518483c5dfb231798c4fbd8e7020df9a60309db8ed82e5727f5
"0","0","515406201","0","0","4","1","5154062","0","1","0","0.8"
"0","vo_abd_0101","515406202","0","0","2","2","5154062","0","0","vo_abd","0"
"2","0","515406203","0","1","1","3","5154062","300","0","0","0"
"0","0","515406204","0","0","4","4","5154062","0","1","0","2.1"
"0","vo_abd_0102","515406205","0","0","2","5","5154062","0","0","vo_abd","0"
"2.05","0","515406206","0","2","1","6","5154062","400","0","0","0"
"0","0","515406207","0","0","4","7","5154062","0","1","0","3.2"
"0","vo_abd_0103","515406208","0","0","2","8","5154062","0","0","vo_abd","0"
"1","0","515406209","0","3","1","9","5154062","60","0","0","0"
"0","0","515406210","0","0","4","10","5154062","0","1","0","1.4"
"2.5","0","515406211","60","3","1","11","5154062","430","0","0","0"
"0","0","515406212","0","0","4","12","5154062","0","1","0","3.3"
"0","vo_abd_0104","515406213","0","0","2","13","5154062","0","0","vo_abd","0"
"0.2","0","515406214","0","4","1","14","5154062","39","0","0","0"
"0","0","515406215","0","0","4","15","5154062","0","1","0","0.5"
"0.2","0","515406216","39","4","1","16","5154062","77","0","0","0"
"0","0","515406217","0","0","4","17","5154062","0","1","0","0.6"
"0.8","0","515406218","77","4","1","18","5154062","205","0","0","0"
"0","0","515406219","0","0","4","19","5154062","0","1","0","1.2"
"1.8","0","515406220","205","4","1","20","5154062","410","0","0","0"
"0","0","515406221","0","0","4","21","5154062","0","1","0","2.2"
"0","vo_abd_0105","515406222","0","0","2","22","5154062","0","0","vo_abd","0"
"0.6","0","515406223","0","5","1","23","5154062","69","0","0","0"
"0","0","515406224","0","0","4","24","5154062","0","1","0","1"
"0.7","0","515406225","69","5","1","25","5154062","195","0","0","0"
"0","0","515406226","0","0","4","26","5154062","0","1","0","1.5"
"0.8","0","515406227","195","5","1","27","5154062","315","0","0","0"
"0","0","515406228","0","0","4","28","5154062","0","1","0","1"
"0.7","0","515406229","315","5","1","29","5154062","415","0","0","0"
"0","0","515406230","0","0","4","30","5154062","0","1","0","2"
"0","vo_abd_0106","515406231","0","0","2","31","5154062","0","0","vo_abd","0"
"1","0","515406232","0","6","1","32","5154062","190","0","0","0"
"0","0","515406233","0","0","4","33","5154062","0","1","0","1.3"
"1","0","515406234","190","6","1","34","5154062","415","0","0","0"
"0","0","515406235","0","0","4","35","5154062","0","1","0","2.3"
"0","vo_abd_0107","515406236","0","0","2","36","5154062","0","0","vo_abd","0"
"0.7","0","515406237","0","7","1","37","5154062","47","0","0","0"
"0","0","515406238","0","0","4","38","5154062","0","1","0","0.8"
"0.8","0","515406239","47","7","1","39","5154062","360","0","0","0"
"0","0","515406240","0","0","4","40","5154062","0","1","0","2"
"0","vo_abd_0108","515406241","0","0","2","41","5154062","0","0","vo_abd","0"
"2.63","0","515406242","0","8","1","42","5154062","415","0","0","0"
"0","0","515406243","0","0","4","43","5154062","0","1","0","2.63"
"0","vo_abd_0109","515406244","0","0","2","44","5154062","0","0","vo_abd","0"
"1","0","515406245","0","9","1","45","5154062","0","0","0","0"
"0","0","515406246","0","0","4","46","5154062","0","1","0","2"
"0.5","0","515406247","0","9","1","47","5154062","61","0","0","0"
"0","0","515406248","0","0","4","48","5154062","0","1","0","1.2"
"1.5","0","515406249","61","9","1","49","5154062","415","0","0","0"
"0","0","515406250","0","0","4","50","5154062","0","1","0","2.5"
"0","vo_abd_0110","515406251","0","0","2","51","5154062","0","0","vo_abd","0"
"0.2","0","515406252","0","10","1","52","5154062","28","0","0","0"
"0","0","515406253","0","0","4","53","5154062","0","1","0","0.6"
"1.3","0","515406254","28","10","1","54","5154062","400","0","0","0"
"0","0","515406255","0","0","4","55","5154062","0","1","0","2.3"
"0","vo_abd_0111","515406256","0","0","2","56","5154062","0","0","vo_abd","0"
"0.3","0","515406257","0","11","1","57","5154062","60","0","0","0"
"0","0","515406258","0","0","4","58","5154062","0","1","0","1.2"
"1","0","515406259","60","11","1","59","5154062","315","0","0","0"
"0","0","515406301","0","0","4","1","5154063","0","1","0","0.8"
"0","vo_abd_0201","515406302","0","0","2","2","5154063","0","0","vo_abd","0"
"1.5","0","515406303","0","1","1","3","5154063","350","0","0","0"
"0","0","515406304","0","0","4","4","5154063","0","1","0","2.25"
"0","vo_abd_0202","515406305","0","0","2","5","5154063","0","0","vo_abd","0"
"1.8","0","515406306","0","2","1","6","5154063","390","0","0","0"
"0","0","515406307","0","0","4","7","5154063","0","1","0","3"
"0","vo_abd_0203","515406308","0","0","2","8","5154063","0","0","vo_abd","0"
"1.5","0","515406309","0","3","1","9","5154063","330","0","0","0"
"0","0","515406310","0","0","4","10","5154063","0","1","0","1.8"
"0","vo_abd_0204","515406311","0","0","2","11","5154063","0","0","vo_abd","0"
"1.3","0","515406312","0","4","1","12","5154063","300","0","0","0"
"0","0","515406313","0","0","4","13","5154063","0","1","0","2.5"
"0","vo_abd_0205","515406314","0","0","2","14","5154063","0","0","vo_abd","0"
"1.5","0","515406315","0","5","1","15","5154063","360","0","0","0"
"0","0","515406316","0","0","4","16","5154063","0","1","0","2"
"0","vo_abd_0206","515406317","0","0","2","17","5154063","0","0","vo_abd","0"
"1.8","0","515406318","0","6","1","18","5154063","310","0","0","0"
"0","0","515406319","0","0","4","19","5154063","0","1","0","3"
"0","vo_abd_0207","515406320","0","0","2","20","5154063","0","0","vo_abd","0"
"1.2","0","515406321","0","8","1","21","5154063","138","0","0","0"
"0","0","515406322","0","0","4","22","5154063","0","1","0","1.6"
"0.45","0","515406323","138","8","1","23","5154063","400","0","0","0"
"0","0","515406324","0","0","4","24","5154063","0","1","0","0.45"
"0","vo_abd_0208","515406325","0","0","2","25","5154063","0","0","vo_abd","0"
"1.1","0","515406326","0","9","1","26","5154063","360","0","0","0"
"0","0","515406327","0","0","4","27","5154063","0","1","0","1.6"
"0","vo_abd_0209","515406328","0","0","2","28","5154063","0","0","vo_abd","0"
"0.5","0","515406329","0","10","1","29","5154063","280","0","0","0"
"0","0","515406330","0","0","4","30","5154063","0","1","0","0.5"
"0","vo_abd_0210","515406331","0","0","2","31","5154063","0","0","vo_abd","0"
"1","0","515406332","0","11","1","32","5154063","360","0","0","0"
"0","0","515406401","0","0","4","1","5154064","0","1","0","0.8"
"0","vo_abd_0301","515406402","0","0","2","2","5154064","0","0","vo_abd","0"
"2","0","515406403","0","1","1","3","5154064","400","0","0","0"
"0","0","515406404","0","0","4","4","5154064","0","1","0","2.8"
"0","vo_abd_0302","515406405","0","0","2","5","5154064","0","0","vo_abd","0"
"2","0","515406406","0","2","1","6","5154064","400","0","0","0"
"0","0","515406407","0","0","4","7","5154064","0","1","0","3.5"
"0","vo_abd_0303","515406408","0","0","2","8","5154064","0","0","vo_abd","0"
"2.8","0","515406409","0","3","1","9","5154064","425","0","0","0"
"0","0","515406410","0","0","4","10","5154064","0","1","0","3.5"
"0","vo_abd_0304","515406411","0","0","2","11","5154064","0","0","vo_abd","0"
"3","0","515406412","0","4","1","12","5154064","450","0","0","0"
"0","0","515406413","0","0","4","13","5154064","0","1","0","4"
"0","vo_abd_0305","515406414","0","0","2","14","5154064","0","0","vo_abd","0"
"0.2","0","515406415","0","5","1","15","5154064","63","0","0","0"
"0","0","515406416","0","0","4","16","5154064","0","1","0","1.05"
"2","0","515406417","63","5","1","17","5154064","420","0","0","0"
"0","0","515406418","0","0","4","18","5154064","0","1","0","3.5"
"0","vo_abd_0306","515406419","0","0","2","19","5154064","0","0","vo_abd","0"
"1","0","515406420","0","6","1","20","5154064","151","0","0","0"
"0","0","515406421","0","0","4","21","5154064","0","1","0","1.7"
"1","0","515406422","151","6","1","22","5154064","260","0","0","0"
"0","0","515406423","0","0","4","23","5154064","0","1","0","2.8"
"0.8","0","515406424","0","7","1","24","5154064","48","0","0","0"
"0","0","515406425","0","0","4","25","5154064","0","1","0","0.96"
