ff0ad2682b9f17ae0bc135f7e52b1a4eeff2264b021f9db0706664c73e89701b,91f7637645e3d7a2064f7f87a30402b208dad10a8514a94c02623816afc5fbda,729d3d4379eb23deebf2dd621d5d23265dd851cd49d56c4a49237961f127772f,07f5ab9cad6ce57c2df711ea7102d126ce33b3a4010e401c88731ba3a817d449,9af013eefca7db5a59a7f7305ba10b6a6ccf7842f87dc4edc7283a78788d4b1a,cff3395813acc82d311d7078c1ca9cab5cb2be7b9e1ed979ec80f7a56f4b046f,6aa380734e0e23320299a634080a83877ed6105f3002ad0850b8e170303f8efb,bb692b7027c71a96a65c5beb0247cece2fcd26e00323474ddcde854aa3fc63a9,0660e6d384a5f41d3086afa3c8164c9f67520ea0f9284fdc9f1420a3ed1e7786
"1","3","獨一無二的","2","1","1","0","1","1"
"1","3","完美無缺的","2","1","2","0","1","1"
"1","3","蘭德索爾最快的","2","1","3","1","1","1"
"1","3","明鏡止水的","2","1","4","0","1","1"
"1","3","史上最快的","2","1","5","0","1","1"
"1","3","最強最快的","2","1","6","0","1","1"
"1","3","極限的","2","1","7","2","1","1"
"1","3","一百分滿分","2","1","8","0","1","1"
"1","3","最優秀的","2","1","9","0","1","1"
"1","3","橫掃千軍的","2","1","10","0","1","1"
"1","3","獨一無二的","2","1","11","0","1","1"
"1","3","天下無雙的","2","1","12","0","1","1"
"0","3","泰然自若的","2","1","13","0","1","1"
"0","3","極度的","2","1","14","0","1","1"
"0","3","Light Speed","2","1","15","0","1","1"
"0","3","稀世的","2","1","16","0","1","1"
"0","3","極限的","2","1","17","0","1","1"
"0","3","至高的","2","1","18","0","1","1"
"0","3","閃耀的","2","1","19","0","1","1"
"0","3","千錘百鍊的","2","1","20","0","1","1"
"0","3","疾風迅雷的","2","1","21","0","1","1"
"0","3","電光石火的","2","1","22","0","1","1"
"1","3","變化自如的","2","1","23","0","1","0"
"1","3","空前絕後的","2","1","24","0","1","0"
"1","3","代表性的","2","1","25","0","1","0"
"1","3","音速的","2","1","26","0","1","0"
"1","3","超乎常理的","2","1","27","0","1","0"
"1","3","勇猛奮鬥的","2","1","28","0","1","0"
"1","3","勇猛果敢的","2","1","29","2","1","0"
"1","3","威風凜凜的","2","1","30","2","1","0"
"1","3","欲速則不達的","2","1","31","0","1","0"
"1","3","心態良好的","2","1","32","0","1","0"
"0","3","夢想的","2","1","33","0","1","0"
"0","3","佳的","2","1","34","0","1","0"
"0","3","一般般的","2","1","35","0","1","0"
"0","3","新手標記的","2","1","36","2","1","0"
"0","3","有未來的","2","1","37","0","1","0"
"0","3","新手的","2","1","38","0","1","0"
"0","3","初出茅廬的","2","1","39","0","1","0"
"0","3","慢慢的","2","1","40","0","1","0"
"0","3","新銳的","2","1","41","0","1","0"
"0","3","不屈不撓的","2","1","42","0","1","0"
"0","3","百折不撓的","2","1","43","0","1","0"
