b8e79ba09acd5556c77776e5c790474bd43222dea75c4fecf7783f773c525d85,3ba8074ecff1bda43fa673bebf869e96f6911dd04c259731e46afb4e16774d10,73859efecb9a3e31849cbf45fceee33e4029a5ab43d2b66a4e660d7e1647e520,bf34b16602cc1e9bcf605fe89bbb88be6b4030d9d11d27f88ea1787623e7ed36,e5bb25bde98b4ab5301fb0fc8b182c0ebf38b361bb8cbe747dd2277bdda29dda,9aa831ea87b5a8c776b2a0b0e18f47b424d81679f6cc75bd8e2dcfde3368562c,f0efca936c93a40871c141ac9da1f6d4f1ee462b144cc9453e302274167a5c4a,9e875b6bfdbf8e3af0e49705ee9087d812ba3468077998d3043dfad651596f26,c48e60d97c2829792c7cb5b4ffbcc565e4ea3b41edf99bbe37470fffbcdf17ce,16e5ea394c653c9b66dd34ada48777c55f8db04044ec512d2451446160af4e64,e3340b1a889b4489c3747913066e26def01ebe570a2ad75c8928e238747d1d1f,a7f562b2aa2fee9631fd6ef1cdf4e6a9c0156501327022aadc0474886d10d9dd,9c5a552dac7b48e9e4c11ba6f6f4bdf994ae0c143d761d6bffa9024479079fd5,a08d6c4b7f1572377c8d29056fb31ace4dbe1af3b10ae6308b4bc17a28535d7c,67a6afa302c51de284237888d32ee7a4afcb113ee3020291a9affbe528d0f421,5d28f493d56b614af848f878bf21b2e9dae970aefdad9d04a607d3ef127e340d
"0","0","0","0","105","10016","103","101","1","5","1","102","1","104","1","0"
"0","1","0","0","205","10021","203","201","2","2","1","202","2","204","2","0"
"0","1","0","0","305","10053","303","301","5","5","1","302","3","304","2","0"
"0","1","0","0","405","10044","403","401","4","8","1","402","4","404","2","0"
"0","2","0","0","505","10042","503","501","4","2","1","502","5","504","3","0"
"0","3","0","0","605","10024","603","601","2","5","1","602","6","604","3","0"
"0","4","0","0","705","10015","703","701","1","8","1","702","7","704","3","0"
"0","5","0","0","0","11012","0","801","101","2","1","0","8","0","4","0"
"0","6","0","0","905","10023","903","901","2","5","1","902","9","904","4","0"
"0","7","0","0","0","11011","0","1001","101","8","1","0","10","0","4","0"
"0","8","0","0","1105","10052","1103","1101","5","2","1","1102","11","1104","5","0"
"0","9","0","0","1205","10045","1203","1201","4","5","1","1202","12","1204","5","0"
"0","10","0","0","1305","10021","1303","1301","2","8","1","1302","13","1304","5","0"
"0","11","0","0","1405","10013","1403","1401","1","2","1","1402","14","1404","6","0"
"0","12","0","0","1505","10054","1503","1501","5","5","1","1502","15","1504","6","0"
"0","13","0","0","0","11015","0","1601","101","8","1","0","16","0","6","0"
"0","14","0","0","0","11002","0","1701","100","2","1","0","17","0","7","0"
"0","15","0","0","1805","10043","1803","1801","4","5","1","1802","18","1804","7","0"
