12b1b8c0bda20bfc4f59fdbe555bd0fe13f4a5f3e59e3838f13da8be294289cc,33c6dd9d6d62d593c13bf828722764d4a17364486f231caae3d517cfae51fdec,33d28352047e8a0476e31faa6eb780ed61df4238a9177dd2886ef9a8d80d7c21,837d7cbe7b4418028ac966a342913f001e7e0fc6d608494cdae2eb58bea31c54,6987040f9b48e6b811b190f5a5558d555d493f26687ad71d3129ffd60bb7601a
"12","94002","100101","1","3000000"
"2","20004","100101","2","300"
"2","90008","100102","3","1000"
"2","25001","100103","4","6"
"12","94002","100104","5","1000000"
"2","20004","100104","6","300"
"2","90008","100105","7","1000"
"2","25001","100106","8","6"
"8","91002","100107","9","40"
"12","94002","100107","10","1000000"
"2","20004","100107","11","300"
"2","90008","100108","12","1000"
"2","41000","100109","13","1"
"2","25001","100109","14","7"
"12","94002","100110","15","1000000"
"2","20004","100110","16","400"
"2","90008","100111","17","1500"
"8","91002","100112","18","40"
"2","25001","100112","19","7"
"12","94002","100113","20","1000000"
"2","20004","100113","21","400"
"2","90008","100114","22","1500"
"2","41000","100115","23","1"
"2","25001","100115","24","7"
"12","94002","100116","25","1000000"
"2","20004","100116","26","500"
"8","91002","100117","27","40"
"2","90008","100117","28","1500"
"12","94002","100118","29","2000000"
"2","25001","100118","30","8"
"2","90008","100118","31","2000"
"12","94002","100201","32","3000000"
"2","20004","100201","33","300"
"2","90008","100202","34","1000"
"2","25001","100203","35","12"
"12","94002","100204","36","1000000"
"2","20004","100204","37","300"
"2","90008","100205","38","1000"
"2","25001","100206","39","10"
"8","91002","100207","40","40"
"12","94002","100207","41","1000000"
"2","20004","100207","42","300"
"2","90008","100208","43","1000"
"2","41000","100209","44","1"
"2","25001","100209","45","10"
"12","94002","100210","46","1000000"
"2","20004","100210","47","400"
"2","90008","100211","48","1500"
"8","91002","100212","49","40"
"2","25001","100212","50","9"
"12","94002","100213","51","1000000"
"2","20004","100213","52","400"
"2","90008","100214","53","1500"
"2","41000","100215","54","1"
"12","94002","100216","55","1000000"
"2","20004","100216","56","500"
"8","91002","100217","57","40"
"2","90008","100217","58","1500"
"12","94002","100218","59","2000000"
"2","90008","100218","60","2000"
"12","94002","100301","61","3000000"
"2","20004","100301","62","300"
"2","90008","100302","63","1000"
"2","25001","100303","64","12"
"12","94002","100304","65","1000000"
"2","20004","100304","66","300"
"2","90008","100305","67","1000"
"2","25001","100306","68","10"
"8","91002","100307","69","40"
"12","94002","100307","70","1000000"
"2","20004","100307","71","300"
"2","90008","100308","72","1000"
"2","41000","100309","73","1"
"2","25001","100309","74","10"
"12","94002","100310","75","1000000"
"2","20004","100310","76","400"
"2","90008","100311","77","1500"
"8","91002","100312","78","40"
"2","25001","100312","79","9"
"12","94002","100313","80","1000000"
"2","20004","100313","81","400"
"2","90008","100314","82","1500"
"2","41000","100315","83","1"
"12","94002","100316","84","1000000"
"2","20004","100316","85","500"
"8","91002","100317","86","40"
"2","90008","100317","87","1500"
"12","94002","100318","88","2000000"
"2","90008","100318","89","2000"
"12","94002","100401","90","3000000"
"2","20004","100401","91","300"
"2","90008","100402","92","1000"
"2","25001","100403","93","12"
"12","94002","100404","94","1000000"
"2","20004","100404","95","300"
"2","90008","100405","96","1000"
"2","25001","100406","97","10"
"8","91002","100407","98","40"
"12","94002","100407","99","1000000"
"2","20004","100407","100","300"
"2","90008","100408","101","1000"
"2","41000","100409","102","1"
"2","25001","100409","103","10"
"12","94002","100410","104","1000000"
"2","20004","100410","105","400"
"2","90008","100411","106","1500"
"8","91002","100412","107","40"
"2","25001","100412","108","9"
"12","94002","100413","109","1000000"
"2","20004","100413","110","400"
"2","90008","100414","111","1500"
"2","41000","100415","112","1"
"12","94002","100416","113","1000000"
"2","20004","100416","114","500"
"8","91002","100417","115","40"
"2","90008","100417","116","1500"
"12","94002","100418","117","2000000"
"2","90008","100418","118","2000"
"12","94002","100501","119","3000000"
"2","20004","100501","120","300"
"2","90008","100502","121","1000"
"2","25001","100503","122","12"
"12","94002","100504","123","1000000"
"2","20004","100504","124","300"
"2","90008","100505","125","1000"
"2","25001","100506","126","10"
"8","91002","100507","127","40"
"12","94002","100507","128","1000000"
"2","20004","100507","129","300"
"2","90008","100508","130","1000"
"2","41000","100509","131","1"
"2","25001","100509","132","10"
"12","94002","100510","133","1000000"
"2","20004","100510","134","400"
"2","90008","100511","135","1500"
"8","91002","100512","136","40"
"2","25001","100512","137","9"
"12","94002","100513","138","1000000"
"2","20004","100513","139","400"
"2","90008","100514","140","1500"
"2","41000","100515","141","1"
"12","94002","100516","142","1000000"
"2","20004","100516","143","500"
"8","91002","100517","144","40"
"2","90008","100517","145","1500"
"12","94002","100518","146","2000000"
"2","90008","100518","147","2000"
