5bf3af9bb1508b06d16342dbc3266b070818127fd8c11ebed1b4eadd4ff088dc,3873d4a4e71d123ee0bc79e029847ba8815f84c1b2dba1e130eb90a4196a55d5,32002c260180c64ae1faad6ec5c8550944054ec4aaa022319e1b9483fee1fd64,3cc88c327aa866b90c184d7bb46c058388b5bc87d888175d9777b9313c4e4fb0,73da0324f4a7545ae0252cad3dbdf1b518571684585bc26ffe4b1b470bb17012,7d246ef7e63ea72d123fa80fc8ea6141e2fccf08f3c1785d1df5a9ee8cd5cbd6,9145ae2e3a253c3ef698e63d8c60af127ca32e7eeda0e214c591eb82d4faf662,91f3de8567947a8137f21d7883392dfb4f824652a3443f6363999a01c06a1ecd,a20bb5922aea873cc1beebc9b58e360784c0dc2db868ff8cd70a4b12e39728d4,a83fd24c27a0a43daed8197f6103be81d2683201353ca01abd079f17e588aa78
"0","0","2018/01/01 15:00:00","10001","0","2019/08/01 15:59:59","0","0","0","0"
"1","0","2019/08/01 16:00:00","10002","1","2020/02/14 15:59:59","1001","1001","0","1001"
"1","0","2020/02/14 16:00:00","10003","1","2020/08/03 15:59:59","1001","0","0","0"
"1","1002","2020/08/03 16:00:00","10004","1","2020/08/31 23:59:59","1001","1002","0","1002"
"2","1002","2020/08/03 16:00:00","10005","2","2020/08/31 23:59:59","1002","1002","2015009","1002"
"1","0","2020/09/01","10006","1","2021/02/09 04:59:59","1001","0","0","0"
"2","0","2020/09/01","10007","2","2021/02/09 04:59:59","1002","0","2015009","0"
"1","1003","2021/02/09 05:00:00","10008","1","2021/02/26 04:59:59","1001","0","0","0"
"2","1003","2021/02/09 05:00:00","10009","2","2021/02/26 04:59:59","1002","0","2015009","0"
"1","0","2021/02/26 04:59:59","10010","1","2021/08/01 04:59:59","1001","0","0","0"
"2","0","2021/02/26 04:59:59","10011","2","2021/08/01 04:59:59","1002","0","2015009","0"
"1","1004","2021/08/01 05:00:00","10012","1","2021/08/31 23:59:59","1001","1003","0","1003"
"2","1004","2021/08/01 05:00:00","10013","2","2021/08/31 23:59:59","1002","1003","2015009","1003"
"1","0","2021/09/01","10014","1","2023/08/01 04:59:59","1001","0","0","0"
"2","0","2021/09/01","10015","2","2023/08/01 04:59:59","1002","0","2015009","0"
"1","1008","2023/08/01 05:00:00","10028","1","2023/08/31 23:59:59","1001","1005","0","1005"
"2","1008","2023/08/01 05:00:00","10029","2","2023/08/31 23:59:59","1002","1005","2015009","1005"
"1","0","2023/09/01","10030","1","2030/08/15 14:59:59","1001","0","0","0"
"2","0","2023/09/01","10031","2","2030/08/15 14:59:59","1002","0","2015009","0"
