ca20eed906c4c5affc9b2238b86685a582f85a4850b0abeb45301878f75e9096,eff72752b0856253b1342fba97b59e465e62059070f2bb2bc1fa8ec5b0c268af,21669cb60fd00ac1e730f5d8544d89ad9832fc82c44fa45863e3d027c67131f1,89232df2db37652ec69dbedf0b257853b59b6397cb8d53da1f9eee620b9b6565
"10000","1st Anniversary 特殊登入獎勵","2019/08/01 05:00:00","2019/08/15 04:59:00"
"10002","1.5週年登入禮","2020/01/21 05:00:00","2020/02/07 04:59:59"
"10003","2nd Anniversary 特殊登入獎勵","2020/06/22 05:00:00","2020/07/08 04:59:59"
"10004","2.5 Anniversary 特殊登入獎勵","2021/02/09 05:00:00","2021/02/26 04:59:59"
"10005","3rd Anniversary 特殊登入獎勵","2021/08/01 05:00:00","2021/08/15 04:59:59"
"10006","3.5 Anniversary 特殊登入獎勵","2022/02/01 05:00:00","2022/02/18 04:59:59"
"10007","4th Anniversary 特殊登入獎勵","2022/08/01 05:00:00","2022/08/15 04:59:59"
"10008","4.5 Year Anniversary 特殊登入獎勵","2023/01/20 05:00:00","2023/02/06 04:59:59"
"10009","5th Anniversary 特殊登入獎勵","2023/08/01 05:00:00","2023/08/15 04:59:59"
"10010","5.5 Year Anniversary 特殊登入獎勵","2024/02/07 05:00:00","2024/02/24 04:59:59"
