c3c1d3c65598848cbdc5f9493dc1e927fe2265c4cf81a175f751c0386d09c7d1,814aabc6c9104df83e5c219cf20f0c1d4a432973a04dbf641d5f957f0f62774b,2129259504eca8e5e31a22510ddb2b548a6c85f32de6a3ea31185dd6285ec6ff,3abe863488aa5e73c0d22fd38ad917522733baa351239e016612e558106d6244,1be9271db759d0996cbeea5d68a9129a5780ea12a7a07b10c5571945a4e1d515,b4781808ff5ac09dd90656430947e2d6af1fd4c53988f83065b86e5a8f26e9ef,3875d028d163d1ebc8b8bd8407675cb331c736e7b468e8e2ea6c7973fa9535d6,8d28455c95647348df8b3281f3505a811b77f9b7928ca2f403aa58b67bc3e351,f5aaa3b488287a3510b2966bfc02457d264e1006e959ea11a9e40f7cd6c5197f,aefcc8dfac833a73dafb4ba7b49841017d72a9715487dcfedf38955acea9d30a,75804c45f77fcd019ed01f81ed716422859fdebd7c20f88cdf021b2635a3e34c,28f849b7cdde4bc9a0300c2653e08d05aa653bdb68c25230da24f957f3e209fc,3ac56e1c60978b65c33a2c1847ddea0b4f71a95d415824453521ce1d370eab28,8d50fe5e741e145e83f4239182aed0e4ed8b785d3ee94d044417c76bd895962c,9225764ac10907e036d4e05ca7fd3d25ea950b2c7f79517bb8e7222932ce151e,ea450ff870b5936799fc37ef3f470dac2448053ff74f7525f5f4594ef70afca2,2273cc47bb96e6433bc80717fc7f6b738c02c5a0022c00b69f3ad97cf2941616,21e57e29ce18d992a9922714f3e8601d9acce9e9298385ede377fdb5187089c4
"1","0","2","每日寶石禮包未領取的獎勵","30","2","每日寶石禮包第{1}天的獎勵","9","3","0","403","104","2000","1","17001001","1","1","9401"
"1","0","1","每日瑪那禮包未領取的獎勵","30","2","每日瑪那禮包第{1}天的獎勵","12","3","0","403","0","0","1","17001101","0","101","99401"
"1","0","0","","1","2","","13","0","0","403","0","0","1","17001102","0","102","99402"
"1","0","0","","7","2","","14","1","0","403","0","0","1","17001103","0","103","99403"
"1","0","0","","30","2","","15","3","0","403","0","0","1","17001104","0","104","99404"
"1","0","1","每日體力未領取的獎勵","30","0","每日體力禮包第{1}天的獎勵","32","3","0","403","0","0","1","17001105","0","105","99445"
"1","0","1","每日秘石未領取的獎勵","30","2","每日秘石禮包第{1}天的獎勵","41","3","0","403","0","0","1","17001106","0","106","99456"
"1","0","1","每日瑪那禮包未領取的獎勵","30","2","每日瑪那禮包第{1}天的獎勵","42","3","0","403","0","0","1","17001107","0","107","99401"
"1","0","1","每日寶石禮包未領取的獎勵","90","2","每日寶石禮包第{1}天的獎勵","75","3","0","403","104","0","1","17001109","0","2","9401"
"0","1","0","","7","1","","90","3","1","0","103","1000","0","0","3","0","9402"
"1","0","1","公主之心碎片每日禮包未領取的獎勵","30","2","公主之心碎片每日禮包第{1}天的獎勵","91","3","0","403","0","0","1","17001108","0","108","99517"
"0","1","0","","30","1","","139","3","1","0","103","1000","0","0","3","0","9402"
"2","0","1","","7","3","體力應援包第{1}天的獎勵","211","0","0","405","103","0","0","17001110","1","3","99559"
