66e84379523a05eea979a0a3a12cfcf2a92a4ebddc8a8d732bc08e6cbe841138,7f020184766efce0bb3dacd4b1f92be76ec216fc21ab54cb2ed583040d84314f,32a3e8217a16b91e8b77f6b9205d476fb230a50504167f69aeab84d26886f854,d7039f74604e14ab8cb5adeca5d569168ea58b7dcf7c8f686ef9247fbcd8a7dd,782c6bbd7728a8587fcdcec30d4c09be303165ff46019b4c2e2a2346d2b7eb88,4d25ef91a45e7c78aeb4c8e277f52db82fa923ea8fcdec33caa6bb9a7d858a3d,86c28da166cd4afd21baf6c7264342c13ebf2172fe084769f205e41220450a95,104b36fce715e237ac857854c84917a5d3be1bdd82441eb6d5def8fb8642dcba,e654c4f280f28ddc79afe612a03bb795879dddfd8191f06da928835fba66b1cb
"","1","2","2","23001","1","21600","","1"
"","2","3","2","23001","1","19800","","1"
"","3","3","2","23001","1","18000","","1"
"","4","3","2","23001","1","16200","","1"
"","5","4","2","23001","1","14400","","1"
"","6","4","2","23001","1","12960","","1"
"","7","5","2","23001","1","11520","","1"
"","8","6","2","23001","1","10080","","1"
"","9","7","2","23001","1","8640","","1"
"","10","8","2","23001","1","7200","","1"
"","11","10","2","23001","1","5760","","1"
"","12","12","2","23001","1","5040","","1"
"","13","14","2","23001","1","4320","","1"
"","14","16","2","23001","1","7200","","2"
"","15","18","2","23001","1","5400","","2"
"","16","18","2","23001","1","5040","","2"
"","17","18","2","23001","1","4800","","2"
"","18","20","2","23001","1","4500","","2"
"","19","20","2","23001","1","4320","","2"
"","20","24","2","23001","1","6000","","3"
"","21","48","2","23001","1","5700","","3"
"","22","48","2","23001","1","5400","","3"
"","23","51","2","23001","1","5220","","3"
"","24","54","2","23001","1","4980","","3"
"","25","54","2","23001","1","4800","","3"
"","26","60","2","23001","1","4500","","3"
"","27","60","2","23001","1","4320","","3"
"","28","63","2","23001","1","4200","","3"
"","29","64","2","23001","1","5400","","4"
"","30","68","2","23001","1","5220","","4"
"","31","72","2","23001","1","5040","","4"
"","32","72","2","23001","1","4920","","4"
"","1","80","6","93001","2","21600","","20"
"","2","96","6","93001","2","21600","","24"
"","3","112","6","93001","2","21600","","28"
"","4","120","6","93001","2","21600","","30"
"","5","128","6","93001","2","21600","","32"
"","6","136","6","93001","2","21600","","34"
"","7","144","6","93001","2","21600","","36"
"","8","152","6","93001","2","21600","","38"
"","9","160","6","93001","2","21600","","40"
"","10","168","6","93001","2","21600","","42"
"","11","176","6","93001","2","21600","","44"
"","12","184","6","93001","2","21600","","46"
"","13","192","6","93001","2","21600","","48"
"","14","200","6","93001","2","21600","","50"
"","15","208","6","93001","2","21600","","52"
"","16","216","6","93001","2","21600","","54"
"","17","224","6","93001","2","21600","","56"
"","18","232","6","93001","2","21600","","58"
"","19","240","6","93001","2","21600","","60"
"","20","248","6","93001","2","21600","","62"
"","21","256","6","93001","2","21600","","64"
"","22","264","6","93001","2","21600","","66"
"","23","272","6","93001","2","21600","","68"
"","24","280","6","93001","2","21600","","70"
"","25","288","6","93001","2","21600","","72"
"","26","296","6","93001","2","21600","","74"
"","27","304","6","93001","2","21600","","76"
"","28","312","6","93001","2","21600","","78"
"","29","320","6","93001","2","21600","","80"
"","30","328","6","93001","2","21600","","82"
"","31","336","6","93001","2","21600","","84"
"","32","340","6","93001","2","21600","","85"
"","1","3","2","20001","3","14400","","1"
"","2","5","2","20001","3","9600","","1"
"","3","7","2","20001","3","7200","","1"
"","4","10","2","20001","3","5400","","1"
"","5","15","2","20001","3","3600","","1"
"","6","6","2","20002","3","9600","","1"
"","7","8","2","20002","3","7200","","1"
"","8","12","2","20002","3","4800","","1"
"","9","16","2","20002","3","3600","","1"
"","10","20","2","20002","3","2700","","1"
"","11","6","2","20003","3","10800","","1"
"","12","8","2","20003","3","9000","","1"
"","13","12","2","20003","3","7200","","1"
"","14","16","2","20003","3","5400","","1"
"","15","20","2","20003","3","3600","","1"
"","16","30","2","20003","3","2880","","1"
"","17","7","2","20004","3","12600","","1"
"","18","8","2","20004","3","11400","","1"
"","19","9","2","20004","3","10200","","1"
"","20","10","2","20004","3","9300","","1"
"","21","10","2","20004","3","8700","","1"
"","22","13","2","20004","3","6600","","1"
"","23","14","2","20004","3","6300","","1"
"","24","15","2","20004","3","6000","","1"
"","25","15","2","20004","3","5700","","1"
"","26","16","2","20004","3","5400","","1"
"","27","17","2","20004","3","5100","","1"
"","28","18","2","20004","3","4860","","1"
"","29","19","2","20004","3","4620","","1"
"","30","20","2","20004","3","4440","","1"
"","31","21","2","20004","3","4260","","1"
"","32","22","2","20004","3","4080","","1"
"","1","12000","12","94002","4","21600","","3000"
"","2","18000","12","94002","4","21600","","4500"
"","3","24000","12","94002","4","21600","","6000"
"","4","30000","12","94002","4","21600","","7500"
"","5","42000","12","94002","4","21600","","10500"
"","6","54000","12","94002","4","21600","","13500"
"","7","66000","12","94002","4","21600","","16500"
"","8","84000","12","94002","4","21600","","21000"
"","9","102000","12","94002","4","21600","","25500"
"","10","120000","12","94002","4","21600","","30000"
"","11","144000","12","94002","4","21600","","36000"
"","12","168000","12","94002","4","21600","","42000"
"","13","192000","12","94002","4","21600","","48000"
"","14","222000","12","94002","4","21600","","55500"
"","15","252000","12","94002","4","21600","","63000"
"","16","282000","12","94002","4","21600","","70500"
"","17","318000","12","94002","4","21600","","79500"
"","18","354000","12","94002","4","21600","","88500"
"","19","390000","12","94002","4","21600","","97500"
"","20","432000","12","94002","4","21600","","108000"
"","21","474000","12","94002","4","21600","","118500"
"","22","516000","12","94002","4","21600","","129000"
"","23","562000","12","94002","4","21600","","140500"
"","24","600000","12","94002","4","21600","","150000"
"","25","642000","12","94002","4","21600","","160500"
"","26","684000","12","94002","4","21600","","171000"
"","27","726000","12","94002","4","21600","","181500"
"","28","768000","12","94002","4","21600","","192000"
"","29","810000","12","94002","4","21600","","202500"
"","30","852000","12","94002","4","21600","","213000"
"","31","894000","12","94002","4","21600","","223500"
"","32","920000","12","94002","4","21600","","230000"
"","1","48","6","93001","5","21600","","12"
"","1","48","6","93001","6","21600","","12"
"","1","48","6","93001","7","21600","","12"
"","1","48","6","93001","8","21600","","12"
