80854fccf92cb37e66ee127d251bb1138e3b1093fbe418a2c84890648effcd67,b26b3e7fd9bdf0f9b83297a61874c94b733f0c16c2998b12cacc7b2fff048c95,60088be30564f1511b8f034633a1d63c9958a9a2ea37de2f2710a0d161757123,e9f49d6cd1bd2229a12b3bd1706315be717db28a5fb3debe61d385d09cc8111f,9db026ae64fc531d8a916e76bb983293782417fa751c89c8e8e0b32332814068
"261","1008003","1008203","1008003","-1"
"261","1018003","1018203","1018003","-1"
"261","1018011","1018211","1018011","-1"
"261","1018012","1018212","1018012","-1"
"301","1026011","1026211","1026011","-1"
"261","1038002","1038202","1038002","-1"
"261","1038003","1038203","1038003","-1"
"261","1038012","1038212","1038012","-1"
"301","1045002","1045202","1045002","-1"
"301","1045012","1045212","1045012","-1"
"261","1046003","1046203","1046003","-1"
"301","1056002","1056202","1056002","-1"
"301","1056012","1056212","1056012","-1"
"261","1067003","1067203","1067003","-1"
"301","1071001","1071201","1071001","-1"
"301","1071011","1071211","1071011","-1"
"261","1071012","1071212","1071012","-1"
"261","1082002","1082202","1082002","-1"
"261","1082012","1082212","1082012","-1"
"261","1083012","1083212","1083012","-1"
"261","1084003","1084203","1084003","-1"
"261","1084013","1084213","1084013","-1"
"261","1085012","1085212","1085012","-1"
"301","1089002","1089202","1089002","-1"
"301","1089012","1089212","1089012","-1"
"261","1091002","1091202","1091002","-1"
"261","1091012","1091212","1091012","-1"
"261","1103002","1103202","1103002","-1"
"261","1103012","1103212","1103012","-1"
"261","1106002","1106202","1106002","-1"
"261","1106012","1106212","1106012","-1"
"261","1110002","1110202","1110002","-1"
"261","1110012","1110212","1110012","-1"
"261","1114002","1114202","1114002","-1"
"261","1114012","1114212","1114012","-1"
"261","1118012","1118212","1118012","-1"
"301","1119002","1119202","1119002","-1"
"301","1119012","1119212","1119012","-1"
"261","1122001","1122201","1122001","-1"
"261","1122002","1122202","1122002","-1"
"261","1122012","1122212","1122012","-1"
"261","1129002","1129202","1129002","-1"
"261","1129012","1129212","1129012","-1"
"261","1134002","1134202","1134002","-1"
"261","1134012","1134212","1134012","-1"
"261","1137012","1137212","1137012","-1"
"261","1138001","1138201","1138001","-1"
"301","1139003","1139203","1139003","-1"
"301","1139013","1139213","1139013","-1"
"261","1141012","1141212","1141012","-1"
"261","1146002","1146202","1146002","-1"
"261","1146012","1146212","1146012","-1"
"261","1150002","1150202","1150002","-1"
"261","1150012","1150212","1150012","-1"
"261","1155003","1155203","1155003","-1"
"261","1156003","1156203","1156003","-1"
"261","1158003","1158203","1158003","-1"
"261","1158101","1158201","1158101","-1"
"261","1158111","1158211","1158111","-1"
"261","1160003","1160203","1160003","-1"
"261","1164003","1164203","1164003","-1"
"261","1166003","1166203","1166003","-1"
"261","1168003","1168203","1168003","-1"
"261","1170003","1170203","1170003","-1"
"261","1170013","1170213","1170013","-1"
"261","1172003","1172203","1172003","-1"
"261","1176003","1176203","1176003","-1"
"261","1179003","1179203","1179003","-1"
"261","1190003","1190203","1190003","-1"
"261","1209003","1209203","1209003","-1"
"261","1211001","1211201","1211001","-1"
"261","1211002","1211202","1211002","-1"
"261","1211012","1211212","1211012","-1"
"261","1213002","1213202","1213002","-1"
"261","1215003","1215203","1215003","-1"
"261","1802002","1802202","1802002","-1"
"261","1802012","1802212","1802012","-1"
"261","1807002","1807202","1807002","-1"
"261","1807012","1807212","1807012","-1"
