4456e830b0c58cde62ffb767182db74e4a744674662c51a981e2227bcd03d13c,fb8cf4b99a4437c1811a598c3ca6c6bcc337617056773d872479be3f67e17122,5c186887550ab265fdeea062c2fe701dac2955ff6a46f42738a84ad1433ff1e3,0b83a10c74c514f0ff25f3d97d3147293fafa6ee17c12c6db54a310fc1bb89d0,77c8be58c1d5ad367edb8092e49520de255eb8b842a5cd700f32ca521f4b1de3,62c61b73528e670f4ecb40c2b13308a36d0d77df1439a4f6d44704015d735c75,38a33c1566486c92bd9e9ba8ac9e0201cf09cc21744c62879a21ff51da36b516,99f862e19d69b72f61a6f1ad7fbd42bf0d154a057d10e943f6ac32bf8ad9c208,5e86f9f058a5678d0200f7fc8714720e5d437b244039383ac39bb5a7a6904e9a,96b30a6ee18f60785fbba84ce9aaffa8f80da9fc59a6c06d5d8fc27bd0ef9c1f,9199165a1eaa178a5e23a04ee6049a0a7175412e4f593d3fa17c64b56d90dfe7,2a9b0252eec6cc1aa353f8bcda5cf9a2eb9e0b317a5ddf319f55d50d4e4b279b,185bdde52c81a5e3f117af1bc89b40f737613496b5ef4cc7caa2f8e70bc370de,ea7c2e567ff6b262693641dd393610f7e9d1e114f941a84fda9570fb97192416,a25ff8456cf226813704018ece86bf2d519f9ca77a05aa0a5818d41ff6d05c7f,b99b4f8a28e045fd429fdbdddfdc2f87a5591703ba8de1f2e2a56eb82364c2dd,82111863198c82343fc32b0e4685fa5719172bfdd704f8d04bd352310b69d06d,6c76eb2ef9ae4872d52205b504a76c4b871db9b58cbf073c4aa0fbe595cc7696,72f97441f0eb1e77972163c32f9cd6c355175aa91b124579d49ac0bb9ff6cb73,6e0d3a03af957d92c3d1467664d9ecb5fe5f4611b2f1e4f7998084b6112fb673,fe6cbfb87725a218f51518be722e171ad68adf4fd95889e428eb8b0e78ff8cf3,1ed059e2fc69ae2e185a2b3ee8009e5a4dd49c7883b30c3245ce6e07bd677e33,a410896785b93273898b25ea7d530bca3867052ecde4b4aaa02e9985f43594f5,ff11938a25b9a4d630600a0b9dc65ca5aeb25f3661b5389f22830b6ab42a4549,8db3ae5e5e04fc7479d39beb31fab746f26fc1ccb0290eab8ef88e0a24facaa2,cbbe8df0282fefdf35a6e4ca8525cc463ae7662597850f0490701b3821d0fbd4,18fc2973ed5e0871c5940908bad1af10ac95ae2d1b31e0f318541a46d7b6d9a9,0da18e02f444a33855315ae420ecb52649a44a0b22387c6d68a552f82e24732e,0e595654ae2d33d9ebe0752b4dd3d6c3698ee5aec5adec3f441dcac3dc58115c,1dce6129536ef490db5cac9e9e7ab4754f6a08b2903e67b06c42b0fa375092c3,8ca18b64f802dee2cf1b608767cea13749d45d1bbee7fb114345bc9ee3f00084,3737391ed076e0dbcb3c26fa75d8d3027c16c3bea56e97fa8bd8c14864dcda18,42e78bc46bcbe8af4bdd8eb75828bd5b41f89c82cf6cbf8f6d7ec0a9173cb38d,ed5a9be6b659ced729108eb9fd3073f21c067735e25ec7e8eeb74bb3e347e1c1,8241b4e340ae0dc86c2705ddddbd669a05db187383f3e6f65f8896ddbcbbdd67,e97d70d5e81bf0e84c2ed04160112057294e6a09e4f6b1dca9ee05459dff7961,6fc367d79fb6380c9da1dc84c2ef628a25df42b536db29a497205da64c908843,02ddc2fed45d4d0a7b5d795075de1d30a7a25f99fe82ff6671698a6400b665bf,764d9063008b50d907df3bf4e150bfa7c526cf96f241c514d680732b1083b72f,1e27ebed93d4cc806d08173c20b28505b46575b4907acc5dbfca2b87ddacabea,6dcfca4aad8d5ebb244a22c6249431be3950e00d6b82214c74886ebba0d61058,33996f2f6e94102b0dd761f15c404ad93b9bbee89ecee301fc4b3edfdd570d1b,de473ee983ae5f3ab9025a6b419d741bf903da5a1ce146a56ac13a9cf4db9f75,3d9b97c6a1260f71b65a081f2b8e4969ba421e2f0fde5ebc2127a0e66036347f
"0","0","3010","3010","0","1660167","0","岩龜暴君","0","0","0","0","3010","0","42","0","0","1585","0","0","0","0","3010","0","810100101","0","0","1","0","0","3010","0","0","0","3010","1057","0","156","301","251100","0","0","200000001","0"
"0","0","3010","3010","0","2397387","0","青藍魔像","0","0","0","0","3010","0","42","0","0","2536","0","0","0","0","3010","0","810100102","0","0","1","0","0","3010","0","0","0","3010","422","0","204","301","250800","0","0","200000001","0"
"0","0","3010","3010","0","1693693","0","生者劍士","0","0","0","0","3010","0","42","0","0","1902","0","0","0","0","3010","0","810100103","0","0","1","0","0","3010","0","0","0","3010","845","0","462","301","251000","0","0","200000001","0"
"30","0","301","301","0","1190448","0","純的闇影","0","536","0","69","301","0","42","0","6","2050","0","1","0","0","301","5","810100104","0","0","32","0","0","301","26","0","0","301","1787","0","3329","301","604701","0","0","200000001","0"
"29","0","301","301","0","565544","0","碧的闇影","0","1165","0","55","301","0","67","0","6","866","0","1","0","0","301","2","810100105","0","0","32","0","0","301","34","0","0","301","856","0","6925","301","604001","0","0","200000001","0"
"0","0","0","0","0","1000000000","0","爆裂敵人","0","0","0","0","0","150","100","0","1","0","0","0","0","0","0","0","810100106","0","0","1","0","0","100","1","0","5000","100","0","0","0","301","217300","0","0","300000008","0"
"0","0","250","0","0","1000000000","0","爆裂敵人","0","0","0","0","0","0","100","0","1","0","0","0","0","0","0","0","810100107","0","0","1","0","0","0","1","0","0","0","0","0","0","301","217301","0","0","300000008","0"
"0","0","3010","3010","0","5862568","0","守門者","0","0","0","0","3010","0","42","0","0","2265","0","0","0","0","3010","0","810100201","0","0","1","0","0","3010","0","15693","0","3010","1510","0","0","301","251500","0","0","200000001","0"
"0","0","3010","3010","0","7557183","0","高等獸人","0","0","0","0","3010","0","42","0","0","2265","0","0","0","0","3010","0","810100202","0","0","1","0","0","3010","0","0","0","3010","906","0","5318","301","252900","0","0","200000001","0"
"0","0","3010","3010","0","8817438","0","小狸貓","0","0","0","0","3010","0","42","0","0","906","0","0","0","0","3010","0","810100203","0","0","1","0","0","3010","0","3487","0","3010","604","0","0","301","250600","0","0","200000001","0"
"19","0","301","301","0","5287114","0","空花（大江戶）的闇影","0","0","0","207","301","0","42","0","5","3031","0","1","0","0","301","20","810100204","0","120","32","0","0","301","12","13901","0","301","2191","0","0","301","609501","0","0","200000001","0"
"24","0","301","301","0","3292795","0","凱留（新年）的闇影","0","0","0","45","301","0","42","0","5","457","0","1","0","0","301","17","810100205","0","2239","32","0","0","301","0","33886","0","301","385","0","0","301","612001","0","0","200000001","0"
"0","0","3010","3010","0","8734904","0","叢林護衛","0","0","0","0","3010","0","42","0","0","2265","0","0","0","0","3010","0","810100301","0","0","1","0","0","3010","0","0","0","3010","906","0","8814","301","251300","0","0","200000001","0"
"27","0","301","301","0","5186139","0","克莉絲提娜（聖誕節）的闇影","0","2062","0","30","301","0","44","0","5","406","0","1","0","0","301","1","810100302","0","0","32","0","0","301","3","0","0","301","476","0","43840","301","611502","0","0","200000001","0"
"38","0","301","301","0","4764712","0","栞的闇影","0","1921","0","35","301","0","65","0","6","853","0","1","0","0","301","0","810100303","0","0","32","0","0","301","12","0","0","301","646","0","45320","301","603801","0","0","200000001","0"
"34","0","301","301","0","4300082","0","璃乃（奇幻）的闇影","0","2026","0","30","301","0","65","0","5","700","0","1","0","0","301","0","810100304","0","0","32","0","0","301","5","0","0","301","489","0","42130","301","612901","0","0","200000001","0"
"0","0","3010","3010","0","8354042","0","鬼燈螢","0","0","0","903","3010","0","42","0","0","906","0","0","0","0","3010","0","810100305","0","0","1","0","0","3010","0","0","0","3010","604","0","17600","301","258300","0","0","200000001","0"
