a1e3c314c9bcf9c7db23e47b295afb51e06142e00550d25bff8bccf69f0003a0,c56eb3bcea2d4d25fe2a5a9f55b43a4ac8879c3ffe95ea5e3bd13b7200102918,fac5f204184cf0856465ae17ca40e2b054db630972a267ebf090d94da4ce3128,0276b281a38c43b376070da32fcd21ccdcd26683a8b9f30cc17ec968ca952aa5,4358c7a538b2f0c9a69f37e2ebe764fa3a5ccbbafd7e04bd0b79f6b722e1a77c,a421eaf46a5a755086940ee87ef1c8dcea7af04d764d74fc861515f789e79ec2,6d827f3bf41ab50adc0396dc5afd4956d09271dc741e964112bb954aa01415be,8100c530390fc81d63064d06eae5c0ffc5326d48659b2d7965205fa1a88fb39f,bf071e43f849a30382bca392e3b075545f0f0fd9141ed1a339cf2d66eb2c6d6f
"401707405","1","8010","1","1","9","1","401707405","0"
"74005101","8000","8000","8000","8000","36","8000","740051011","0"
"74005102","8000","8000","8000","8000","36","8000","740051021","0"
"74005103","8000","8000","8000","8000","36","8000","740051031","0"
"74005104","8000","8000","8000","8000","36","8000","740051041","0"
"74005105","8000","8000","8000","8000","36","8000","740051051","0"
"74005201","8000","8000","8000","8000","36","8000","740052011","0"
"74005202","8000","8000","8000","8000","36","8000","740052021","0"
"74005203","8000","8000","8000","8000","36","8000","740052031","0"
"74005204","8000","8000","8000","8000","36","8000","740052041","0"
"74005205","8000","8000","8000","8000","36","8000","740052051","0"
"74006101","8000","8000","8000","8000","36","8000","740061011","0"
"74006102","8000","8000","8000","8000","36","8000","740061021","0"
"74006103","8000","8000","8000","8000","36","8000","740061031","0"
"74006104","8000","8000","8000","8000","36","8000","740061041","0"
"74006105","8000","8000","8000","8000","36","8000","740061051","0"
"74006201","8000","8000","8000","8000","36","8000","740062011","0"
"74006202","8000","8000","8000","8000","36","8000","740062021","0"
"74006203","8000","8000","8000","8000","36","8000","740062031","0"
"74006204","8000","8000","8000","8000","36","8000","740062041","0"
"74006205","8000","8000","8000","8000","36","8000","740062051","0"
"74006502","8030","8030","8030","8030","36","8030","740065021","0"
"74006503","8010","8010","8010","8010","36","8010","740065031","0"
"74006504","8020","8020","8020","8020","36","8020","740065041","0"
"74006505","8020","8020","8020","8020","36","8020","740065051","0"
"810010011","8010","8000","8000","8000","43","8000","810010011","0"
"810010021","8010","8000","8000","8000","43","8000","810010021","0"
"810010031","8010","8000","8000","8000","43","8000","810010031","0"
"810010041","8010","8000","8000","8000","43","8000","810010041","0"
"810010051","8010","8000","8000","8000","43","8000","810010051","0"
"810010061","8010","8000","8000","8000","43","8000","810010061","0"
"810010071","8010","8000","8000","8000","43","8000","810010071","0"
"810010081","8010","8000","8000","8000","43","8000","810010081","0"
"810010091","8010","8000","8000","8000","43","8000","810010091","0"
"810010101","8010","8000","8000","8000","43","8000","810010101","0"
"810010111","8010","8000","8000","8000","43","8000","810010111","0"
"810010121","8010","8000","8000","8000","43","8000","810010121","0"
"810010131","8010","8000","8000","8000","43","8000","810010131","0"
"810010141","8010","8000","8000","8000","43","8000","810010141","0"
"810010151","8010","8000","8000","8000","43","8000","810010151","0"
"810010161","8010","8000","8000","8000","43","8000","810010161","0"
"810010171","8010","8000","8000","8000","43","8000","810010171","0"
"810010181","8010","8000","8000","8000","43","8000","810010181","0"
"810010191","8010","8000","8000","8000","43","8000","810010191","0"
"810010201","8010","8000","8000","8000","43","8000","810010201","0"
"810010211","8010","8000","8000","8000","43","8000","810010211","0"
"810010221","8010","8000","8000","8000","43","8000","810010221","0"
"810010231","8010","8000","8000","8000","43","8000","810010231","0"
"810010241","8010","8000","8000","8000","43","8000","810010241","0"
"810010251","8010","8000","8000","8000","43","8000","810010251","0"
"810010261","8010","8000","8000","8000","43","8000","810010261","0"
"810010271","8010","8000","8000","8000","43","8000","810010271","0"
"810010281","8010","8000","8000","8000","43","8000","810010281","0"
"810010291","8010","8000","8000","8000","43","8000","810010291","0"
"810010301","8010","8000","8000","8000","43","8000","810010301","0"
"810010311","8020","8000","8000","8000","43","8000","810010311","0"
"810010321","8020","8000","8000","8000","43","8000","810010321","0"
"810010331","8020","8000","8000","8000","43","8000","810010331","0"
"810010341","8020","8000","8000","8000","43","8000","810010341","0"
"810010351","8020","8000","8000","8000","43","8000","810010351","0"
"810010361","8020","8000","8000","8000","43","8000","810010361","0"
"810010371","8020","8000","8000","8000","43","8000","810010371","0"
"810010381","8020","8000","8000","8000","43","8000","810010381","0"
"810010391","8020","8000","8000","8000","43","8000","810010391","0"
"810010401","8020","8000","8000","8000","43","8000","810010401","0"
"810010411","8020","8000","8000","8000","43","8000","810010411","0"
"810010421","8020","8000","8000","8000","43","8000","810010421","0"
"810010431","8020","8000","8000","8000","43","8000","810010431","0"
"810010441","8020","8000","8000","8000","43","8000","810010441","0"
"810010451","8020","8000","8000","8000","43","8000","810010451","0"
"810010461","8020","8000","8000","8000","43","8000","810010461","0"
"810010471","8020","8000","8000","8000","43","8000","810010471","0"
"810010481","8020","8000","8000","8000","43","8000","810010481","0"
"810010491","8020","8000","8000","8000","43","8000","810010491","0"
"810010501","8020","8000","8000","8000","43","8000","810010501","0"
"820010011","8000","8010","8000","8000","43","8000","820010011","0"
"820010021","8000","8010","8000","8000","43","8000","820010021","0"
"820010031","8000","8010","8000","8000","43","8000","820010031","0"
"820010041","8000","8010","8000","8000","43","8000","820010041","0"
"820010051","8000","8010","8000","8000","43","8000","820010051","0"
"820010061","8000","8010","8000","8000","43","8000","820010061","0"
"820010071","8000","8010","8000","8000","43","8000","820010071","0"
