03e09481f010825996ad8cdb3ac918e9999005cd4d39f6f2963073f3a7b856a6,13170776738c5505c286c189486f1fa45509cf87ce88f1457b2cd9c542ffcda3,015042988beac167bddd73495c3539f08800bbb0d8b4cd49c10f16982f0dfb9f,ae0b33441d1031582677c7d0a18ee6dbd7d9cde2cd68308a489a231056bf969c,32c8116b07a7aa68dca5839e9a97242465f083274293f65615b5ee090b10d060,71ee472156a0cf3d361bbaae4d1a256c4fa666115dc63c0be9de0b8764d97b98,1b217b35d7956906e25f7a0370c668952603d170b0ea888c4181212adb84d3fd,5a1fa887829bbe3dbf872c1145064e459cfc4d15287c21ee512b5661e63fb879
"0","600130001","600090001","0","0","0","600060001","610201001"
"0","600070001","600300101","0","0","0","600090001","610201002"
"600230001","600420001","600050001","0","0","0","600380001","610201003"
"0","600110003","600300003","0","0","0","600090103","610201004"
"0","600390003","600300003","0","0","0","600120001","610201005"
"600340003","600160003","600380102","0","0","0","600290103","610201006"
"0","600440004","600060004","0","0","0","600370004","610201007"
"0","600080004","600210104","0","0","0","600330002","610201008"
"600160004","600420004","600380103","0","0","0","600270004","610201009"
"0","600340010","600320010","0","0","0","600380009","610201010"
"0","600140010","600300010","0","0","0","600050009","610201011"
"600130110","600250010","600290210","0","0","0","600330008","610201012"
"0","600020011","600280011","0","0","0","600030011","610201013"
"0","600280011","600010011","0","0","0","600210111","610201014"
"600210111","600100011","600030011","0","0","0","600040010","610201015"
"0","600130013","600090013","0","0","0","600060013","610201016"
"0","600070013","600300113","0","0","0","600090013","610201017"
"600230013","600420013","600050012","0","0","0","600380012","610201018"
"0","600110014","600300014","0","0","0","600090114","610201019"
"0","600390014","600300014","0","0","0","600120012","610201020"
"600340014","600160014","600380113","0","0","0","600290114","610201021"
"0","600440016","600060016","0","0","0","600370016","610201022"
"0","600080016","600210116","0","0","0","600330014","610201023"
"600160016","600420016","600380115","0","0","0","600270016","610201024"
"0","600340017","600320017","0","0","0","600380016","610201025"
"0","600140017","600300017","0","0","0","600050016","610201026"
"600130117","600250017","600290217","0","0","0","600330015","610201027"
"0","600020019","600280019","0","0","0","600030019","610201028"
"0","600280019","600010019","0","0","0","600210119","610201029"
"600210119","600100019","600030019","0","0","0","600040018","610201030"
"0","600390020","600290120","0","0","0","600030020","610201031"
"0","600300120","600230018","0","0","0","600060020","610201032"
"600020020","600050020","600040020","0","0","0","600130120","610201033"
"0","600110022","600400022","0","0","0","600090022","610201034"
"0","600430022","600090122","0","0","0","600070022","610201035"
"600140022","600420022","600380122","0","0","0","600120022","610201036"
"0","600110023","600400023","0","0","0","600090023","610201037"
"0","600010021","600270023","0","0","0","600280022","610201038"
"600150023","600220023","600380123","0","0","0","600240023","610201039"
"0","0","0","0","0","0","610201101","610201101"
"0","0","0","0","0","0","610201201","610201102"
"0","0","0","0","0","0","610201202","610201103"
"0","0","0","0","0","0","610201203","610201104"
"0","0","0","0","0","0","610201301","610201105"
"0","0","0","0","0","0","610201302","610201106"
"0","0","0","0","0","0","610201303","610201107"
"0","0","0","0","0","0","610201151","610201151"
