408bb494b7ac3d31ee5a83d7e4c5eb8325b1df2a2ff633dcdfdcae4866bf700e,94047b108e9726e449e0ac7bf97854553342b45c73147d6f2eca780e4b44ac74,b14791210f49f8fb16e8d362ef5ba6c253eafde4461cfdaef84c8040d068a403,8af6c61050c55be0c6a3fbfe7325e2d90ad8f378acc59bf4dadd9633209bedba,2de750c420d2aa2ca711d34b491e70e46f05d6a8e17ec0164bfb7073431118ea,ba1e2a5742964e68176a1fe323754bc562c6a8172d03459a43b3276d8637b26b
"10008001","0","1","1","10008103","10008"
"10008002","0","1","2","10008104","10008"
"10008003","0","1","3","10008105","10008"
"10008004","0","1","4","10008107","10008"
"10008005","0","1","5","10008111","10008"
"10008006","0","2","201","0","10008"
"10008201","0","201","101","10008105","10008"
"10008202","0","201","102","10008107","10008"
"10008203","0","201","103","10008111","10008"
"10008204","0","202","111","10008115","10008"
"10008301","0","101","105601","0","10008"
"10008302","0","101","100901","10008103","10008"
"10008303","0","101","101301","10008104","10008"
"10008304","0","101","105601","10008105","10008"
"10008305","0","101","101301","10008107","10008"
"10008306","0","101","100901","10008111","10008"
"10008307","0","102","105601","0","10008"
"10010001","0","2","201","0","10010"
"10010002","0","1","2","10010112","10010"
"10010003","0","1","3","10010115","10010"
"10010004","0","1","4","10010103","10010"
"10010005","0","1","5","10010105","10010"
"10010006","0","1","6","10010107","10010"
"10010007","0","1","7","10010109","10010"
"10010201","0","211","101","10010112","10010"
"10010202","0","211","0","10010115","10010"
"10010501","101471","501","101461","10010110","10010"
"10010502","101472","501","101462","10010110","10010"
"10010503","101473","501","101463","10010110","10010"
"10010531","0","3","211","1001004","10010"
"10012001","0","4","1","1001201","10012"
"10012002","0","4","2","1001202","10012"
"10012003","0","4","3","1001203","10012"
"10012004","0","4","4","1001204","10012"
"10012301","0","5","101","1001201","10012"
"10012302","0","5","101","1001202","10012"
"10012303","0","5","101","1001203","10012"
"10012401","0","6","501","0","10012"
"10012531","0","3","211","1001204","10012"
"10013531","0","3","211","1001304","10013"
"10015531","0","3","211","1001504","10015"
"10017001","0","1","1","10017102","10017"
"10017002","0","1","2","10017108","10017"
"10017003","0","1","3","10017115","10017"
"10017301","0","101","105801","0","10017"
"10017302","0","101","109901","10017102","10017"
"10017303","0","102","109901","0","10017"
"10017531","0","3","211","1001704","10017"
"10021001","101931","501","101921","10021112","10021"
"10021002","101932","501","101922","10021112","10021"
"10021003","101933","501","101923","10021112","10021"
"10021004","100351","501","100011","10021112","10021"
"10021005","100352","501","100012","10021112","10021"
"10021006","100353","501","100013","10021112","10021"
"10021007","100354","501","100014","10021112","10021"
"10021008","100355","501","100015","10021112","10021"
"10021009","100356","501","100016","10021112","10021"
"10021010","100357","501","100017","10021112","10021"
"10021011","100358","501","100018","10021112","10021"
"10021012","100359","501","100019","10021112","10021"
"10039531","0","3","211","1003904","10039"
"10053001","0","1","1","10053102","10053"
"10053002","0","1","2","10053108","10053"
"10053003","0","1","3","10053115","10053"
"10053301","0","101","105801","0","10053"
"10053302","0","101","109901","10053102","10053"
"10053303","0","102","109901","0","10053"
"10053531","0","3","211","1005304","10053"
"10084001","0","1","1","10084102","10084"
"10084002","0","1","2","10084112","10084"
"10084003","0","1","3","10084115","10084"
"10085001","0","1","1","10085102","10085"
"10085002","0","1","2","10085108","10085"
"10085003","0","1","3","10085115","10085"
"10112001","0","1","1","10112102","10112"
"10112002","0","1","2","10112112","10112"
"10112003","0","1","3","10112115","10112"
"10113001","0","1","1","10113102","10113"
"10113002","0","1","2","10113108","10113"
"10113003","0","1","3","10113115","10113"
"20008001","0","1","1","20008103","20008"
"20008002","0","1","2","20008104","20008"
"20008003","0","1","3","20008105","20008"
"20008004","0","1","4","20008107","20008"
"20008005","0","1","5","20008111","20008"
"20008006","0","2","201","0","20008"
"20008201","0","201","101","20008105","20008"
"20008202","0","201","102","20008107","20008"
"20008203","0","201","103","20008111","20008"
"20008204","0","202","111","20008115","20008"
"20008301","0","101","105601","0","20008"
"20008302","0","101","100901","20008103","20008"
"20008303","0","101","101301","20008104","20008"
"20008304","0","101","105601","20008105","20008"
"20008305","0","101","101301","20008107","20008"
"20008306","0","101","100901","20008111","20008"
"20008307","0","102","105601","0","20008"
"20010001","0","2","201","0","20010"
"20010002","0","1","1","20010110","20010"
"20010003","0","1","2","20010112","20010"
"20010004","0","1","3","20010115","20010"
"20010005","0","1","4","20010103","20010"
"20010006","0","1","5","20010105","20010"
"20010007","0","1","6","20010107","20010"
"20010008","0","1","7","20010109","20010"
"20010201","0","211","101","20010112","20010"
"20010202","0","211","0","20010115","20010"
"20010501","101471","501","101461","20010110","20010"
"20010502","101472","501","101462","20010110","20010"
"20010503","101473","501","101463","20010110","20010"
"20010531","0","3","211","2001004","20010"
"20012001","0","4","1","2001201","20012"
"20012002","0","4","2","2001202","20012"
"20012003","0","4","3","2001203","20012"
"20012004","0","4","4","2001204","20012"
"20012301","0","5","101","2001201","20012"
"20012302","0","5","101","2001202","20012"
"20012303","0","5","101","2001203","20012"
"20012401","0","6","501","0","20012"
