9cee254fb2cddc66ea6bc9e94a216a93e6380b2b487f6df0c36539259f53d1f2,eea734a9fc6c8bdf1c4fad318b5993f3bda6541d8dc26c80e07994d6db39a064,00c053691222749e286454e6b12a2b5a04f4f2983b6f8c5520dd71fb0173a448,655066d2d6eb8b7ad87cbe7cebb1d960090fb571e8904228e2231e50aa4ac05f,301f31c44d2d546a32ef717d41462d4b5ef12152e246dda81a2ef7796962271d,eb5941e634b03a3d3fb5c47103b92b985eefd4ab2ccb6d094153193a3e7562c9,7ed88781951f8702f9a3b6ddc122eacb67339f3c22a63354a419972f75c87961,c828f525e0de702ec87be297a07f08ac6d39bad273c0e05d39e714ee8506763f,ae7fdf20d90fe49990441a802b95bfffc8b18f6de8ff7d1423c4b83d34d068e4,3a01a59f9c8d22d106f851131c0ea22b86a49fee76c70c0d23bc064fba75c35b
"126501","萊拉耶爾","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1001",""
"105301","莫妮卡","2","取得最大1000里程","","10001","2","0","1002",""
"126401","克蘿茜","3","取得{0}個料理","","1","1","0","1003",""
"100501","茉莉","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1","3","0","1004","重新擲{0}次骰子\n（還剩{1}次）"
"101301","七七香","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","2","2","0","1005","重新擲{0}次骰子\n（還剩{1}次）"
"104301","真琴","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","4","2","0","1006","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"102701","惠理子","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","3","3","0","1007","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"100901","杏奈","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1008","追加投擲骰子\n直到數字合計為{0}以上"
"105101","深月","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1009",""
"101801","伊緒","2","取得最大1000里程","","10001","2","0","1010",""
"129701","涅妃‧涅羅","8","可以選擇使用骰子的\n正面或背面","","0","2","0","1011","可以選擇使用骰子的\n正面或背面"
"101601","鈴奈","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","1","3","0","1012","重新擲{0}次骰子\n（還剩{1}次）"
"105601","流夏","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","2","2","0","1013","重新擲{0}次骰子\n（還剩{1}次）"
"102001","美美","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","3","3","0","1014","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"129601","安涅默涅","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1015","追加投擲骰子\n直到數字合計為{0}以上"
"100401","禊","10","骰子擲出{0}時，\n可以讓對手休息{1}個回合","","1","2","1","1016","骰子擲出{0}時，可以讓對手休息{1}個回合"
"127701","琳德","13","骰子擲出{0}時，\n前進+{1}","","2","3","1","1017","骰子擲出{0}時，\n前進+{1}"
"127801","烏爾姆","10","骰子擲出{0}時，\n可以讓對手休息{1}個回合","","1","2","1","1018","骰子擲出{0}時，\n可以讓對手休息{1}個回合"
"104801","美冬","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1019",""
"104701","純","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","2","2","0","1020","重新擲{0}次骰子\n（還剩{1}次）"
"105001","美咲","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1021","追加投擲骰子\n直到數字合計為{0}以上"
"103201","秋乃","2","取得最大2000里程","","10002","1","0","1022",""
"130901","庫露露","12","取得{0}張抽獎券","","1","1","0","1023",""
"102501","鈴莓","3","取得{0}個料理","","1","1","0","1024",""
"100801","雪","8","可以選擇使用骰子的\n正面或背面","","0","2","0","1025","可以選擇使用骰子的\n正面或背面"
"123301","涅婭","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","4","2","0","1026","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"104601","珠希","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","10001","1","0","1027",""
"118101","蘭法","4","重新擲{0}次骰子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","2","2","0","1028","重新擲{0}次骰子\n（還剩{1}次）"
"103401","優花梨","6","追加投擲骰子\n直到數字合計為{0}以上","","7","1","0","1029","追加投擲骰子\n直到數字合計為{0}以上"
"118001","克蕾琪塔","2","取得最大2000里程","","10002","1","0","1030",""
"102801","咲戀","12","取得{0}張抽獎券","","1","1","0","1031",""
"100201","優衣","3","取得{0}個料理","","1","1","0","1032",""
"101201","初音","13","骰子擲出{0}時，\n前進+{1}","","1","3","1","1033","骰子擲出{0}時，\n前進+{1}"
