8ea451df9e4c0e648e24ece03145225de16b497449947bd90f939f58556ac88a,a1218a23924c7b562bf6cfd16d6421d2adb7346b906d59f8030d2213476aedac,2c72d9f661a0a5fbced9682e8f3838551574fcb4aab4ce8a964bf7d673533e65,b2c51d076a9ecfaf9227fabf1e306bcf29c591b248deab7635f70e5415ff6631,92356b97d56a343ee32f10cd6ce5d3fc723e90656009f3c51403add2e85cc1eb,42ed5e03aaecac1f918a529b2b8ffe39715cec21e378721588b597089ed01f3a,f3329d2ead1fd54d87f08ba196254f932520bbe5287e616f3cd84dca78c873f3,d947dcd726e19adb3a9b1cc3c6c1730e78bd495185279fe7c06d738e6d1c6d02,bfa347a4c2dfdaf7a5182392f075cb391351313d0e4c8e30f9b3a8ecb8623fbb,0d89ea965e7c410db2327962d62b0fe434ed3c6e3b2a815d25fb43d2c11cc6c6,5d70e5a64c71ea84b5d794d24b62a3719c6d93ed29479d551edc31d7fcd08766,73fad57b6a738a733c2a57c7c48b029af6c42eda36bcb5e026557b03549b1428,6c74b1ed3ac0864184c25d1137421b872ef3c8bb40e6500aa40b32aa1707ee4d
"1001","2","2018/08/19 22:59:00","1","1","2018/08/15 23:00:00","bgm_M90","2018/09/21 15:59:59","2018/08/20 22:59:00","1","8","2018/08/22 16:00:00","0"
"1002","2","2018/09/18 22:59:00","1","1","2018/09/14 23:00:00","bgm_M97","2018/10/22 15:59:59","2018/09/19 22:59:00","2","9","2018/09/21 16:00:00","1001"
"1003","2","2018/10/19 22:59:00","1","1","2018/10/15 23:00:00","bgm_M104","2018/11/20 04:59:59","2018/10/20 22:59:00","1","10","2018/10/22 16:00:00","1002"
"1004","2","2018/11/17 11:59:00","1","1","2018/11/13 12:00:00","bgm_M115","2018/12/21 15:59:59","2018/11/18 11:59:00","2","11","2018/11/20 05:00:00","1003"
"1005","2","2018/12/18 22:59:00","1","1","2018/12/14 23:00:00","bgm_M119","2019/01/22 15:59:59","2018/12/19 22:59:00","1","12","2018/12/21 16:00:00","1004"
"1006","2","2019/01/19 22:59:00","1","1","2019/01/15 23:00:00","bgm_M132","2019/02/19 04:59:59","2019/01/20 22:59:00","2","1","2019/01/22 16:00:00","1005"
"1007","2","2019/02/16 11:59:00","1","1","2019/02/12 12:00:00","bgm_M139","2019/03/22 04:59:59","2019/02/17 11:59:00","1","2","2019/02/19 05:00:00","1006"
"1008","2","2019/03/19 11:59:00","1","1","2019/03/15 12:00:00","bgm_M166","2019/04/22 04:59:59","2019/03/20 11:59:00","2","3","2019/03/22 05:00:00","1007"
"1009","2","2019/04/19 11:59:00","1","1","2019/04/15 12:00:00","bgm_M175","2019/05/23 04:59:59","2019/04/20 11:59:00","1","4","2019/04/22 05:00:00","1008"
"1010","2","2019/05/20 11:59:00","1","1","2019/05/16 12:00:00","bgm_M181","2019/06/22 04:59:59","2019/05/21 11:59:00","2","5","2019/05/23 05:00:00","1009"
"1011","2","2019/06/19 11:59:00","1","1","2019/06/15 12:00:00","bgm_M186","2019/07/24 04:59:59","2019/06/20 11:59:00","1","6","2019/06/22 05:00:00","1010"
"1012","2","2019/07/21 11:59:00","1","1","2019/07/17 12:00:00","bgm_M205","2019/08/23 04:59:59","2019/07/22 11:59:00","2","7","2019/07/24 05:00:00","1011"
"1013","2","2019/08/20 11:59:00","1","1","2019/08/16 12:00:00","bgm_M90","2019/09/23 04:59:59","2019/08/21 11:59:00","1","8","2019/08/23 05:00:00","1012"
"1014","2","2019/09/20 11:59:00","1","1","2019/09/16 12:00:00","bgm_M97","2019/10/24 04:59:59","2019/09/21 11:59:00","2","9","2019/09/23 05:00:00","1013"
"1015","2","2019/10/21 11:59:00","1","1","2019/10/17 12:00:00","bgm_M104","2019/11/23 04:59:59","2019/10/22 11:59:00","1","10","2019/10/24 05:00:00","1014"
"1016","2","2019/11/20 11:59:00","1","1","2019/11/16 12:00:00","bgm_M115","2019/12/23 04:59:59","2019/11/21 11:59:00","2","11","2019/11/23 05:00:00","1015"
"1017","2","2019/12/20 11:59:00","1","1","2019/12/16 12:00:00","bgm_M119","2020/01/23 04:59:59","2019/12/21 11:59:00","1","12","2019/12/23 05:00:00","1016"
"1018","2","2020/01/20 11:59:00","1","1","2020/01/16 12:00:00","bgm_M132","2020/02/24 04:59:59","2020/01/21 11:59:00","2","1","2020/01/23 05:00:00","1017"
"1019","2","2020/02/21 11:59:00","1","1","2020/02/17 12:00:00","bgm_M139","2020/03/25 04:59:59","2020/02/22 11:59:00","1","2","2020/02/24 05:00:00","1018"
"1020","2","2020/03/22 11:59:00","1","1","2020/03/18 12:00:00","bgm_M166","2020/04/24 04:59:59","2020/03/23 11:59:00","2","3","2020/03/25 05:00:00","1019"
"1021","2","2020/04/21 11:59:00","1","1","2020/04/17 12:00:00","bgm_M175","2020/05/25 04:59:59","2020/04/22 11:59:00","1","4","2020/04/24 05:00:00","1020"
"1022","2","2020/05/22 11:59:00","1","1","2020/05/18 12:00:00","bgm_M181","2020/06/24 04:59:59","2020/05/23 11:59:00","2","5","2020/05/25 05:00:00","1021"
"1023","2","2020/06/21 11:59:00","1","1","2020/06/17 12:00:00","bgm_M186","2020/07/25 04:59:59","2020/06/22 11:59:00","1","6","2020/06/24 05:00:00","1022"
"1024","2","2020/07/22 11:59:00","1","1","2020/07/18 12:00:00","bgm_M205","2020/08/25 04:59:59","2020/07/23 11:59:00","2","7","2020/07/25 05:00:00","1023"
"1025","2","2020/08/22 11:59:00","1","1","2020/08/18 12:00:00","bgm_M90","2020/09/25 04:59:59","2020/08/23 11:59:00","1","8","2020/08/25 05:00:00","1024"
"1026","2","2020/09/22 11:59:00","1","1","2020/09/18 12:00:00","bgm_M97","2020/10/26 04:59:59","2020/09/23 11:59:00","2","9","2020/09/25 05:00:00","1025"
