abba1daad6a4b29a3e7bacfef1ad1cb60a27b919cc19b26d5b4273c301896420,720c2f436b0c05cdfb1d16d505e88eaaec811e200731c8830d1246fe08add980,a5c5e1bb0ed3933e9a838b73b3d849f2915515084bcc3dc23606c782e51a6101,ba2861b8b7384c057c9b26d01ccf0d35c95db881e91a3d1da7c7a766cc8049f9,4ea583dbe33261126489342ea2a931337173ffaf418c76b9d0c852fa03c9bbda
"53001","10001001","22","10001","1"
"53004","10001002","22","10001","1"
"53007","10001003","22","10001","1"
"53010","10001004","22","10001","1"
"53013","10001005","22","10001","1"
"53016","10001006","22","10001","1"
"53019","10001007","22","10001","1"
"53022","10001008","22","10001","1"
"53002","10001009","22","10001","1"
"53005","10001010","22","10001","1"
"53008","10001011","22","10001","1"
"53011","10001012","22","10001","1"
"53014","10001013","22","10001","1"
"53017","10001014","22","10001","1"
"53020","10001015","22","10001","1"
"53023","10001016","22","10001","1"
"53001","10002001","22","10002","1"
"53002","10002002","22","10002","1"
"53005","10002003","22","10002","1"
"53008","10002004","22","10002","1"
"53011","10002005","22","10002","1"
"53014","10002006","22","10002","1"
"53017","10002007","22","10002","1"
"53020","10002008","22","10002","1"
"53023","10002009","22","10002","1"
"53003","10002010","22","10002","1"
"53006","10002011","22","10002","1"
"53009","10002012","22","10002","1"
"53012","10002013","22","10002","1"
"53015","10002014","22","10002","1"
"53018","10002015","22","10002","1"
"53021","10002016","22","10002","1"
"53024","10002017","22","10002","1"
"53002","10003001","22","10003","1"
"53002","10003002","22","10003","2"
"53003","10003003","22","10003","1"
"53003","10003004","22","10003","2"
"53003","10003005","22","10003","3"
"53006","10003006","22","10003","1"
"53009","10003007","22","10003","1"
"53012","10003008","22","10003","1"
"53015","10003009","22","10003","1"
"53018","10003010","22","10003","1"
"53021","10003011","22","10003","1"
"53024","10003012","22","10003","1"
"53006","10003013","22","10003","2"
"53009","10003014","22","10003","2"
"53012","10003015","22","10003","2"
"53015","10003016","22","10003","2"
"53018","10003017","22","10003","2"
"53021","10003018","22","10003","2"
"53024","10003019","22","10003","2"
"53006","10003020","22","10003","3"
"53009","10003021","22","10003","3"
"53012","10003022","22","10003","3"
"53015","10003023","22","10003","3"
"53018","10003024","22","10003","3"
"53021","10003025","22","10003","3"
"53024","10003026","22","10003","3"
