0b8ed80b74267157c5f6d66a0a6198209f17f298b6365b4b0adc6b5e2a693962,8d08fb625f4381361ec33b099c3ed0ce95639a9df5b8e0a9919b9c6751dd7f4d,266e59421c3fe601c1a23ad41c7c389dd485510a7e09515f48c287baa2f512db,37689efff199f45d43e83ccbe2a92451af0b9c2bffadb256cc4c5c3d4dbd3210,595ff008e76aff768abafa41f31060b76d9d27bdd46990811d9d0216a54e6124,4bddb1e25a543dd7c5d607aa71afad3366458f12f462574d69e03d491a026854,79b48fa95899cc09c9ecf339181e95bce25ee178c7a5ca63358f7103e446ec00,afb61485138f338fceb682e17e9010b3c0ca8bc9ab3a1649fbe0b70fb666552e,2d45b20759939f65249967efa0b0b55a5c7dc8d0847db5b910a2af0c4ee9c871,bc3ca5cc2f6a39bbd0281e726b338ecedcd3cd23ae0e4701b1a48bcdef58fc2c,867c2be172fdf8a71182fd493267571f13f189f207a257786321ca2c5858c719,cc91ba8fcd44f8b4b2eb17c2864c000b0e954c041bcd63bd6465b20f09e4bfa7,7b89f14aaa46350f7639177caefe846854ed33dfd5304a8d0108de2b16252ce7,182ab6593aa4789141205f2a43992517ebea9eb0ac4357547ee94c80534987f9,3e714007f02e1c1f2f6cf9b634160b9b6da4e5f0bbebaf72e5d95e19642076c3,d07969fb8cf7a622f85b30eab285926be75990daedaaabbebb59bdcc94175187
"81020102","10201","bgm_MC223","10201101","103613","前篇Boss戰（SCENARIO）","213001","610201101","90","5201301","90","0","5201004","0","bgm_MC223","1"
"81020103","10201","bgm_MC224","10201151","81020101","後篇Boss戰（SCENARIO）","213001","610201151","90","5201311","90","0","5201009","2025/06/07 16:00:00","bgm_MC224","1"
"103613","10201","bgm_MC223","10201201","103613","前篇Boss戰（SPECIAL）","214001","0","90","0","255","10201101","0","0","bgm_MC223","2"
"81020104","10201","bgm_MC224","10201251","81020101","後篇Boss戰（SPECIAL）","214001","0","90","0","255","10201151","0","2025/06/07 16:00:00","bgm_MC224","2"
"103613","10201","bgm_MC223","10201501","103613","前篇Boss戰（SPECIAL+）","115001","0","90","0","331","10201201","0","0","bgm_MC223","3"
"81020104","10201","bgm_MC224","10201551","81020101","後篇Boss戰（SPECIAL+）","115001","0","90","0","331","10201251","0","2025/06/07 16:00:00","bgm_MC224","3"
"81020201","10202","bgm_MC228","10202101","102370","Boss戰（SCENARIO）","213001","610202101","90","5202301","90","0","5202006","0","bgm_MC228","1"
"102370","10202","bgm_MC228","10202201","102370","Boss戰（SPECIAL）","214001","0","90","0","255","10202101","0","0","bgm_MC228","2"
"102370","10202","bgm_MC228","10202501","102370","Boss戰（SPECIAL＋）","115001","0","90","0","334","10202201","0","0","bgm_MC228","3"
"81020301","10203","bgm_MC236","10203101","81020301","Boss戰（SCENARIO）","113001","610203101","90","5203301","90","0","5203006","0","bgm_MC236","1"
"81020301","10203","bgm_MC236","10203201","81020301","Boss戰（SPECIAL）","114001","0","90","0","255","10203101","0","0","bgm_MC236","2"
"81020301","10203","bgm_MC236","10203501","81020301","Boss戰（SPECIAL＋）","115001","0","90","0","337","10203201","0","0","bgm_MC236","3"
"100092","10204","bgm_MC253","10204101","100092","Boss戰（SCENARIO）","113001","610204101","90","5204301","90","0","5204006","0","bgm_MC253","1"
"100092","10204","bgm_MC253","10204201","100092","Boss戰（SPECIAL）","114001","0","90","0","255","10204101","0","0","bgm_MC253","2"
"100092","10204","bgm_MC253","10204501","100092","Boss戰（SPECIAL＋）","115001","0","90","0","340","10204201","0","0","bgm_MC253","3"
"100199","10205","bgm_MC257","10205101","100199","Boss戰（SCENARIO）","113001","610205101","90","5205301","90","0","5205006","0","bgm_MC257","1"
"100199","10205","bgm_MC257","10205201","100199","Boss戰（SPECIAL）","114001","0","90","0","255","10205101","0","0","bgm_MC257","2"
"100199","10205","bgm_MC257","10205501","100199","Boss戰（SPECIAL＋）","115001","0","90","0","343","10205201","0","0","bgm_MC257","3"
"81020601","10206","bgm_MC264_NoIntro","10206101","81020601","Boss戰（SCENARIO）","113001","610206101","90","5206301","90","0","5206006","0","bgm_MC264","1"
"81020601","10206","bgm_MC264_NoIntro","10206201","81020601","Boss戰（SPECIAL）","114001","0","90","0","255","10206101","0","0","bgm_MC264","2"
"81020601","10206","bgm_MC264_NoIntro","10206501","81020601","Boss戰（SPECIAL＋）","115001","0","90","0","346","10206201","0","0","bgm_MC264","3"
"81020701","10207","bgm_MC270","10207101","81020701","Boss戰（SCENARIO）","113001","610207101","90","5207301","90","0","5207006","0","bgm_MC270","1"
"81020701","10207","bgm_MC270","10207201","81020701","Boss戰（SPECIAL）","114001","0","90","0","255","10207101","0","0","bgm_MC270","2"
"81020701","10207","bgm_MC270","10207501","81020701","Boss戰（SPECIAL＋）","115001","0","90","0","349","10207201","0","0","bgm_MC270","3"
"81020801","10208","bgm_MC283","10208101","81020801","Boss戰（SCENARIO）","113001","610208101","90","5208301","90","0","5208006","0","bgm_MC283","1"
"81020801","10208","bgm_MC283","10208201","81020801","Boss戰（SPECIAL）","114001","0","90","0","255","10208101","0","0","bgm_MC283","2"
"81020801","10208","bgm_MC283","10208501","81020801","Boss戰（SPECIAL＋）","115001","0","90","0","352","10208201","0","0","bgm_MC283","3"
"103603","10209","bgm_MC203","10209101","103603","Boss戰（SCENARIO）","113001","610209101","90","5209301","90","0","5209006","0","bgm_MC203","1"
"103603","10209","bgm_MC203","10209201","103603","Boss戰（SPECIAL）","114001","0","90","0","255","10209101","0","0","bgm_MC203","2"
"103603","10209","bgm_MC203","10209501","103603","Boss戰（SPECIAL＋）","115001","0","90","0","355","10209201","0","0","bgm_MC203","3"
"103363","10210","bgm_MC179A","10210101","103363","Boss戰（SCENARIO）","113001","610210101","90","5210301","90","0","5210005","0","bgm_MC179A","1"
"103363","10210","bgm_MC179A","10210201","103363","Boss戰（SPECIAL）","114001","0","90","0","255","10210101","0","0","bgm_MC179A","2"
"103363","10210","bgm_MC179A","10210501","103363","Boss戰（SPECIAL＋）","115001","0","90","0","358","10210201","0","0","bgm_MC179A","3"
"81008002","10211","bgm_M641","10211101","81008002","Boss戰（SCENARIO）","113001","610211101","90","5211301","90","0","5211006","0","bgm_M641","1"
"81008002","10211","bgm_M641","10211201","81008002","Boss戰（SPECIAL）","114001","0","90","0","255","10211101","0","0","bgm_M641","2"
"81008002","10211","bgm_M641","10211501","81008002","Boss戰（SPECIAL＋）","115001","0","90","0","361","10211201","0","0","bgm_M641","3"
"81021201","10212","bgm_MC243_Short","10212101","81021201","Boss戰（SCENARIO）","113001","610212101","90","5212301","90","0","5212006","0","bgm_MC243","1"
"81021201","10212","bgm_MC243_Short","10212201","81021201","Boss戰（SPECIAL）","114001","0","90","0","255","10212101","0","0","bgm_MC243","2"
"81021201","10212","bgm_MC243_Short","10212501","81021201","Boss戰（SPECIAL＋）","115001","0","90","0","364","10212201","0","0","bgm_MC243","3"
"100003","10213","bgm_MC295A","10213101","100003","前篇Boss戰（SCENARIO）","113002","610213101","90","5213301","90","0","5213005","0","bgm_MC295A","1"
"81021302","10213","bgm_MC320","10213151","81021302","後篇Boss戰（SCENARIO）","113002","610213151","90","5213311","90","0","5213012","2026/06/13 16:00:00","bgm_MC320","1"
"100003","10213","bgm_MC295A","10213201","100003","前篇Boss戰（SPECIAL）","114002","0","90","0","255","10213101","0","0","bgm_MC295A","2"
"81021302","10213","bgm_MC320","10213251","81021302","後篇Boss戰（SPECIAL）","114002","0","90","0","255","10213151","0","2026/06/13 16:00:00","bgm_MC320","2"
"100003","10213","bgm_MC295A","10213501","100003","前篇Boss戰（SPECIAL+）","115001","0","90","0","367","10213201","0","0","bgm_MC295A","3"
"81021302","10213","bgm_MC320","10213551","81021302","後篇Boss戰（SPECIAL+）","115001","0","90","0","367","10213251","0","2026/06/13 16:00:00","bgm_MC320","3"
"102996","10214","bgm_MC081_Yamato","10214101","102996","Boss戰（SCENARIO）","113003","610214101","90","5214301","90","0","5214005","0","bgm_MC081","1"
"102996","10214","bgm_MC081_Yamato","10214201","102996","Boss戰（SPECIAL）","114003","0","90","0","255","10214101","0","0","bgm_MC081","2"
"102996","10214","bgm_MC081_Yamato","10214501","102996","Boss戰（SPECIAL＋）","115003","0","90","0","370","10214201","0","0","bgm_MC081","3"
"101243","10215","bgm_MC203","10215101","101243","Boss戰（SCENARIO）","113003","610215101","90","5215301","90","0","5215006","0","bgm_MC203","1"
"101243","10215","bgm_MC203","10215201","101243","Boss戰（SPECIAL）","114003","0","90","0","255","10215101","0","0","bgm_MC203","2"
"101243","10215","bgm_MC203","10215501","101243","Boss戰（SPECIAL＋）","115003","0","90","0","373","10215201","0","0","bgm_MC203","3"
"81021601","10216","bgm_MC347","10216101","81021601","Boss戰（SCENARIO）","113003","610216101","90","5216301","90","0","5216006","0","bgm_MC347","1"
"81021601","10216","bgm_MC347","10216201","81021601","Boss戰（SPECIAL）","114003","0","90","0","255","10216101","0","0","bgm_MC347","2"
"81021601","10216","bgm_MC347","10216501","81021601","Boss戰（SPECIAL＋）","115003","0","90","0","376","10216201","0","0","bgm_MC347","3"
