5480015966bd9a05877fb0e0add9d4d7eba769b936df178d5c64940b6ffede8d,ebf77b0ea79578dfb852ae86d5e213798e393a380407ec8c46ce4d62e8f691cd,1d599c1b0cc97fabcf5469a7d6c3c55765470ff65992495d967c88a7ccf6547d
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
