7008aaa52cbc59f2d1ae0adfca010a00fc33c9fb557fb64106f0ffeb64db26a5,2a75b7503f81a0ad2220e494d6a80b3877d93e24feb5822e358879c3230ac138,55046323d8a443f6f53f2f023c1cc038fc4b251785c4bd66a4e0f04a2fa612f7,49900c35d70193f0ae7f5d637ec246fc74d6e02c99fe357c53c71f595b42237d,54611f817467cfa77669ceb491e477522b5e2507a6776c8e5bc52596ed10a97f,0fabade1945d221d85fda45ac124f0eb8491b92d76b988adad1f2b8c3facb5e8,a076f279f732ad466ebe15d8f7ed16c70345f451d6d726dea36d9037b5baa9b5,af125769e55718674644bd8839c229c4add2220af29548c56e378aa0882290fa,9e6621877bd97bec829f10c9c492bbd89c604ba2b8613710250411beaecd410c,9bec1e1e3a9fa42997bb055fde10a5c584ce5d9c8e0ca2f3394c5c3a565ed0e8,759b6dbe0017c39a85087fba70491ecd758a02b04a850619bf962537375541d7,19b0b4d3838afbd35877b683b018865fc0a8decceaf724b310bbb224fc9e91d4,b2b1639a829aa6085e6ab1a4a2f808a8ca1b34888b256e8c0e54a9c557badc14,144fea374b9f04f41f32ced3a903998982b387c994f157b136066760a21dc24f,3731fdb36d5d3068a42f85510713655a6adf85d04a68fb9ff51f60c6d40c3f15,925dc90a8dc8fca2f1b51d3995c1772ad3539e8513f3af4ef31be718833741f9,8c4f48197b0ec63d95b1f424026f5a9a5e6873ba22ef0a9f030b8937328a361e,2793fd85b243ad457da36202a6676e5046a2cc9b707bdf3c4adc8c4cac586561,8efb5753bd9326863432bab3709e73345e54f2a3a9223598f8deb74ad818cd05
"0","610010004","2","0","5","0","0","1.5","0","0","610010401","0","5010321","0","0","","90","10010","1"
"108","610010005","3","0","5","0","0","1.5","0","0","610010402","0","5010322","0","0","","90","10010","2"
"0","610010006","1","0","5","0","0","1.5","0","0","0","0","0","0","0","","90","10010","3"
"0","610011004","1","0","5","0","0","1.5","0","0","0","70","5011322","0","5011321","","90","10011","1"
"0","610011005","1","0","5","0","0","1.5","0","0","0","40","5011323","0","0","","90","10011","2"
"0","610011006","1","0","5","0","0","1.5","0","0","0","0","0","0","0","","90","10011","3"
"0","610012004","2","0","5","0","1","1.5","3","600","610012401","0","5012321","0","0","","90","10012","1"
"0","610012005","1","0","5","0","1","1.5","0","0","0","51","5012322","0","0","","90","10012","2"
"0","610012006","1","0","5","0","1","1.5","0","0","0","0","0","0","0","","90","10012","3"
"0","610013004","2","0","5","50","1","1.5","3","600","610013401","0","5013321","0.9","0","","90","10013","1"
"0","610013005","1","0","5","84","0","1.5","0","0","0","50","5013322","1","0","","90","10013","2"
"0","610013006","1","0","5","84","0","1.5","0","0","0","0","0","1","0","","90","10013","3"
"0","610015004","2","0","5","1","1","1.5","3","600","610015401","0","5015321","0.9","0","","90","10015","1"
"0","610015005","1","0","5","-50","1","1.5","0","0","0","50","5015322","1.3","0","","90","10015","2"
"0","610015006","1","0","5","-50","1","1.5","0","0","0","0","0","1.3","0","","90","10015","3"
"0","610017004","2","0","5","50","1","1.5","3","600","610017401","0","5017321","0.9","0","","90","10017","1"
"0","610017005","1","0","5","84","1","1.5","0","0","0","50","5017322","1","0","","90","10017","2"
"0","610017006","1","0","5","84","1","1.5","0","0","0","0","0","1","0","","90","10017","3"
"200","610019004","4","0","5","-50","1","1.5","0","0","610019401","0","5019322","1.25","5019321","","90","10019","1"
"0","610019005","1","0","5","-50","1","1.5","0","0","0","50","5019323","1.25","0","","90","10019","2"
"0","610019006","1","0","5","-50","1","1.5","0","0","0","0","0","1.25","0","","90","10019","3"
"0","610021004","1","0","5","0","1","1.5","0","0","0","60","5021322","1","5021321","","90","10021","1"
"30","610021005","3","0","5","0","1","1.5","0","0","0","0","5021323","1","0","","90","10021","2"
"0","610021006","1","0","5","0","1","1.5","0","0","0","0","0","1","0","","90","10021","3"
"0","610023004","1","0","5","-50","1","1.5","0","0","0","75","5023322","1.25","5023321","","135","10023","1"
"0","610023005","1","0","5","-50","1","1.5","0","0","0","25","5023323","1.25","0","","135","10023","2"
"0","610023006","1","0","5","-50","1","1.5","0","0","0","0","0","1.25","0","","135","10023","3"
"0","610025004","2","0","5","-50","1","5.5","3","600","610025401","0","5025322","1.25","5025321","","140","10025","1"
"0","610025005","1","0","5","-50","1","1.5","0","0","0","50","5025323","1.25","0","","140","10025","2"
"0","610025006","1","0","5","-50","1","1.5","0","0","0","0","0","1.25","0","","140","10025","3"
"0","610027004","1","0","5","-50","1","5.5","3","600","0","60","5027322","1.25","5027321","","145","10027","1"
"0","610027005","2","0","5","-50","1","1.5","0","600","610027501","0","5027323","1.25","0","","145","10027","2"
"0","610027006","1","0","5","-50","1","1.5","0","0","0","0","0","1.25","0","","145","10027","3"
"0","610029004","2","0","5","0","1","5.5","3","600","610029401","0","5029322","1.5","5029321","","145","10029","1"
"0","610029005","1","0","5","0","1","1.5","0","0","0","60","5029323","1.5","0","","145","10029","2"
"0","610029006","1","0","5","0","1","1.5","0","0","0","0","0","1.5","0","","145","10029","3"
"0","610031004","2","0","5","-50","1","5.5","3","600","610031401","0","5031322","1.25","5031321","","150","10031","1"
"0","610031005","1","0","5","-50","1","1.5","0","0","0","50","5031323","1.25","0","","150","10031","2"
"0","610031006","1","0","5","-50","1","1.5","0","0","0","0","0","1.25","0","","150","10031","3"
"0","610033004","1","0","5","-50","1","5.5","3","600","0","50","5033322","1.25","5033321","","150","10033","1"
"0","610033005","2","0","5","-50","1","1.5","0","600","610033402","0","5033323","1.25","0","","150","10033","2"
"0","610033006","1","0","5","-50","1","1.5","0","0","0","0","0","1.25","0","","150","10033","3"
"0","610034004","1","0","5","0","1","1.5","0","0","0","70","5011322","1.4","5011321","","90","10034","1"
"0","610034005","1","0","5","0","1","1.5","0","0","0","40","5011323","1.4","0","","90","10034","2"
"0","610034006","1","0","5","0","1","1.5","0","0","0","0","0","1.4","0","","90","10034","3"
"0","610035004","2","0","5","5","1","5.5","3","600","610035401","0","5035322","2.5","5035321","","155","10035","1"
"0","610035005","2","0","5","5","1","1.5","0","600","610035402","0","5035323","2.5","0","","155","10035","2"
"0","610035006","1","0","5","5","1","1.5","0","0","0","0","0","2.5","0","","155","10035","3"
"0","610036004","1","0","5","-50","1","5.5","3","600","0","75","5036322","0.4","5036321","","155","10036","1"
"0","610036005","1","0","5","-50","1","1.5","0","600","0","20","5036323","0.4","0","","155","10036","2"
"0","610036006","1","0","5","-50","1","1.5","0","0","0","0","0","0.4","0","","155","10036","3"
"0","610037004","2","0","5","-50","1","1.5","3","600","610037401","0","5012321","1.5","0","","90","10037","1"
"0","610037005","1","0","5","-50","1","1.5","0","0","0","53","5012322","1.5","0","","90","10037","2"
"0","610037006","1","0","5","-50","1","1.5","0","0","0","0","0","1.5","0","","90","10037","3"
"0","610038004","2","0","5","-20","1","5.5","3","600","610038401","0","5038322","1.8","5038321","","155","10038","1"
"0","610038005","1","0","5","-20","1","1.5","0","0","0","55","5038323","2","0","310700_detail_idle","155","10038","2"
"0","610038006","1","0","5","-20","1","1.5","0","0","0","0","0","1.8","0","","155","10038","3"
"0","610039004","2","0","5","50","1","1.5","3","600","610039401","0","5013321","0.9","0","","90","10039","1"
"0","610039005","1","0","5","84","1","1.5","0","0","0","50","5013322","1","0","","90","10039","2"
"0","610039006","1","0","5","84","1","1.5","0","0","0","0","0","1","0","","90","10039","3"
"0","610040004","2","0","5","-20","1","5.5","3","600","610040401","0","5040322","1.5","5040321","","160","10040","1"
"0","610040005","1","0","5","-35","1","1.5","0","0","0","60","5040323","1.7","0","","160","10040","2"
"0","610040006","1","0","5","-35","1","1.5","0","0","0","0","0","1.7","0","","160","10040","3"
"0","610041004","2","0","5","1","1","1.5","3","600","610041401","0","5015321","0.9","0","","90","10041","1"
"0","610041005","1","0","5","-50","1","1.5","0","0","0","42","5015322","1.3","0","","90","10041","2"
"0","610041006","1","0","5","-50","1","1.5","0","0","0","0","0","1.3","0","","90","10041","3"
"6500000","610042004","5","0","5","-20","1","5.5","0","0","0","60","5042322","1.7","5042321","","160","10042","1"
"0","610042005","2","0","5","-20","1","1.5","3","600","610042402","0","5042323","1.61","0","311100_detail_idle","160","10042","2"
