8bd97fb460e7021c41ded9535822f9f31fb027738d0f5bac6a0329a7344f61d9,6220490fddab5ff517ef0e15aaedb74868395efee13caf1a3fe9d28677c02aab,d9435c12a807b7a7b1cb3d1dc495a48b295da9c012cd7fb0b94ac180adfcccee,4c43e1ac29b6d4db4231224c48b8958ac052db2256d08360c4f9e9c632dfef15,660126888ef91578b2a0a73c050e16d71eb857edf6aaab9616b31af42b8d97e0,0772c4150e65caa197eaf1c5c4b3a4b1db4b72cf670d99dce575aa5c6eaa0b6d,84fcb07a527e4a6fb2f497f6ba85d379503bfe0eeeda930ed564e2286801e3f5,1b4735083686aa9a8c4e4d4d53e4195217e7e8ae64ad481f0d012079b7b9b722,e5af43f950e1cd269da2fc162f772a2a0b19ad3111c5a4a3f9c9a1346841fd37,637e2714d068f8e6438de0e7571933fe157415cf915945897afc1146d409950f,eec7aedd758f22f780fe6397bf36fc04bd3ee8b4fe9d0bed956845985ea84df7
"","","","","101110001","se_travel","se_travel_start_1pt","23","","111","0"
"0","1","","","101110002","10010","10010","31","1","111","0"
"0","1","","","101110003","10011","10011","31","1","111","0"
"0","1","","","101110004","10020","10020","31","0","111","0"
"-150","-150","0","<weapon>_idle","101110005","2","1001001","1","0.68","111","62"
"-250","-75","0","<weapon>_idle","101110006","2","1001002","1","0.68","111","61"
"-350","-180","0","<weapon>_idle","101110007","2","1001003","1","0.68","111","63"
"-450","-75","0","<weapon>_idle","101110008","2","1001004","1","0.68","111","61"
"-550","-150","0","<weapon>_idle","101110009","2","1001005","1","0.68","111","62"
"-150","0.68","0","","101110010","10012","1001001","31","1","111","-150"
"-75","0.68","0","","101110011","10012","1001002","31","1","111","-250"
"-180","0.68","0","","101110012","10012","1001003","31","1","111","-350"
"-75","0.68","0","","101110013","10012","1001004","31","1","111","-450"
"-150","0.68","0","","101110014","10012","1001005","31","1","111","-550"
"0","1","","","101110015","10030","10030","31","0","111","0"
"0","1","","","101110016","10031","10031","31","0","111","0"
"","","","","101110017","","0","91","","111",""
"","","","","101110018","10030","1","32","","111",""
"","","","","101110019","0","0","91","","111",""
"","0","","","101110020","1001001","<weapon>_run","3","0","111","1"
"","0","","","101110021","1001002","<weapon>_run","3","0","111","1"
"","0","","","101110022","1001003","<weapon>_run","3","0","111","1"
"","0","","","101110023","1001004","<weapon>_run","3","0","111","1"
"","0","","","101110024","1001005","<weapon>_run","3","0","111","1"
"3","0","","","101110025","1001001","800","2","","111","-150"
"3","0","","","101110026","1001002","700","2","","111","-75"
"3","0","","","101110027","1001003","600","2","","111","-180"
"3","0","","","101110028","1001004","500","2","","111","-75"
"3","0","","","101110029","1001005","400","2","","111","-150"
"3","0","","","101110030","1001001","800","33","","111","-150"
"3","0","","","101110031","1001002","700","33","","111","-75"
"3","0","","","101110032","1001003","600","33","","111","-180"
"3","0","","","101110033","1001004","500","33","","111","-75"
"3","0","","","101110034","1001005","400","33","","111","-150"
"","","","","101110035","10020","1","32","","111",""
"","","","","101110036","2.5","0","93","","111",""
"","","","","101110037","10031","1","32","","111",""
"","","","","101110038","0.4","0","93","","111",""
"","","","","101110039","0","0","91","","111",""
"","","","","102110001","se_travel","se_travel_start_2pt","23","","211","0"
"0","1","","","102110002","10010","10010","31","1","211","0"
"0","1","","","102110003","10011","10011","31","1","211","0"
"0","1","","","102110004","10020","10020","31","0","211","0"
"-100","-90","0","<weapon>_idle","102110005","2","1001001","1","0.68","211","62"
"-170","-15","0","<weapon>_idle","102110006","2","1001002","1","0.68","211","61"
"-240","-105","0","<weapon>_idle","102110007","2","1001003","1","0.68","211","63"
"-310","-15","0","<weapon>_idle","102110008","2","1001004","1","0.68","211","61"
"-380","-90","0","<weapon>_idle","102110009","2","1001005","1","0.68","211","62"
"-90","0.68","0","","102110010","10012","1001001","31","1","211","-100"
"-15","0.68","0","","102110011","10012","1001002","31","1","211","-170"
"-105","0.68","0","","102110012","10012","1001003","31","1","211","-240"
"-15","0.68","0","","102110013","10012","1001004","31","1","211","-310"
"-90","0.68","0","","102110014","10012","1001005","31","1","211","-380"
"-500","-240","0","<weapon>_idle","102110015","2","1002001","1","0.68","211","52"
"-570","-165","0","<weapon>_idle","102110016","2","1002002","1","0.68","211","51"
"-640","-255","0","<weapon>_idle","102110017","2","1002003","1","0.68","211","53"
"-710","-165","0","<weapon>_idle","102110018","2","1002004","1","0.68","211","51"
"-780","-240","0","<weapon>_idle","102110019","2","1002005","1","0.68","211","52"
"-240","0.68","0","","102110020","10012","1002001","31","1","211","-500"
"-165","0.68","0","","102110021","10012","1002002","31","1","211","-570"
"-255","0.68","0","","102110022","10012","1002003","31","1","211","-640"
"-165","0.68","0","","102110023","10012","1002004","31","1","211","-710"
"-240","0.68","0","","102110024","10012","1002005","31","1","211","-780"
"0","1","","","102110025","10030","10030","31","0","211","0"
"0","1","","","102110026","10031","10031","31","0","211","0"
"","","","","102110027","","0","91","","211",""
"","","","","102110028","10030","1","32","","211",""
"","","","","102110029","0","0","91","","211",""
"","0","","","102110030","1001001","<weapon>_run","3","0","211","1"
"","0","","","102110031","1001002","<weapon>_run","3","0","211","1"
"","0","","","102110032","1001003","<weapon>_run","3","0","211","1"
"","0","","","102110033","1001004","<weapon>_run","3","0","211","1"
"","0","","","102110034","1001005","<weapon>_run","3","0","211","1"
"3","0","","","102110035","1001001","850","2","","211","-90"
"3","0","","","102110036","1001002","780","2","","211","-15"
"3","0","","","102110037","1001003","710","2","","211","-105"
"3","0","","","102110038","1001004","640","2","","211","-15"
"3","0","","","102110039","1001005","570","2","","211","-90"
"3","0","","","102110040","1001001","850","33","","211","-90"
"3","0","","","102110041","1001002","780","33","","211","-15"
"3","0","","","102110042","1001003","710","33","","211","-105"
"3","0","","","102110043","1001004","640","33","","211","-15"
"3","0","","","102110044","1001005","570","33","","211","-90"
"","0","","","102110045","1002001","<weapon>_run","3","0","211","1"
"","0","","","102110046","1002002","<weapon>_run","3","0","211","1"
"","0","","","102110047","1002003","<weapon>_run","3","0","211","1"
"","0","","","102110048","1002004","<weapon>_run","3","0","211","1"
"","0","","","102110049","1002005","<weapon>_run","3","0","211","1"
"3","0","","","102110050","1002001","450","2","","211","-240"
"3","0","","","102110051","1002002","380","2","","211","-165"
"3","0","","","102110052","1002003","310","2","","211","-255"
"3","0","","","102110053","1002004","240","2","","211","-165"
"3","0","","","102110054","1002005","170","2","","211","-240"
"3","0","","","102110055","1002001","450","33","","211","-240"
"3","0","","","102110056","1002002","380","33","","211","-165"
"3","0","","","102110057","1002003","310","33","","211","-255"
"3","0","","","102110058","1002004","240","33","","211","-165"
"3","0","","","102110059","1002005","170","33","","211","-240"
"","","","","102110060","10020","1","32","","211",""
"","","","","102110061","2.5","0","93","","211",""
"","","","","102110062","10031","1","32","","211",""
"","","","","102110063","0.4","0","93","","211",""
"","","","","102110064","0","0","91","","211",""
"","","","","103110001","se_travel","se_travel_start_3pt","23","","311","0"
"0","1","","","103110002","10010","10010","31","1","311","0"
"0","1","","","103110003","10011","10011","31","1","311","0"
"0","1","","","103110004","10020","10020","31","0","311","0"
"0","-240","0","<weapon>_idle","103110005","2","1001001","1","0.68","311","62"
"-70","-165","0","<weapon>_idle","103110006","2","1001002","1","0.68","311","61"
"-140","-255","0","<weapon>_idle","103110007","2","1001003","1","0.68","311","63"
"-210","-165","0","<weapon>_idle","103110008","2","1001004","1","0.68","311","61"
"-280","-240","0","<weapon>_idle","103110009","2","1001005","1","0.68","311","62"
"-240","0.68","0","","103110010","10012","1001001","31","1","311","0"
"-165","0.68","0","","103110011","10012","1001002","31","1","311","-70"
"-255","0.68","0","","103110012","10012","1001003","31","1","311","-140"
"-165","0.68","0","","103110013","10012","1001004","31","1","311","-210"
"-240","0.68","0","","103110014","10012","1001005","31","1","311","-280"
"-250","-60","0","<weapon>_idle","103110015","2","1002001","1","0.68","311","52"
"-320","15","0","<weapon>_idle","103110016","2","1002002","1","0.68","311","51"
"-390","-75","0","<weapon>_idle","103110017","2","1002003","1","0.68","311","53"
"-460","15","0","<weapon>_idle","103110018","2","1002004","1","0.68","311","51"
"-530","-60","0","<weapon>_idle","103110019","2","1002005","1","0.68","311","52"
"-60","0.68","0","","103110020","10012","1002001","31","1","311","-250"
"15","0.68","0","","103110021","10012","1002002","31","1","311","-320"
"-75","0.68","0","","103110022","10012","1002003","31","1","311","-390"
"15","0.68","0","","103110023","10012","1002004","31","1","311","-460"
"-60","0.68","0","","103110024","10012","1002005","31","1","311","-530"
"-500","-250","0","<weapon>_idle","103110025","2","1003001","1","0.68","311","62"
"-570","-175","0","<weapon>_idle","103110026","2","1003002","1","0.68","311","61"
"-640","-265","0","<weapon>_idle","103110027","2","1003003","1","0.68","311","63"
"-710","-175","0","<weapon>_idle","103110028","2","1003004","1","0.68","311","61"
"-780","-250","0","<weapon>_idle","103110029","2","1003005","1","0.68","311","62"
"-250","0.68","0","","103110030","10012","1003001","31","1","311","-500"
"-175","0.68","0","","103110031","10012","1003002","31","1","311","-570"
"-265","0.68","0","","103110032","10012","1003003","31","1","311","-640"
"-175","0.68","0","","103110033","10012","1003004","31","1","311","-710"
"-250","0.68","0","","103110034","10012","1003005","31","1","311","-780"
"0","1","","","103110035","10030","10030","31","0","311","0"
"0","1","","","103110036","10031","10031","31","0","311","0"
"","","","","103110037","","0","91","","311",""
"","","","","103110038","10030","1","32","","311",""
"","","","","103110039","0","0","91","","311",""
"","0","","","103110040","1001001","<weapon>_run","3","0","311","1"
"","0","","","103110041","1001002","<weapon>_run","3","0","311","1"
"","0","","","103110042","1001003","<weapon>_run","3","0","311","1"
"","0","","","103110043","1001004","<weapon>_run","3","0","311","1"
"","0","","","103110044","1001005","<weapon>_run","3","0","311","1"
"3","0","","","103110045","1001001","950","2","","311","-240"
"3","0","","","103110046","1001002","880","2","","311","-165"
"3","0","","","103110047","1001003","810","2","","311","-255"
"3","0","","","103110048","1001004","740","2","","311","-165"
"3","0","","","103110049","1001005","670","2","","311","-240"
"3","0","","","103110050","1001001","950","33","","311","-240"
"3","0","","","103110051","1001002","880","33","","311","-165"
"3","0","","","103110052","1001003","810","33","","311","-255"
"3","0","","","103110053","1001004","740","33","","311","-165"
