cec1ad29c841937829841af5ae41371c4151f320c4b007d530178fe6d5a03684,318a8ca5a787b3d75db545ccd048d666fac26e666928e47ed1b0633163f2a5a2,9b753a1e54e79f8aacdfdff53d6d9439f1f96dedaa93c8c25e818a0b591a4c65,087d093c93f9c8667caa6746bff0c62ceb09e4034241e7e7241e7d7cfb8c21d8,e70ffa33a8181b86daa148fa073bf35b9185539a2b0b2f56cb486ae4f144a47a,4f1825d34b1035475888724a73fe7d94e603688247f79025f2faa3a4990e0107,0136b2981e467720f34d3703dab77eec47b3be5be216c8c522688d4a0e2e19bd,abfa38f7d70da6c96ceb4e8f583849bd50ffc53e980736b5831f1e158e15d4f6,d96ba4ce1dd3d9f80d0a7cdf3204ea3b3dff91e73e42c81ad2943a05e9a1a80d,491ebc4f090d8ec93677289a8beeee02dccc606e456b3ec80118f3c7a36d87ae,e291ca427f296e5a0a3f83f325d38b1365e28d72da8a0747b9313c37f9ac3c65,d14edb58eaadf7eb7f4756ab062c76f7c5fe7083291d6154c8b0c5efe5fb6227
"0","1120001","1","0","12","4","1","0","0","0","0","3"
"0","1120002","2","0","12","2","0","0","vo_nyx_0101","0","vo_nyx","0"
"0","1120003","3","278","12","1","0","1","0","2.698","0","0"
"0","1120004","4","0","12","4","3.334","0","0","0","0","1"
"0","1120005","5","0","12","2","0","0","vo_nyx_0102","0","vo_nyx","0"
"278","1120006","6","382","12","1","0","1","0","1.055","0","0"
"0","1120007","7","0","12","4","1.055","0","0","0","0","1"
"0","1120008","8","78","12","1","0","2","0","0.732","0","0"
"0","1120009","9","0","12","4","1.05","0","0","0","0","1"
"78","1120010","10","365","12","1","0","2","0","2.42","0","0"
"0","1120011","11","0","12","4","3.5","0","0","0","0","1"
"0","1120012","12","0","12","4","2","0","0","0","0","3"
"0","1120013","13","0","12","2","0","0","vo_nyx_0103","0","vo_nyx","0"
"0","1120014","14","79","12","1","0","3","0","0.815","0","0"
"0","1120015","15","0","12","4","1.157","0","0","0","0","1"
"79","1120016","16","372","12","1","0","3","0","2.763","0","0"
"0","1120017","17","0","12","4","2.763","0","0","0","0","1"
