4902d5fae293ffe491b776720d5140cd2a8c38c98fa098e4c3550bce535b21f1,e87dbb75ebd35a1160925328ef37fc6d4c9472ea1d406ef6787f0ae991611d16,93f76dac0d780116c419ce41a33901591dae62b45493be7704acdc157438a217,276d3a3c7a154230148115846faefa18f5e58f702a433eb7cf33b73d7f4dab4e,aa4c8a1f17812344a0ff74322c5abf6c27157a7062290a07e69b52e8a45de707,498a8bddaa84e3019804c8c563c2db526179477e5306956bc8e6d00d61b5dc8f,914cfbdef5333b7c4670e1879fad04102c48066a2f65aa11ee4179022093aba4,241e4ec12612f11ef0d6255366a226ea2a9ec124db727ae25a438bd0e3694e3c,a09031663a66c1aff2cbb2d4257a66a8d12ea700e3a5ccbe01788a2a0b9e275d,95c2373bdc021f7899b43c696386edcc8795b6d0d88bb3edf33bca473913da1d,67dc5613694d38ae9fce59b37251ba80c3db6d59af447cd63ea89103109cb2a0
"七冠專用群組聊天","102010001","0","101","5","0","","晶的末端裝置","5201061","10201","4"
"平時的群組聊天","102010002","0","102","5","0","","","5201062","10201","4"
"七冠會議‧變色龍篇","102010003","0","5201063","2","0","","變色龍玩偶","5201063","10201","2"
"七冠會議‧線上篇","102010004","1","5201064","2","0","","線上會議_紀錄","5201064","10201","102"
"美麗設計","102010005","1","501","5","0","","怪物設定資料","5201066","10201","103"
"正常的感性","102010006","1","5201074","2","0","","","5201074","10201","103"
"會議在跳舞，然而毫無進展","102010007","1","5201075","2","0","","企劃資料","5201075","10201","104"
"失控的創作者魂","102010008","1","5201076","2","0","","","5201076","10201","104"
"現士實似似花與蛋糕","102010009","0","5201077","2","0","","綜合莓果蛋糕","5201077","10201","3"
"由此而生的好感度","102010010","0","5201078","2","0","","","5201078","10201","3"
"華麗報導","102010011","1","401","5","0","","訪談新聞_校閱用","5201079","10201","105"
"華麗報導的背後","102010012","1","402","5","0","","","5201081","10201","105"
"嚮導老君的憂慮","102010013","1","5201083","2","0","","角色服裝設定資料","5201083","10201","101"
"何以何故獸人族","102010014","1","5201085","2","0","","種族設定資料","5201085","10201","106"
"停止的時間，殘留的思念","102010015","0","301","5","0","","埋沒在資料裡的照片","5201087","10201","5"
"前進的時間，刻下的回憶","102010016","0","5201088","2","0","","","5201088","10201","5"
"前往PC畫面","102010101","0","1","6","0","","","0","10201","1"
