87c2a8c1d3120013f9fdffad2b3e7f7acf4f0bb7f1eb90ac9368ad031e2f74e1,07f995f926f063c6ca7604eac605ec39ae55d75f1a91d327e354a8561f09140f,134d33139a5782e8ba1fc5a5f0fd0aa007d30030144dc95a2bf15192c4e99203,98de9bf6d754f90cf6e8ffce6fab2b50ef9726c8df8f1dcd90918248f2a521fa,806360f6b43d4a9a757e556138024d15cc61274d8602392e59e8eac1a4359898
"加油！","100101","2099/08/01 14:59:59","29","2015/04/01 14:00:00"
"謝謝","100201","2099/08/01 14:59:59","30","2015/04/01 14:00:00"
"參戰","100301","2099/08/01 14:59:59","31","2015/04/01 14:00:00"
"早安~！！","100401","2099/08/01 14:59:59","32","2015/04/01 14:00:00"
"有點難為情呢","100501","2099/08/01 14:59:59","59","2021/12/09 12:00:00"
"好厲害喔～♪","100601","2099/08/01 14:59:59","60","2021/12/09 12:00:00"
"布丁～布丁～","100701","2099/08/01 14:59:59","61","2021/12/09 12:00:00"
"叫我嗎？","100801","2099/08/01 14:59:59","62","2021/12/09 12:00:00"
"就是現在！","100901","2099/08/01 14:59:59","33","2015/04/01 14:00:00"
"真是辛苦呀","101001","2099/08/01 14:59:59","34","2015/04/01 14:00:00"
"收到！","101101","2099/08/01 14:59:59","35","2015/04/01 14:00:00"
"開始囉─","101201","2099/08/01 14:59:59","36","2015/04/01 14:00:00"
"出現了！","101301","2099/08/01 14:59:59","63","2021/12/09 12:00:00"
"線索湊齊了呢","101401","2099/08/01 14:59:59","64","2021/12/09 12:00:00"
"好乖好乖♪","101501","2099/08/01 14:59:59","65","2021/12/09 12:00:00"
"OK！","101601","2099/08/01 14:59:59","37","2015/04/01 14:00:00"
"船到橋頭自然直","101701","2099/08/01 14:59:59","38","2015/04/01 14:00:00"
"我來教‧教‧你","101801","2099/08/01 14:59:59","66","2021/12/09 12:00:00"
"晚安","102001","2099/08/01 14:59:59","39","2015/04/01 14:00:00"
"哇！哇！","102101","2099/08/01 14:59:59","40","2015/04/01 14:00:00"
"抖~抖~","102201","2099/08/01 14:59:59","41","2015/04/01 14:00:00"
"怒怒","102301","2099/08/01 14:59:59","42","2015/04/01 14:00:00"
"辛苦啦…哇哇！？","102501","2099/08/01 14:59:59","43","2015/04/01 14:00:00"
"好累喔～","102601","2099/08/01 14:59:59","67","2021/12/09 12:00:00"
"呵呵呵…","102701","2099/08/01 14:59:59","44","2015/04/01 14:00:00"
"要上了！","102801","2099/08/01 14:59:59","45","2015/04/01 14:00:00"
"交給我！","102901","2099/08/01 14:59:59","46","2015/04/01 14:00:00"
"統一天下是也！","103001","2099/08/01 14:59:59","68","2021/12/09 12:00:00"
"晚晚安！","103101","2099/08/01 14:59:59","47","2015/04/01 14:00:00"
"真不好意思","103201","2099/08/01 14:59:59","69","2021/12/09 12:00:00"
"騙你的！","103301","2099/08/01 14:59:59","70","2021/12/09 12:00:00"
"乾杯！！","103401","2099/08/01 14:59:59","48","2015/04/01 14:00:00"
"已通報!!","103601","2099/08/01 14:59:59","49","2015/04/01 14:00:00"
"每日鍛鍊","103701","2099/08/01 14:59:59","71","2021/12/09 12:00:00"
"要不要……休息一下？","103801","2099/08/01 14:59:59","72","2021/12/09 12:00:00"
"剩下就拜託了…","104001","2099/08/01 14:59:59","50","2015/04/01 14:00:00"
"賜你守護……","104201","2099/08/01 14:59:59","73","2021/12/09 12:00:00"
"熱血沸騰啦！","104301","2099/08/01 14:59:59","74","2021/12/09 12:00:00"
"隨我而來吧！","104401","2099/08/01 14:59:59","51","2015/04/01 14:00:00"
"想吃…","104501","2099/08/01 14:59:59","52","2015/04/01 14:00:00"
"喵！","104601","2099/08/01 14:59:59","53","2015/04/01 14:00:00"
"以這雙手來守護！","104701","2099/08/01 14:59:59","75","2021/12/09 12:00:00"
"ＮＯ！","104801","2099/08/01 14:59:59","54","2015/04/01 14:00:00"
"抱歉呦♡","104901","2099/08/01 14:59:59","55","2015/04/01 14:00:00"
"快振作！！","105001","2099/08/01 14:59:59","56","2015/04/01 14:00:00"
"做實驗做實驗……♪","105101","2099/08/01 14:59:59","76","2021/12/09 12:00:00"
