0ce3df6c08c18e457cef1f5edf287d892861508078b31c2545159e97a5b14384,a192b49d2fae2fba771afa55d24288270c42ac742b0fc5104f50665cddb8bf97,366ba27097ec28bf630f0049ac75d078fe5a20e7193552520047a2fd340e06c3,06785e8e5f38fcece902a9110a79fd103ec1572b1898afc87661046b4b4cc006,79f03729bbc1e0b30bba9aea2893d602136460a7d9f2344439ab06f1de810f63
"1","2","10","9105801","31058"
"2","2","10","9102001","31020"
"3","2","10","9100201","31002"
"4","2","10","9105501","31055"
"5","2","10","9101601","31016"
"6","2","10","9112401","31124"
"7","2","10","9104401","31044"
"8","2","10","9102301","31023"
"9","2","10","9105901","31059"
"10","2","10","9104201","31042"
"11","2","10","9104001","31040"
"12","2","10","9102101","31021"
"13","2","10","9106301","31063"
"14","2","10","9106501","31065"
"15","2","10","9100901","31009"
"16","2","10","9101701","31017"
"17","2","10","9105601","31056"
"18","2","10","9105301","31053"
"19","2","10","9102701","31027"
"20","2","10","9110801","31108"
"21","2","10","9104301","31043"
"22","2","10","9112501","31125"
"23","2","10","9100401","31004"
"24","2","10","9103701","31037"
"25","2","10","9106101","31061"
"26","2","10","9101801","31018"
"27","2","10","9101301","31013"
"28","2","10","9101101","31011"
"29","2","10","9100101","31001"
"30","2","10","9103001","31030"
"31","2","10","9106001","31060"
"32","2","10","9101501","31015"
"33","2","10","9105401","31054"
"34","2","10","9110901","31109"
"35","2","10","9101001","31010"
"36","2","10","9106601","31066"
"37","2","10","9102801","31028"
"38","2","10","9100801","31008"
"39","2","10","9104901","31049"
"40","2","10","9104701","31047"
"41","2","10","9101401","31014"
"42","2","10","9109401","31094"
"43","2","10","9103801","31038"
"44","2","10","9104801","31048"
"45","2","10","9104501","31045"
"46","2","10","9100601","31022"
"47","2","10","9100601","31006"
"48","2","10","9100501","31005"
"49","2","10","9112601","31126"
"50","2","10","9109201","31092"
"51","2","10","9102501","31025"
"52","2","10","9103101","31031"
"53","2","10","9101201","31012"
"54","2","10","9102601","31026"
"55","2","10","9105001","31050"
"56","2","10","9100301","31003"
"57","2","10","9100701","31007"
"58","2","10","9102901","31029"
"59","2","10","9103601","31036"
"60","2","10","9109301","31093"
"61","2","10","9107101","31071"
"62","2","10","9111001","31110"
"63","2","10","9104601","31046"
"64","2","10","9103301","31033"
"65","2","10","9105101","31051"
"66","2","10","9105701","31057"
"67","2","10","9103201","31032"
"68","2","10","9105201","31052"
"69","2","10","9103401","31034"
"70","2","10","9107001","31070"
"71","2","10","9105802","31058"
"72","2","10","9102002","31020"
"73","2","10","9100202","31002"
"74","2","10","9105502","31055"
"75","2","10","9101602","31016"
"77","2","10","9104402","31044"
"78","2","10","9102302","31023"
"79","2","10","9105902","31059"
"80","2","10","9104202","31042"
"81","2","10","9104002","31040"
"82","2","10","9102102","31021"
"83","2","10","9106302","31063"
"84","2","10","9106502","31065"
"85","2","10","9100902","31009"
"86","2","10","9101702","31017"
"87","2","10","9105602","31056"
"88","2","10","9106802","31068"
"89","2","10","9105302","31053"
"90","2","10","9102702","31027"
"91","2","10","9110802","31108"
"92","2","10","9104302","31043"
"94","2","10","9100402","31004"
"95","2","10","9103702","31037"
"96","2","10","9106102","31061"
"97","2","10","9101802","31018"
"98","2","10","9101302","31013"
"99","2","10","9101102","31011"
"100","2","10","9100102","31001"
"101","2","10","9103002","31030"
"102","2","10","9106002","31060"
"103","2","10","9101502","31015"
"104","2","10","9105402","31054"
"105","2","10","9110902","31109"
"106","2","10","9118002","31180"
"107","2","10","9101002","31010"
"108","2","10","9106602","31066"
"109","2","10","9102802","31028"
"110","2","10","9100802","31008"
"111","2","10","9104902","31049"
"112","2","10","9104702","31047"
"113","2","10","9101402","31014"
"114","2","10","9109402","31094"
"115","2","10","9103802","31038"
"116","2","10","9104802","31048"
"117","2","10","9104502","31045"
"118","2","10","9100602","31022"
"119","2","10","9100602","31006"
"120","2","10","9100502","31005"
"122","2","10","9109202","31092"
"123","2","10","9102502","31025"
"124","2","10","9103102","31031"
"125","2","10","9101202","31012"
"126","2","10","9102602","31026"
"127","2","10","9105002","31050"
"128","2","10","9100302","31003"
"129","2","10","9100702","31007"
"130","2","10","9102902","31029"
"131","2","10","9103602","31036"
"132","2","10","9109302","31093"
"133","2","10","9107102","31071"
"134","2","10","9111002","31110"
"135","2","10","9104602","31046"
"136","2","10","9103302","31033"
"137","2","10","9105102","31051"
"138","2","10","9105702","31057"
"139","2","10","9103202","31032"
"140","2","10","9105202","31052"
"141","2","10","9103402","31034"
"142","2","10","9107002","31070"
"143","2","10","9105803","31058"
"144","2","10","9102003","31020"
"145","2","10","9100203","31002"
"146","2","10","9105503","31055"
"147","2","10","9101603","31016"
"148","2","10","9106703","31067"
"149","2","10","9104403","31044"
"150","2","10","9102303","31023"
"151","2","10","9105903","31059"
"152","2","10","9104203","31042"
"153","2","10","9104003","31040"
"154","2","10","9102103","31021"
"155","2","10","9106303","31063"
"156","2","10","9106503","31065"
