18b2cda945a797e409dd70ed164e3bded0ffecdab893e4e09b34323cbce05a65,bca6c2441addce56106953b9c66e40207ea434bdabfde11c6d138d49e37541f5,25ed982628e59e90e112331ce805084c4b96b8663f83eb2e5e5ae01a20fc7951,7525963318b952d14a6b46770afbdd783e1d544a4e7f1139dc074feaebb2dd2e,6b31771057649adb82985bc3273678318ae7c85e6b674371774d5ee9d1f277b1,6e98bcae7ca40dd101700105ca2f91bb7a41fa915b21aada66b8939e68e986bf
"1","111011101","1","1110111","0","101001"
"1","111021101","1","1110211","0","101002"
"1","133011101","3","1330111","0","301"
"1","133011201","3","1330112","0","301"
"0","133020101","3","1330201","500","302"
"0","133020201","3","1330202","500","302"
"0","133030101","3","1330301","1","303"
"0","133030201","3","1330302","250","303"
"0","133030301","3","1330303","1","303"
"0","133030401","3","1330304","1","303"
"0","133030501","3","1330305","250","303"
"0","133030601","3","1330306","1","303"
"0","133040101","3","1330401","1000","304"
"0","133040201","3","1330402","1000","304"
"0","133040301","3","1330403","1000","304"
"0","133040401","3","1330404","1000","304"
"1","133051101","3","1330511","0","305"
"1","133051201","3","1330512","0","305"
"0","134010101","3","1340101","1","401"
"0","134010201","3","1340102","1","401"
"1","134021101","3","1340211","0","402"
"1","134021201","3","1340212","0","402"
"0","140010101","4","1400101","1","1"
"0","140010201","4","1400102","1","1"
"0","140010301","4","1400103","10","1"
"0","140020101","4","1400201","0","2"
"0","210000101","1","2100001","0","0"
"0","211030101","1","2110301","0","101003"
"0","221010101","2","2210101","0","100001"
"0","221020101","2","2210201","0","100002"
"0","221030101","2","2210301","0","100003"
"0","221050101","2","2210501","0","100005"
"0","221070101","2","2210701","0","100007"
"0","221080101","2","2210801","0","100008"
"0","221090101","2","2210901","0","100009"
"0","221100101","2","2211001","0","100010"
"0","221110101","2","2211101","0","100011"
"0","221120101","2","2211201","0","100012"
"0","221130101","2","2211301","0","100013"
"0","221140101","2","2211401","0","100014"
"0","221160101","2","2211601","0","100016"
"0","221170101","2","2211701","0","100017"
"0","222020101","1","2220201","0","201020"
"0","222040101","1","2220401","0","201040"
"0","222050101","1","2220501","0","201050"
"0","222060101","1","2220601","0","201060"
"0","222070101","1","2220701","0","201070"
"0","222080101","1","2220801","0","201080"
"0","222090101","1","2220901","0","201090"
"0","222100101","1","2221001","0","201100"
"0","222110101","1","2221101","0","201110"
"0","222130101","1","2221301","0","201130"
"0","222140101","1","2221401","0","201140"
"0","222160101","1","2221601","0","201160"
"0","222180101","1","2221801","0","201180"
"0","222190101","1","2221901","0","201190"
"0","222200101","1","2222001","0","201200"
"0","222210101","1","2222101","0","201210"
"0","222220101","1","2222201","0","201220"
"0","222230101","1","2222301","0","201230"
"0","222240101","1","2222401","0","201240"
"0","222250101","1","2222501","0","201250"
"0","222270101","1","2222701","0","201270"
"0","222280101","1","2222801","0","201280"
"0","222290101","1","2222901","0","201290"
"0","222300101","1","2223001","0","201300"
"0","222320101","1","2223201","0","201320"
"0","222340101","1","2223401","0","201340"
"0","222350101","1","2223501","0","201350"
"0","222360101","1","2223601","0","201360"
"0","222370101","1","2223701","0","201370"
"0","222380101","1","2223801","0","201380"
"0","222390101","1","2223901","0","201390"
"0","222400101","1","2224001","0","201400"
"0","222410101","1","2224101","0","201410"
"0","222430101","1","2224301","0","201430"
"0","222440101","1","2224401","0","201440"
"0","222470101","1","2224701","0","201470"
"0","222480101","1","2224801","0","201480"
"0","222490101","1","2224901","0","201490"
"0","233010101","3","2330101","1000","301"
"0","233050101","3","2330501","1000","305"
"0","234020101","3","2340201","0","402"
"0","234030101","3","2340301","0","403"
"0","240010101","4","2400101","0","1"
"0","310000101","1","3100001","0","0"
"0","310000102","1","3100002","0","0"
"0","311010101","1","3110101","0","101001"
"0","311020101","1","3110201","0","101002"
