b5d54d481729f6354cc5ae6911e32fe11d9c5b3f4e3f7d6ed5ac2474b7f22893,b5fb327b9271f8a36b4f0697e489fc79df98ce7661277bd0c76ceeeca4e922d1,1f40fef7c5c377f77531efd2558d05489d14061f1e0a9f2d3184afccf2ef36ae,93e061d081eeb44b44b9ebd16985ad46f6fbab11f155713b1c693ce1ee9b62a4,ab3140d019a0b1b96ccc80b48ac6fb7e6d2b8a47247dbc0451fcd818291b8204,f7ed88c672595e511dd552b555dea88d20f4af194c37508934ec68864b1983cb,39aa859a007e2e716733e2cfda68b53023285e7c3f7b0793603d625b5a638758
"94002","2500","5126700","50000","1","12","取得累積分數2500分"
"94002","5000","0","50000","1","12","取得累積分數5000分"
"94002","7500","0","50000","1","12","取得累積分數7500分"
"2839","10000","5126701","1","1","7","取得累積分數10000分"
"94002","12500","0","80000","1","12","取得累積分數12500分"
"94002","15000","0","80000","1","12","取得累積分數15000分"
"94002","17500","0","80000","1","12","取得累積分數17500分"
"91002","20000","5126702","25","1","8","取得累積分數20000分"
"94002","22500","0","100000","1","12","取得累積分數22500分"
"94002","25000","0","100000","1","12","取得累積分數25000分"
"91002","27500","0","100","1","8","取得累積分數27500分"
"11001262","30000","5126703","1","1","15","取得累積分數30000分"
"94002","2500","5126710","50000","2","12","取得累積分數2500分"
"94002","5000","0","50000","2","12","取得累積分數5000分"
"94002","7500","0","50000","2","12","取得累積分數7500分"
"2840","10000","5126711","1","2","7","取得累積分數10000分"
"94002","12500","0","80000","2","12","取得累積分數12500分"
"94002","15000","0","80000","2","12","取得累積分數15000分"
"94002","17500","0","80000","2","12","取得累積分數17500分"
"91002","20000","5126712","25","2","8","取得累積分數20000分"
"94002","22500","0","100000","2","12","取得累積分數22500分"
"94002","25000","0","100000","2","12","取得累積分數25000分"
"91002","27500","0","100","2","8","取得累積分數27500分"
"11001263","30000","5126713","1","2","15","取得累積分數30000分"
