9a2385e471536410d855817bda450867cbe420f2bbe0f86e0446311c813679fd,762295bd407e68bca3dd03c824409338ef63845dae3dce40199bd885e611903e,ea996646a47fc073e22cfc04de0c3838b4a2ea4ba10451e4899fea5d80d8f6ce,0893398c848b3cc3bbf11982c7b7e01025caa310926cbd8a184d42cd13162a9c,6d2a8b5cef268a13854584065483c3783af65dc06eebe5c18b2e776cc481e03b,3ecb01c6178586ca4d693a5c733da676af6107ca64be2c02514b0d811900f45a,ec1c870f4dccac5c6363f8b54a11709f3bb1201daddc3f24384f2d5d1cdd3211,c4715b23fa838e475396e5873b3524617c0a3af9274cab49ed8a835ef43b5247
"71","1","170","182","-401","1","-90","1"
"81","2","170","182","-401","1","-90","2"
"121","3","255","182","-255","1","90","3"
"131","4","255","182","-255","1","90","4"
"141","5","255","182","-255","1","90","5"
"191","6","229","176","-107","1","-80","6"
"201","7","229","176","-107","1","-80","7"
"271","8","218","151","136","1","-85","8"
"281","9","218","151","136","1","-85","9"
"291","10","218","151","136","1","-85","10"
"331","11","156","219","280","1","80","11"
"341","12","156","219","280","1","80","12"
"351","13","156","219","280","1","80","13"
"401","14","213","183","417","1","-97","14"
"411","15","213","183","417","1","-97","15"
"451","2","242","229","-259","2","-73","1"
"481","4","226","179","-222","2","124","2"
"501","6","219","192","-101","2","-67","3"
"521","8","168","190","-26","2","-27","4"
"551","11","192","260","117","2","-50","5"
"601","14","159","138","241","2","120","6"
"611","14","159","138","241","2","120","7"
"621","14","224","229","243","2","-71","8"
"781","1","71","43","-353","3","32","1"
"801","2","235","268","-228","3","-30","2"
"831","3","80","45","-243","3","144","3"
"851","4","221","225","20","3","-76","4"
"861","5","211","222","230","3","-74","5"
"891","6","115","136","-100","3","44","6"
"901","7","115","136","-100","3","44","7"
"991","8","306","250","116","3","76","8"
"1001","9","306","250","116","3","76","9"
"1011","10","306","250","116","3","76","10"
"1041","11","96","188","322","3","40","11"
"1051","12","96","188","322","3","40","12"
"1091","1","294","272","-211","4","-6","1"
"1101","2","92","115","-288","4","129","2"
"1111","3","92","115","-288","4","129","3"
"1121","4","135","174","-58","4","128","4"
"1151","5","222","184","143","4","133","5"
"1161","6","134","98","-277","4","-129","6"
"1171","7","134","98","-277","4","-129","7"
"1211","8","67","70","-60","4","-12","8"
"1221","9","67","70","-60","4","-12","9"
"1231","10","132","185","116","4","-55","10"
"1261","11","93","89","-17","4","-103","11"
"1271","12","93","89","-17","4","-103","12"
"1311","13","150","239","232","4","23","13"
"1391","1","114","72","-289","5","-161","1"
"1401","2","114","72","-289","5","-161","2"
"1411","3","228","248","-261","5","80","3"
"1431","4","223","211","-103","5","-91","4"
"1471","5","186","181","-87","5","95","5"
"1551","6","132","176","69","5","-122","6"
"1561","7","132","176","69","5","-122","7"
"1611","8","143","184","54","5","91","8"
"1641","9","211","247","204","5","45","9"
"1651","10","137","167","308","5","141","10"
"1661","11","175","174","282","5","-46","11"
"1741","1","222","240","-252","6","-11","1"
"1761","2","311","245","-19","6","-96","2"
"1771","3","261","221","-46","6","95","3"
"1781","4","166","237","152","6","83","4"
"1782","5","183","229","227","6","-100","5"
"1811","1","223","183","-249","7","-46","1"
"1881","2","337","247","-159","7","54","2"
"1921","3","202","191","30","7","-70","3"
"1941","4","176","215","173","7","0","4"
"1981","5","204","236","292","7","77","5"
"2001","1","209","254","-472","8","89","1"
"2031","2","250","282","-375","8","-77","2"
"2051","3","241","223","-280","8","110","3"
"2101","4","243","270","-148","8","-85","4"
"2131","5","274","264","3","8","74","5"
"2171","6","321","302","155","8","-36","6"
"2201","7","199","277","283","8","82","7"
"2271","8","349","344","374","8","0","8"
