e68e7493b3a99e2b4df972c42b8659b2b4ef9c56e422256cbd601b91b6188727,c4d6f78ad53c8af0c4af15c1540771ba4875db6fdf9965addc8de47e0bca1273,7c7977ca160bb6efdbbc9bb565b005edf2c0c78d36352a387c8df5c75cf025d0,ff79cc022cfaceea4706e371a9835ff074fb0495fae6fc9c796e0a50117a0e90,1f4a8fdca693208b16ae4506b9992d4cccab92baf45890323efc2aaa16425977,2d6ce55899ee9d15c88fb2fd424a411cce92439872cf3b154a81a3bfdd566a98,b11ff945fe3c63a1e90cb87c2e713d603f1c96d0cff824fa3e1c20edacb41ad3,d23d5910af4342fb47eab1af35ab7ad8282f0a483e6ef4ee99ac8dea6a4040eb,228eb2a9b0174268e40230aa86fda94bc5d58cdc372ebc0d7aadf55b16a09c01,6ffaebda3a27e804784ba0292d61f81edaf0ec372510ece76511484297461e09,9afa35953872ffa31e58013b0f9f9cd05fc930f69f26445992c1b8fcd66e3209,d357011eebdcacab237e61cff354b14999c39d44b43a8248c398cd46f3aa5f75,e7415b4772cbffdd20319bbcd83c2f2810aa3c758192090dd344a9a2fd1ba52b,90bb62589e49e06e892bc41bd680514f8959b8c7e6fd76d4b36cf35a04758856,2c9284bae1b9c6c417c8605767730ed3866c587d3d375fca2121cafb1d08cf2f,7680b1a0d70653b97d241b3263e631433169cd6695f1397c3eb89ecd0074dece,baed00919c30d7c7d40dc4d1908f3298863057d5dfa82d7909d062cd43887ed4,5ad24c7dab9a80e5999bdf27fa640cac4fe48372e3077154f6aef3fd171ed877,d3c24eb49810e961fb22d8d07903b5242e618465cd4d9b6283c004c441d8cfb6,6536e83c5fa7f689720986faf1ed2e5b47d021dd85b58077b42bdd0b5d438e8e
"0","0","0","0","0","0","512000021","0","0","0","100000001","0","100","0","0","100000001","0","0","0","0"
"0","0","100000002","0","0","0","512000022","0","0","0","100000002","0","100","100000001","0","100000001","0","0","0","0"
"0","11001011","0","0","0","0","110010011","0","255","0","101000001","0","100","101010101","0","101010101","11999091","0","0","0"
"0","11001012","0","0","0","0","110010012","0","255","0","101000002","0","100","101010102","0","101010101","11999092","0","0","0"
"0","11001013","101010102","0","0","0","110010013","0","255","0","101000003","0","100","101010103","11999101","101010104","11999093","0","0","0"
"0","11001021","0","0","0","0","110010021","0","261","0","101000004","0","100","101010203","0","101010203","11999091","0","0","0"
"0","11001022","101010202","0","0","0","110010022","0","261","0","101000005","0","100","101010201","0","101010201","11999092","0","0","0"
"0","11001023","101010203","101010202","0","0","110010023","0","261","0","101000006","0","100","101010203","11999102","101010202","11999093","0","0","0"
"0","11001031","0","0","0","0","110010031","0","266","0","101000007","0","100","101010302","0","101010302","11999091","0","0","0"
"0","11001032","101010302","0","0","0","110010032","0","266","0","101000008","0","100","101010301","0","101010301","11999092","0","0","0"
"0","11001033","101010303","0","0","0","110010033","0","266","0","101000009","0","100","101010303","11999103","101010304","11999093","0","0","0"
"0","11001041","0","0","0","0","110010041","0","270","0","101000010","0","100","101010402","0","101010404","11999091","0","0","0"
"0","11001042","0","0","0","0","110010042","0","270","0","101000011","0","100","101010403","0","101010402","11999092","0","0","0"
"0","11001043","101010402","0","0","0","110010043","0","270","0","101000012","0","100","101010403","11999101","101010404","11999093","0","0","0"
"0","11001051","0","0","0","0","110010051","0","270","0","101000013","0","100","101010504","0","101010504","11999091","0","0","0"
"0","11001052","101010502","0","0","0","110010052","0","270","0","101000014","0","100","101010503","0","101010501","11999092","0","0","0"
"0","11001053","101010504","101010505","0","0","110010053","0","270","0","101000015","0","100","101010504","11999102","101010503","11999093","0","0","0"
"0","11001061","0","0","0","0","110010061","0","276","0","101000016","0","100","101010602","0","101010604","11999091","0","0","0"
