c40c692c5aacdf73b4272af8acd12aa7a06bb6a1d09e743f67fad991438617cd,5ec262cc0e43b406ded444c456e236c8401fef8e90c92696178b1b623fda5d85,c54ea4fb690b22e98d3b03ae1a0cdeb58e7bd5d601077274ad9892f1bfe6049f,7862902d57a327261f5fb399a4172ea19a4ef16bcc83ef37bc9faac042e388eb,1c3f329c1591afac0e29bc4e579dc5ae87f59f70439644eee7090b2d881554bc,1af256e600379b46a94f0256b0fddb79f209a5095d9d8640b1f8a31e45be7abe,6dcd4917fd096f4e1fbeb0839fafcb9ab5d3707715c9576772c091d1f75edd21,a35c9478d176cd7f0a7e9ee183adc919704bda84e18632401dc4921e00900692,4d380fe5080c1f369ee3dd9202665fc266dc14c4e64c3ffc37136b1efcf80893,f1c6ce6dc617ae03e4aa4a7bcf03e63def153ba1b3490e19ec1f87d7205ce1b1,ce44615f70e71135730386b86ef09b195037e3b9cbca9ffb0ec4a27859988226
"-175","1","100","1","64","1010001","1","1.65","1","113511","pkb_idle_normal"
"","","1","1","","1010002","3","0.2","113511","pkb_talk_wish",""
"","","0","1","0","1010003","21","","vo_minigame_1006","vo_minigame_1006_top_101",""
"0","0","8","1","0","1010004","11","0","113511","今天也和老師\n一起努力加油吧～","0"
"","","","1","","1010005","91","","0","",""
"","","1","1","","1010006","3","0.2","113511","pkb_idle_normal",""
"-175","1","100","2","64","1020001","1","1.65","1","113511","pkb_idle_normal"
"","","1","2","","1020002","3","0.2","113511","pkb_talk_wish",""
"","","0","2","0","1020003","21","","vo_minigame_1006","vo_minigame_1006_top_102",""
"0","0","6","2","0","1020004","11","0","113511","老師很相信\n大家的實力喔～！\n要加油喲～♪","0.5"
"","","","2","","1020005","93","","6","",""
"1","","0","2","pkb_idle_normal","1020006","3","0.2","113511","pkb_talk_fun",""
"","","","2","","1020007","91","","1020004","",""
"","","1","2","","1020008","3","0.2","113511","pkb_idle_normal",""
"-175","1","100","3","64","1030001","1","1.65","1","113511","pkb_idle_normal"
"1","0.2","0","3","pkb_idle_normal","1030002","3","0.2","113511","pkb_smile",""
"","","0","3","0","1030003","21","","vo_minigame_1006","vo_minigame_1006_top_103",""
"0","0","6","3","0","1030004","11","0","113511","要小心別受傷喔，\n不可以勉強自己～♪","0"
"","","","3","","1030005","93","","2","",""
"","","1","3","","1030006","3","0.2","113511","pkb_talk_wish",""
"","","","3","","1030007","91","","1030004","",""
"","","1","3","","1030008","3","0.2","113511","pkb_idle_normal",""
"-155","1","100","4","64","1040001","5","57","3","3","pkb_idle_normal_l"
"1","0.2","0","4","pkb_idle_arm_crossed_l","1040002","3","0.2","3","pkb_talk_arm_crossed_l",""
"","","0","4","0","1040003","21","","vo_minigame_1006","vo_minigame_1006_top_601",""
"0","","8","4","0","1040004","11","0","3","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","0"
"","","","4","","1040005","91","","0","",""
"","","1","4","","1040006","3","0.2","3","pkb_idle_normal_l",""
"-155","1","100","5","64","1050001","5","57","3","3","pkb_idle_normal_l"
"1","0.2","0","5","pkb_idle_arm_crossed_l","1050002","3","0.2","3","pkb_talk_arm_crossed_l",""
