891fc8d91c501015e84d8a31354a7ff05b7a952640b85ef459a2681c5b37929c,1fbf8e070438909714b947f4bf1ca1c36f8d9592962fc52f84771d59e9492717,ff8f0549a39ef0d76ffb416e55232a5bc019a7fa13ede4305c9893d11e8b123b,6c1a397db98fe8514af4fa204acf8542d2b554e350a1a054772f770e3cb556e0
"11100","9040001","0","1"
"107101","9050001","5","2"
"108101","9050001","5","3"
"108301","9050001","5","4"
"11100","9040002","0","5"
"11100","9040003","0","6"
"91001","9010001","0","7"
"91001","9020001","0","8"
"91002","9020001","0","9"
"11101","9040004","0","10"
"11102","9040005","0","11"
