839ad4b3ae0ca26074909a0b33af7103b0649628f80bd79153e597030c18b9bf,eb57cafa8fbf9530ef58cf836fd14999c2ce417311bd2ad31bbbb97f43864148,120cadcb5b81199041167267d5be642b0e02f1e7d74aedf70b30b3b4cabfc93b,5b0c8576c897587e202ca8a842e2b24fc08d320473a478dcddbd2b0ac3e6fa62,fd91dbc9e24418aa776aef5067d68c332ee5f8d855c3404b0a995e02865460f1,5e835687550590c043c575a9e58ba3ae083b5a200972a251167d787348ed49f8,8429d205cd7572cae9693b5e107977503b770bf32203fa211e31c53dbac61f29,d8bc28fe1651c4de4a92d5b3f2e4d4fc01568addeb7ed21e42140ecf84218bee,eea5ddc5c4f59c2296ddef7ceb42ab8610f496463e5935235c29330c492f2464
"5000","0","20000","100111","30000","0","50","0","0"
"5000","0","20000","100112","30000","0","50","0","0"
"5000","0","20000","100113","30000","0","50","0","0"
"12500","0","30000","100121","45000","0","125","0","0"
"12500","0","30000","100122","45000","0","125","0","0"
"12500","0","30000","100123","45000","0","125","0","0"
"20000","0","40000","100131","60000","0","200","0","0"
"20000","0","40000","100132","60000","0","200","0","0"
"20000","0","40000","100133","60000","0","200","0","0"
"5000","0","20000","100211","30000","0","50","0","0"
"5000","0","20000","100212","30000","0","50","0","0"
"5000","0","20000","100213","30000","0","50","0","0"
"12500","0","30000","100221","45000","0","125","0","0"
"12500","0","30000","100222","45000","0","125","0","0"
"12500","0","30000","100223","45000","0","125","0","0"
"20000","0","40000","100231","60000","0","200","0","0"
"20000","0","40000","100232","60000","0","200","0","0"
"20000","0","40000","100233","60000","0","200","0","0"
"5000","0","20000","100311","30000","0","50","0","0"
"5000","0","20000","100312","30000","0","50","0","0"
"5000","0","20000","100313","30000","0","50","0","0"
"12500","0","30000","100321","45000","0","125","0","0"
"12500","0","30000","100322","45000","0","125","0","0"
"12500","0","30000","100323","45000","0","125","0","0"
"20000","0","40000","100331","60000","0","200","0","0"
"20000","0","40000","100332","60000","0","200","0","0"
"20000","0","40000","100333","60000","0","200","0","0"
"5000","0","20000","100411","30000","0","50","0","0"
"5000","0","20000","100412","30000","0","50","0","0"
"5000","0","20000","100413","30000","0","50","0","0"
"12500","0","30000","100421","45000","0","125","0","0"
"12500","0","30000","100422","45000","0","125","0","0"
"12500","0","30000","100423","45000","0","125","0","0"
"20000","0","40000","100431","60000","0","200","0","0"
"20000","0","40000","100432","60000","0","200","0","0"
"20000","0","40000","100433","60000","0","200","0","0"
"5000","0","20000","100511","30000","0","50","0","0"
"5000","0","20000","100512","30000","0","50","0","0"
"5000","0","20000","100513","30000","0","50","0","0"
"12500","0","30000","100521","45000","0","125","0","0"
"12500","0","30000","100522","45000","0","125","0","0"
"12500","0","30000","100523","45000","0","125","0","0"
"20000","0","40000","100531","60000","0","200","0","0"
"20000","0","40000","100532","60000","0","200","0","0"
"20000","0","40000","100533","60000","0","200","0","0"
"5000","0","20000","100611","30000","0","50","0","0"
"5000","0","20000","100612","30000","0","50","0","0"
"5000","0","20000","100613","30000","0","50","0","0"
"12500","0","30000","100621","45000","0","125","0","0"
"12500","0","30000","100622","45000","0","125","0","0"
"12500","0","30000","100623","45000","0","125","0","0"
"20000","0","40000","100631","60000","0","200","0","0"
"20000","0","40000","100632","60000","0","200","0","0"
"20000","0","40000","100633","60000","0","200","0","0"
"5000","0","20000","100711","30000","0","50","0","0"
"5000","0","20000","100712","30000","0","50","0","0"
"5000","0","20000","100713","30000","0","50","0","0"
"12500","0","30000","100721","45000","0","125","0","0"
"12500","0","30000","100722","45000","0","125","0","0"
"12500","0","30000","100723","45000","0","125","0","0"
"20000","0","40000","100731","60000","0","200","0","0"
"20000","0","40000","100732","60000","0","200","0","0"
"20000","0","40000","100733","60000","0","200","0","0"
"5000","0","20000","100811","30000","0","50","0","0"
"5000","0","20000","100812","30000","0","50","0","0"
"5000","0","20000","100813","30000","0","50","0","0"
"12500","0","30000","100821","45000","0","125","0","0"
"12500","0","30000","100822","45000","0","125","0","0"
"12500","0","30000","100823","45000","0","125","0","0"
"20000","0","40000","100831","60000","0","200","0","0"
"20000","0","40000","100832","60000","0","200","0","0"
"20000","0","40000","100833","60000","0","200","0","0"
"5000","0","20000","100911","30000","0","50","0","0"
"5000","0","20000","100912","30000","0","50","0","0"
"5000","0","20000","100913","30000","0","50","0","0"
"12500","0","30000","100921","45000","0","125","0","0"
"12500","0","30000","100922","45000","0","125","0","0"
"12500","0","30000","100923","45000","0","125","0","0"
"20000","0","40000","100931","60000","0","200","0","0"
"20000","0","40000","100932","60000","0","200","0","0"
"20000","0","40000","100933","60000","0","200","0","0"
