fb7aa69cfcfe2797249c9f5f4838316a1a30b6212220fd6eced55f884ac91271,377076e3c292d4bfbaa4f0dd7787fffc008b68a436061ecd348e60b85de261ff,b7afccea4aee5e89e4212a195dcbd98b19039d5f3c9170b9dca08fbdaf99daf0,fec27c98e932d6c682652e41820bccffbf6fe34b442638b95ff3e0589f3f7211,d77fbab7b20dc651f33822b9e6842952099183bba22b8973b72ae1ad6f13d32d,42b99cfdee3c0a44c6fe09ada195ba42b054182a32d287b7960e46390addb62a,374b4e4160878577243df6d1f55d7fb543599b12756004f92ef9d5f4ec21ba5a,f6641971ffb845934128ad87c69a4a7f42480b4414ec48110732bcfd9deaf31f,0fd4ef742a99181330bcccd1f81f1a09705f71a6f56b9d805ca461b3ccbf6a4d,6bd78e012cb6747367ad1c7aa87d2198cb4825ed6bea5700c409b0b388928b22,03e093dfa872d3b878acbb122ef037c282b8e89b8613367e32d75535bbce91f2
"1","nyx_idle_normal","110931","110","1","11010001","101","-421","-209.3","0","1.35"
"1","nyx_idle_normal","104831","110","1","11010002","101","121.8","-182.5","0","1.35"
"1","nyx_idle_normal","104631","110","1","11010003","101","227.7","-182.5","0","1.35"
"1","nyx_talk_normal","103231","110","1","11010004","101","340.3","-182.5","1","1.35"
"1","nyx_idle_normal","103431","110","1","11010005","101","449.6","-182.5","1","1.35"
"2","NoItem","2","120","5","11010006","101","-421","-209.3","0","1.35"
"1","","1","0","31","11010007","101","0","1","","1"
"15","","3","-300","31","11010008","101","0","1","","0"
"15","","4","-300","31","11010009","101","0","1.5","","0"
"bgm_M347","","bgm_M347","","25","11010010","101","","","",""
"2","","","","93","11010011","101","","","",""
"2","","nyx_101_chieru_01","0","3","11010012","101","nyx_101_chieru_loop","1","","0.2"
"110931","","nyx_101_chieru_01","0","3","11010013","101","nyx_101_chieru_loop","1","","0.2"
"110931","","切嚕～♪\n一開始總而言之\n要有衝擊性！","10","11","11010014","101","","","",""
"0.4","","","","93","11010015","101","","","",""
"3","","0","","32","11010016","101","","","",""
"3","","1","","32","11010017","101","","","",""
"11010014","","","","91","11010018","101","","","",""
"110931","","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","10","11","11010019","101","","","",""
"1","","","","93","11010020","101","","","",""
"103231","","nyx_idle_joy1","1","3","11010021","101","","","","0.2"
"104631","","nyx_cmn_05","1","3","11010022","101","","","","0.2"
"11010019","","","","91","11010023","101","","","",""
"2","","nyx_101_chieru_01","0","3","11010024","101","nyx_101_chieru_loop","1","","0.2"
"110931","","nyx_101_chieru_01","0","3","11010025","101","nyx_101_chieru_loop","1","","0.2"
"110931","","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","7","11","11010026","101","","","",""
"0.4","","","","93","11010027","101","","","",""
"3","","0","","32","11010028","101","","","",""
"3","","1","","32","11010029","101","","","",""
"0.6","","","","93","11010030","101","","","",""
"103431","","nyx_talk_bitter","1","3","11010031","101","","","","0.2"
"104631","","nyx_cmn_04","1","3","11010032","101","","","","0.2"
"2","","","","93","11010033","101","","","",""
"2","","nyx_101_chieru_02","0","3","11010034","101","nyx_101_chieru_loop","1","","0.2"
"110931","","nyx_101_chieru_02","0","3","11010035","101","nyx_101_chieru_loop","1","","0.2"
"0.4","","","","93","11010036","101","","","",""
"3","","0","","32","11010037","101","","","",""
"4","","1","","32","11010038","101","","","",""
"11010026","","","","91","11010039","101","","","",""
"103431","","nyx_idle_bitter","1","3","11010040","101","","","","0.2"
"104831","","nyx_talk_sad","1","3","11010041","101","","","","0.2"
"104831","","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","10","11","11010042","101","","","",""
"0","","","","91","11010043","101","","","",""
"110931","","1","","4","11010044","101","","","",""
