586e8316c33cd1ff29c52f324d14108b3e508bc8be12e8b457ea35feb16ab1b6,0033d7c571b0cbca6065a6a3db1d2ed6b98750c8e51d5fa95c66463625022fe2,4b0aa28f6b7ef6bebfff6e8fc7b57e9ea9b3bcc2f65de6ccf01f0fb9d5d0c6e6,4a1ea1073ab2b0fab613bfda2102649d73e8ef2e98bc1379d8f793fad5af8c60,77fe83f5fc0a15db3e9d04b0718874714644213c85fbdd93253085310bd98b54
"25","101","13000001","1","1"
"26","102","40001","1","1"
"28","103","99012","1000","1"
"25","201","13000002","1","2"
"26","202","40002","1","2"
"28","203","99012","1000","2"
"25","301","13000004","1","3"
"26","302","40006","1","3"
"28","303","99012","1000","3"
"25","401","13000011","1","4"
"26","402","40008","1","4"
"28","403","99012","1000","4"
"25","501","13000007","1","5"
"26","502","40007","1","5"
"28","503","99012","1000","5"
"25","701","13000009","1","7"
"26","702","40003","1","7"
"28","703","99012","1000","7"
"25","901","13000013","1","9"
"26","902","40010","1","9"
"28","903","99012","1000","9"
"25","1101","13000008","1","11"
"26","1102","40004","1","11"
"28","1103","99012","1000","11"
"25","1301","13000012","1","13"
"26","1302","40009","1","13"
"28","1303","99012","1000","13"
"25","1501","13000003","1","15"
"26","1502","40005","1","15"
"28","1503","99012","1000","15"
