682795edc029457e9e7fb6d5e77cb3c7f7035eb978ebe4a6b2eebaf1ccd3a3d3,dea336e9ef7a4c48e04687ec332318996e8da9f160309e14f7fd9873fe1d90a9,2bc486028c7d53cb96cac264791f452d92539d5bec2a303dc8636847c77e70b6,8fda1db22bcef6e280350c3077ca496a19ab55e1ac221b1441e7a38cd7e76d28,9d81d41736c21ab9a01ae00481bf4e539b16a86fe28b87da664bfbe70be70056,fd25fc4885dde7742a9ab9a0266554c258d54921b2a3f4c22d0753d1c0f755ce,1545a1bc4fa889e6b0926a7eb1bef9bb939dfcf06bd8fcc5947768c8510d5ca7,268e22ca3de4fec2a0ac2d3e4bfea458a9fbd86d7a84015792b607a3bd088e04,7189b221f8c685413fd5a1946fb5f49e1ea14f23831d53429a4e27cfcc4474a6,367ed9cde6401bb608b0f18f2fbadfea4c09aaba93b1739b270da46a4e0ffa66,c4ef4145ded9f6ba02c36cc33b8dc5ed8c50877551d5c504739b590e64df2997
"travel_topdrama_r_2000_idle_smile","101","20011","0.8","-68","1200110001","1","1","105811","42","1"
"travel_topdrama_r_2000_idle_sad_shy","102","20011","0.8","-68","1200110002","1","0","106011","-42","1"
"mana","110","20011","1","-75","1200110003","5","0","0","0","0"
"","","20011","","","1200110004","91","","","","0"
"","","20011","","","1200110005","93","","0","","10"
"","","20011","","","1200110006","101","","","","1200110005"
"","0","20011","0","","1200110007","3","","none","","0"
"","","20011","","","1200110008","91","","","","0"
"","","20012","","","1200120001","13","","103","","105811"
"","","20012","","","1200120002","13","","104","","106011"
"","0","20012","0.2","1","1200120003","3","","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","105811"
"","0","20012","","","1200120004","21","","vo_travel_talk_20001_00","0","vo_travel_talk"
"0","10","20012","0","1","1200120005","11","0","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","1","105811"
"","","20012","","","1200120006","91","","","","0"
"","1","20012","0.2","","1200120007","3","","travel_topdrama_r_2000_idle_smile","","105811"
"","1","20012","0.2","1","1200120008","3","","travel_topdrama_r_2000_talk_anger_shy","","106011"
"","0","20012","","","1200120009","21","","vo_travel_talk_20001_01","0","vo_travel_talk"
"0","10","20012","0","1","1200120010","11","0","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","1","106011"
"","","20012","","","1200120011","91","","","","0"
"","1","20012","0.2","","1200120012","3","","travel_topdrama_r_2000_idle_sad_shy","","106011"
"","0","20012","0.2","1","1200120013","3","","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","105811"
"","0","20012","","","1200120014","21","","vo_travel_talk_20001_02","0","vo_travel_talk"
"0","10","20012","0","1","1200120015","11","0","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","1","105811"
"","","20012","","","1200120016","91","","","","0"
"","1","20012","0.2","","1200120017","3","","travel_topdrama_r_2000_idle_smile","","105811"
"","","20012","","","1200120018","112","","","",""
"","","20012","","","1200120019","91","","","","0"
"travel_topdrama_r_2000_idle_normal","101","20021","0.8","-68","1200210001","1","1","100211","42","1"
"travel_topdrama_r_2002_sitting_loop","102","20021","0.8","-68","1200210002","1","0","100111","-42","1"
"travel_topdrama_r_2002_sitting_loop","100","20021","0.8","-68","1200210003","5","0","3","-42","3"
"mana","110","20021","1","-75","1200210004","5","0","0","0","0"
"","","20021","","","1200210005","91","","","","0"
"","","20021","","","1200210006","93","","0","","10"
"","","20021","","","1200210007","101","","","","1200210006"
"","0","20021","0","","1200210008","3","","none","","0"
"","","20021","","","1200210009","91","","","","0"
"","","20022","","","1200220001","13","","103","","100211"
"","","20022","","","1200220002","13","","104","","100111"
"","1","20022","0.2","1","1200220003","3","","travel_topdrama_r_2000_talk_normal","","100211"
"","0","20022","","","1200220004","21","","vo_travel_talk_20002_00","0","vo_travel_talk"
"0","10","20022","0","1","1200220005","11","0","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","1","100211"
"","","20022","","","1200220006","91","","","","0"
"","1","20022","0.2","","1200220007","3","","travel_topdrama_r_2000_idle_normal","","100211"
"","0","20022","","","1200220008","21","","vo_travel_talk_20002_01","0","vo_travel_talk"
"0","10","20022","0","1","1200220009","11","0","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","1","100111"
"","","20022","","","1200220010","91","","","","0"
"","0","20022","0.2","1","1200220011","3","","travel_topdrama_r_2000_talk_wish_in_joy","travel_topdrama_r_2000_talk_wish_loop_joy","100211"
"","0","20022","","","1200220012","21","","vo_travel_talk_20002_02","0","vo_travel_talk"
"0","10","20022","0","1","1200220013","11","0","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","1","100211"
"","","20022","","","1200220014","91","","","","0"
"","1","20022","0.2","","1200220015","3","","travel_topdrama_r_2000_idle_wish_joy","","100211"
"","","20022","","","1200220016","112","","","",""
"","","20022","","","1200220017","91","","","","0"
"travel_topdrama_r_2000_idle_doya","101","20031","0.8","-68","1200310001","1","0","100411","-42","1"
"travel_topdrama_r_2000_idle_normal","102","20031","0.8","-68","1200310002","1","1","102011","42","1"
"mana","110","20031","1","-75","1200310003","5","0","0","0","0"
"","","20031","","","1200310004","91","","","","0"
"","","20031","","","1200310005","93","","0","","10"
"","","20031","","","1200310006","101","","","","1200310005"
"","0","20031","0","","1200310007","3","","none","","0"
"","","20031","","","1200310008","91","","","","0"
"","","20032","","","1200320001","13","","103","","100411"
"","","20032","","","1200320002","13","","104","","102011"
"","0","20032","0.2","1","1200320003","3","","travel_topdrama_r_2000_talk_doya_in","travel_topdrama_r_2000_talk_doya_loop","100411"
"","0","20032","","","1200320004","21","","vo_travel_talk_20003_00","0","vo_travel_talk"
"0","10","20032","0","1","1200320005","11","0","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","1","100411"
"","","20032","","","1200320006","91","","","","0"
"","1","20032","0.2","","1200320007","3","","travel_topdrama_r_2000_idle_doya","","100411"
