7a4840e9de58bd5e00ca90542cafbaccf09d2606be2186df25e056d87872882f,14a1a1506387fa3b18b084d6eae7387168c7475f56aa1625979a0e843cb42c3f,b20eda2cf58e724d25aa686bfc5b53bf0116ae3f92a3e5f7151370ce14e31487,1a02ef7cef8c684bd95d75ea5b01d671038e401e748a7d9dc79fde8460131254,185f267fde21abd982479b06e443c62135daebcbb713bb393b4e635df97362eb,fae6ea1021ef3a1dc20fcce4fd03d8cd19aea8966c952a790d4e163f059d1800,f1678447ffa2131399fac31d6f0a1938e0c9775c9b5adceccfa2e1b14f3f33ab,c09c7843364d870254468aeee9e8df76c2d1bcfb17d511989b6f8002225afe5e,f8d29feb164de59e431d6391be9b7b827c73c8d98c6642a9d1e429477a897d91
"32000101","1","1010","1","100000","7008","所有玩家合力打倒100,000次蠻賊三姊妹","1002","32000101"
"32000102","1","1010","2","150000","7008","所有玩家合力打倒150,000次蠻賊三姊妹","1002","32000102"
"32000103","1","1010","3","200000","7008","所有玩家合力打倒200,000次蠻賊三姊妹","1002","32000103"
"32000104","1","1010","4","100000","7008","所有玩家合力打倒100,000次芙蕾雅","1003","32000104"
"32000105","1","1010","5","150000","7008","所有玩家合力打倒150,000次芙蕾雅","1003","32000105"
"32000106","1","1010","6","200000","7008","所有玩家合力打倒200,000次芙蕾雅","1003","32000106"
"32000107","0","1010","7","200000","7008","所有玩家合力打倒200,000次阿剌克涅","1004","32000107"
"32000108","0","1010","8","300000","7008","所有玩家合力打倒300,000次阿剌克涅","1004","32000108"
"32000109","0","1010","9","400000","7008","所有玩家合力打倒400,000次阿剌克涅","1004","32000109"
"32000110","1","1009","10","1","7007","挑戰1次成群的寶石蜘蛛","1001","32000110"
"32000111","1","1009","11","1","7007","打倒1次蠻賊三姊妹","1002","32000111"
"32000112","1","1009","12","1","7007","打倒1次芙蕾雅","1003","32000112"
"32000113","0","1009","13","1","7007","打倒1次阿剌克涅","1004","32000113"
