5aab1272e6011c9b034c8cc6ded2fcb8c6d6cc922eb51564609ec9cf33644db7,2b1fa3c2339f81f323eb5b3e00930feed1360c9661a7b6abd6fc8b5bf5a8c4b0,c9bf6a6c2b1aba2fc44031ce70f2d51cd7c7bd22dde023aa07e7b0bc8f046af7
"2","10000101","15"
"1","10000201","15"
"1","10000401","25"
"3","10000601","50"
"2","10000801","15"
"1","10000901","15"
"3","10001001","25"
"2","10001101","10"
"3","10001501","25"
"1","10001502","15"
"1","20101001","15"
"3","20103001","50"
"2","20105001","25"
"1","20106001","25"
"3","20107001","25"
"2","20108001","25"
"3","20112001","25"
"1","20112002","50"
"1","20115001","30"
"3","20117001","75"
"2","20119001","50"
"1","20120001","50"
"3","20121001","30"
"2","20122001","50"
"3","20126001","30"
"1","20126002","50"
"2","20129001","50"
"1","20131001","50"
"3","20133001","100"
"2","20135001","50"
"1","20136001","50"
"3","20137001","50"
"2","20138001","50"
"3","20142001","50"
"1","20142002","50"
"1","20145001","100"
"3","20146001","100"
"2","20147001","75"
"1","20150001","200"
