64d97e02d57cd2f69889ad0fab14638d85234cc479038b9067f9e2a68d039815,fab572554b05c4196dcebcb6f97fe7aed3c7da4e9ef85fd78b6fdacbfde3d3f0,77077cbf3bc48fecb2a4a34200ee630025acf30df390004f324e32edca2e3b42,a8fdf5b7caefbb30e6da6b61f1faa51c3a1f3cd2100369c7cb1d4848e7f1c94c,75aac721adb2b32394ee68554bd7bcf9eff22294ed3911928a978fa986fc85e0,a0ef59b80cea7680a3bd493bc8d35571b551ae50982fac9bbebdc27a6472784d,0dcc416200c7a494124b5ec3c473e7693abed2862b552e1967adcc269d5e24d6,84a7860d01ba3851dd35bd598f2b9909a3c13d07a47a96c8b5181d7f9f382774,e4ce0872d6ff09a3415656fac0f72e180af8a4082d2eda50af6af7f1edc1d5c4,dccacd1eb2d55a35930ef101c565290a4ef7f4e2616f021314678b420ae8a05d,5cba4d98ca5d17350eed38343ddb23f933543bc819cc39bdd0fef2635c607984
"102611","5","1","1000","1010001","1","ttk_idle_def","-120","1","1","100"
"2","31","2","0","1010002","","","1","1","1","0"
"1","31","1","-80","1010003","","","1","1","1","-120"
"","93","1","","1010004","","","","1","",""
"vo_minigame_1005_top_000","21","vo_minigame_1005","0","1010005","","","","1","","0"
"ttk_doya","3","102611","0","1010006","0.3","","1","1","0.3","ttk_idle_doya"
"我會把大家\n交代的工作做好的","11","102611","8","1010007","0","","","1","0",""
"","91","0","","1010008","","","","1","",""
"102611","5","1","1000","1020001","1","ttk_idle_def","-120","2","1","100"
"2","31","2","0","1020002","","","1","2","1","0"
"1","31","1","-80","1020003","","","1","2","1","-120"
"","93","1","","1020004","","","","2","",""
"vo_minigame_1005_top_001","21","vo_minigame_1005","0","1020005","","","","2","","0"
"ttk_idle_smile","3","102611","0","1020006","0.3","","1","2","0.3","ttk_idle_def"
"我會讓你後悔\n出現在\n我面前的","11","102611","8","1020007","0","","","2","0",""
"","91","0","","1020008","","","","2","",""
"102611","5","1","1000","1030001","1","ttk_idle_def","-120","3","1","100"
"2","31","2","0","1030002","","","1","3","1","0"
"1","31","1","-80","1030003","","","1","3","1","-120"
"","93","1","","1030004","","","","3","",""
"vo_minigame_1005_top_002","21","vo_minigame_1005","0","1030005","","","","3","","0"
"ttk_joy","3","102611","0","1030006","0.3","","1","3","0.1","ttk_idle_joy"
"只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","11","102611","8","1030007","0","","","3","0",""
"","93","2.2","","1030008","","","","3","",""
"ttk_talk_sad","3","102611","1","1030009","0.3","","","3","0.3",""
"","93","3","","1030010","","","","3","",""
"ttk_idle_def","3","102611","1","1030011","0.3","","","3","0.3",""
"","91","0","","1030012","","","","3","",""
"102611","5","1","1000","1040001","1","ttk_idle_def","-120","4","1","100"
"2","31","2","0","1040002","","","1","4","1","0"
"1","31","1","-80","1040003","","","1","4","1","-120"
"","93","1","","1040004","","","","4","",""
"vo_minigame_1005_top_003","21","vo_minigame_1005","0","1040005","","","","4","","0"
"ttk_shock","3","102611","0","1040006","0.3","","1","4","0.3","ttk_idle_shock"
"我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","11","102611","8","1040007","0","","","4","0",""
"","93","5","","1040008","","","","4","",""
"ttk_idle_def","3","102611","1","1040009","0.3","","","4","0.3",""
"","93","0.7","","1040010","","","","4","",""
"102611","5","1","1000","1050001","1","ttk_idle_def","-120","5","1","100"
"2","31","2","0","1050002","","","1","5","1","0"
"1","31","1","-80","1050003","","","1","5","1","-120"
"","93","1","","1050004","","","","5","",""
"vo_minigame_1005_top_004","21","vo_minigame_1005","0","1050005","","","","5","","0"
"ttk_surprise","3","102611","0","1050006","0.3","","","5","0.3",""
"唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","11","102611","8","1050007","0","","","5","0",""
"","93","0.9","","1050008","","","","5","",""
"ttk_talk_anger","3","102611","1","1050009","0.3","","","5","0.3",""
"","93","0.8","","1050010","","","","5","",""
"ttk_sad","3","102611","0","1050011","0.3","","1","5","0.3","ttk_talk_sad"
"","93","5","","1050012","","","","5","",""
"ttk_idle_def","3","102611","1","1050013","0.3","","","5","0.3",""
"","91","0","","1050014","","","","5","",""
"102611","5","1","1000","1060001","1","ttk_idle_def","-120","6","1","100"
"2","31","2","0","1060002","","","1","6","1","0"
"1","31","1","-80","1060003","","","1","6","1","-120"
"","93","1","","1060004","","","","6","",""
"vo_minigame_1005_top_005","21","vo_minigame_1005","0","1060005","","","","6","","0"
"ttk_idle_worry","3","102611","1","1060006","0.3","","","6","0.3",""
"我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","11","102611","8","1060007","0","","","6","0",""
"","93","7","","1060008","","","","6","",""
"ttk_amz","3","102611","0","1060009","0.3","","1","6","0.3","ttk_idle_def"
"","91","0","","1060010","","","","6","",""
