8875106f966258cdbed1d8a99814c4e6a1e475fc28f70afba80cf65cdfb3bb18,20135dc918f12898b7de2b4ad8aa66a498d7519d4411d84343fe59446803f363,b29862cfdca60f24c4a5c80aff1c4b3db510703cbd5704f0aaef55feb4c1d810,3eef25f0b4f968c2ad56ddf5c097ee76100b293649d76bc7c35218aedff7d8ec,00bf1dfba61c39ab4a6b8b23e77ca8edbbac5582cda256ef6cb4a4e4822cadbc,aa27f9b18f48ae6632c24d535c4ec3af1d09dadb70fe977458e30edd7c56f03b,2aceda015ada93879d1c992d3306e1ccb2f3093570b8be00db02e69ff4adc292,d5b7655456dce5b7fbb7029d56c5981eac4789c9b9529e8633aa3519a992586d,f61637c81df621b6ef3e96b331582abf344a3473bfd37a9cdf492b42185ffd33,e6eb5a491a17f3e4c245c69ca856547b28532c44eaa7c75c8d288d561c53e763,526e2290177b35758bdde2ce822acf9b3357fd029f2de57f02dd22cb895ac55e,936f3e9f7fcc109a03fe23749ad1eb1a665d0c895d4b05bf216d06ae9bbf8860,c79b861d8707acaef7e2155baca258f83908297f159acb2a132f3d6ac0ac6350,aebe599ee740f8348b93fb840237968d46c3bb8ff567c82e102860769c744fbb,e7f1a4a82609f575cc6505569bf3dcd358f76465fdd69451e15b6f8709584012,0587154530cce37f2047d6ce323f6e841d72f9a5fb46883812d4de2b140cd5f7,6293a043995333752cf437b735e8c6493d1a88fe097483caf61383b99a428ae6,4737a8c2a012d59ade013b43113a858d116f82615a5d33138b283201adb37e9f,9f8cd2e4faecac30d7dd6d3b9fc5945bfbc4677651b3713a7b905b20265a6146
"1","","5","-60","3","10132","610132501","12","0","0","0","5.5","289","0","1","1","0","610132007","3"
"2","","5","-60","1","10132","610132502","0","0","0","0","1.5","289","0","1","1","70","610132008","0"
"3","","5","-60","1","10132","0","0","0","0","0","1.5","289","0","1","1","0","610132009","0"
"1","","5","-50","1","10134","0","0","0","0","0","5.5","292","0","1.85","1","55","610134007","3"
"2","","5","-50","3","10134","610134502","30","0","0","0","1.5","292","0","1.85","1","0","610134008","0"
"3","","5","-50","1","10134","0","0","0","0","0","1.5","292","0","1.85","1","0","610134009","0"
"1","","5","0","2","10136","610136501","0","600","0","0","5.5","295","0","1.1","1","0","610136007","3"
"2","","5","-50","1","10136","0","0","0","0","0","1.5","295","0","1.5","1","84","610136008","0"
"3","","5","-50","1","10136","0","0","0","0","0","1.5","295","0","1.5","1","0","610136009","0"
"1","","5","0","1","10137","0","0","0","0","0","5.5","295","0","0.85","1","75","610137007","0"
"2","","5","0","1","10137","0","0","0","0","0","1.5","295","0","0.85","1","50","610137008","0"
"3","","5","0","1","10137","0","0","0","0","0","1.5","295","0","0.85","1","0","610137009","0"
"1","","5","0","1","10140","0","0","0","0","0","5.5","298","0","1.4","1","77","610140007","3"
"2","","5","0","1","10140","0","0","0","0","0","1.5","298","0","1.4","1","52","610140008","0"
"3","","5","0","1","10140","0","0","0","0","0","1.5","298","0","1.4","1","0","610140009","0"
"1","","5","-33","1","10142","0","0","0","0","0","5.5","301","0","1.45","1","76","610142007","3"
"2","","5","-40","2","10142","610142502","0","600","0","0","1.5","301","0","1.23","1","0","610142008","3"
"3","","5","-33","1","10142","0","0","0","0","0","1.5","301","0","1.45","1","0","610142009","0"
"1","","5","-33","1","10144","0","0","0","0","0","5.5","304","0","1","1","65","610144007","3"
"2","","5","-40","2","10144","610144502","0","600","0","0","1.5","304","0","0.85","1","0","610144008","3"
"3","","5","-33","1","10144","0","0","0","0","0","1.5","304","0","1","1","0","610144009","0"
"1","","5","-45","2","10146","610146501","0","600","0","0","5.5","307","0","0.87","1","0","610146007","3"
"2","","5","-45","1","10146","0","0","0","0","0","1.5","307","0","1.18","1","58","610146008","0"
"3","","5","-45","1","10146","0","0","0","0","0","1.5","307","0","1.18","1","0","610146009","0"
"1","","5","-50","2","10148","610148501","0","600","0","0","5.5","310","0","1.4","1","0","610148007","3"
"2","","5","-50","1","10148","0","0","0","0","0","1.5","310","0","1.7","1","68","610148008","0"
"3","","5","-50","1","10148","0","0","0","0","0","1.5","310","0","1.7","1","0","610148009","0"
"1","","5","-33","1","10150","0","0","0","0","0","5.5","313","0","1.35","1","71","610150007","3"
"2","","5","-33","1","10150","0","0","0","0","0","1.5","313","0","1.35","1","50","610150008","3"
"3","","5","-33","1","10150","0","0","0","0","0","1.5","313","0","1.35","1","0","610150009","0"
"1","","5","20","2","10152","610152501","0","600","0","0","5.5","316","0","0.7","1","0","610152007","4.8"
"2","","5","30","1","10152","0","0","0","0","0","1.5","316","0","0.96","1","81","610152008","0"
"3","","5","30","1","10152","0","0","0","0","0","1.5","316","0","0.96","1","0","610152009","0"
"1","","5","-33","1","10154","0","0","0","0","0","5.5","319","0","1.25","1","68","610154007","3"
"2","","5","-10","2","10154","610154502","0","600","0","0","1.5","319","0","1","1","0","610154008","3"
"3","","5","-33","1","10154","0","0","0","0","0","1.5","319","0","1.25","1","0","610154009","0"
"1","","5","5","2","10156","610156501","0","600","0","0","5.5","322","0","0.85","1","0","610156007","3"
"2","","5","-10","1","10156","0","0","600","0","0","1.5","322","0","1.11","1","75","610156008","3"
"3","","5","-10","1","10156","0","0","0","0","0","1.5","322","0","1.11","1","0","610156009","0"
"1","","5","-40","2","10158","610158501","0","600","0","0","5.5","325","0","1.5","1","0","610158007","3"
"2","","5","-33","1","10158","0","0","0","0","0","1.5","325","0","1.75","1","65","610158008","0"
"3","","5","-33","1","10158","0","0","0","0","0","1.5","325","0","1.75","1","0","610158009","0"
"1","","5","-35","3","10160","610160501","20","600","0","0","5.5","328","0","1.4","1","0","610160007","4.8"
"2","","5","-35","1","10160","0","0","0","0","0","1.5","328","0","1.4","1","70","610160008","0"
"3","","5","-35","1","10160","0","0","0","0","0","1.5","328","0","1.4","1","0","610160009","0"
