4dc813b8026d2cd960c0069671e727fc8868268327293c7549b82380956bbc72,9098e3b54dd5624090e50447f113e0bcb5a995f7736d1b78e4c1bcfa46fcafdb,999e8fe189285e4c70d378378e577e7a20cfbc463b06884bd42fadb9308ceb76,dac87907e3f1cd07197171b2b4b3e6ab98752887acf8c21bdc3c4545985a5216,d9725f238747be881217c29ed1b91a38dc1439c1b40d1b3055646f81b3ea2253,87b9c0cf22938422bb245164fb107a5917b4dde2126bf6fbe1dd5e6334d0616a,e4d679df998889057589544362bc7546e4d767f979bcdb1deb620c0782bfa623,f220901f58276ea7a791ed782996e56ba31297cb3505d3bcd408a71092cdb9bf,88ebbfb4a647b6351f550b10a0352456b472451a22c869a475ac76eba92b3e26,e9eb38cd0f5ab5407413d1459142dde22f51b5a7e9a68a36bd3cd451ffb6bc1c,275ad87821f9ed90ba950123ce148734695a9c9a20de629f57f27349a5639d34,4547672686292b157cde3b3c7fdf468dee11cac4df6f9e39cb53e3d90a871263,717daaff0d0dacd53756cd6a0905fdbb1779c40b3e01cfa07ba0f103c0196510
"11120101","1","8","8","1","這樣子就好！","0","vo_minigame_1012_correct_107","0","0","0","1201","0"
"11120102","1","8","8","1","嗯，OK！","0","vo_minigame_1012_correct_108","0","0","0","1201","0"
"11120103","1","1","1","1","狀況不錯喔！","0","vo_minigame_1012_correct_109","0","0","0","1201","0"
"11120201","1","1","1","1","慢慢來沒關係！","0","vo_minigame_1012_correct_115","0","-1","13333","1202","0"
"11120202","1","9","9","1","答對就可以了！","0","vo_minigame_1012_correct_117","0","-1","13333","1202","0"
"11120301","1","1","1","1","好厲害喔！","0","vo_minigame_1012_correct_118","0","0","0","1203","0"
"11120302","1","5","5","1","你知道這個啊！？","8","vo_minigame_1012_correct_119","0.01","0","0","1203","0"
"11120401","1","1","1","1","看來沒問題吧！","0","vo_minigame_1012_correct_125","0","0","0","1204","0"
"11120501","1","7","7","1","複習得很完美呢！","4","vo_minigame_1012_correct_123","0.01","0","0","1205","0"
"11120601","1","8","8","1","連續答對了！","0","vo_minigame_1012_correct_128","0","-1","3","1206","0"
"11120701","1","2","2","1","挽回劣勢！","0","vo_minigame_1012_correct_131","0","-1","3","1207","0"
"11130101","1","2","2","1","重整心情！","0","vo_minigame_1012_incorrect_107","0","0","0","1301","0"
"11130102","1","9","9","1","也會有這種事啊！","0","vo_minigame_1012_incorrect_108","0","0","0","1301","0"
"11130103","1","4","4","1","那樣子不行喔！","0","vo_minigame_1012_incorrect_109","0","0","0","1301","0"
"11130201","1","4","4","1","時間到了！","0","vo_minigame_1012_incorrect_116","0","-1","20000","1302","0"
"11130202","1","5","5","1","不是，你回答啊！","0","vo_minigame_1012_incorrect_117","0","-1","20000","1302","0"
"11130301","1","3","3","1","好難啊……","6","vo_minigame_1012_incorrect_118","0.01","0","0","1303","0"
"11130302","1","4","4","1","難度真高……","0","vo_minigame_1012_incorrect_119","0","0","0","1303","0"
"11130401","1","2","2","1","不能忘記喔！","0","vo_minigame_1012_incorrect_123","0","0","0","1304","0"
"11130501","1","1","1","1","不是全錯呢！","0","vo_minigame_1012_incorrect_126","0","0","0","1305","0"
"11300101","1","8","7","1","呵呵，全都答對囉！\n你好像努力地學習了呢，\n真佩服♪","4","vo_minigame_1012_result_1000","3.18","10","10","3001","1"
"11300102","1","7","8","1","太厲害了……全部答對囉！\n不過，這也是當然的吧～\n因為是我教你的嘛♪","10","vo_minigame_1012_result_1001","3.33","10","10","3001","1"
"11300103","1","1","8","1","全對！拍手拍手拍手～♪\n這個難度已經很完美了吧？\n下次挑戰更難的題目吧！\n你一定可以的！","10","vo_minigame_1012_result_1002","5.41","10","10","3001","1"
"11300104","1","8","5","1","喔……選了很難的題目，\n但還能全對，很厲害嘛！！\n你實在太厲害了……！\n比完美還完美！","10","vo_minigame_1012_result_1003","8.11","10","10","3001","2"
"11300105","1","5","10","1","答對……答對……全部答對！\n題目這麼難還全對……！\n好驚訝……\n你是什麼時候讀了這麼多東西的！","0","vo_minigame_1012_result_1004","1.31","10","10","3001","2"
"11300106","1","8","9","1","看你完美地答對了這麼多題，\n讓我有點不甘心呢……！\n但我還是要坦率地讚美你！\n了不起，了不起，了不起～！","0","vo_minigame_1012_result_1005","4.93","10","10","3001","2"
"11300107","1","8","5","1","好厲害……你答得太完美了！\n保持這樣到下次考試，\n你拿學年第一可能也不是夢了！\n真令人期待～♪","4","vo_minigame_1012_result_1006","2.99","10","10","3001","3"
"11300108","1","7","8","1","滿分喔！呵呵。\n我已經沒東西能教你了……！\n反而希望你能教我呢！\n……好嗎，老師♪","4","vo_minigame_1012_result_1007","8.37","10","10","3001","3"
"11300109","1","5","7","1","全、部、答、對！\n裡面有超多難題耶，你好厲害……！\n難不成……\n你是天才！？","8","vo_minigame_1012_result_1008","5.32","10","10","3001","3"
"11300110","1","1","7","1","喔！分數很好看呢～！\n這下教你也有價值了♪\n好了，還要繼續學習喔！","4","vo_minigame_1012_result_1009","4.77","9","7","3001","1"
"11300111","1","7","8","1","嗯，拿到的分數很不錯！\n保持這個狀態，\n下次想看你拿滿分呢！","4","vo_minigame_1012_result_1010","2.97","9","7","3001","1"
"11300112","1","1","5","1","啊～好可惜！\n差一點就滿分了！\n下次一定可以很完美的！\n加油吧！","0","vo_minigame_1012_result_1011","3.47","9","7","3001","1"
"11300113","1","7","8","1","好厲害，你答對了很多喔！\n題目這麼難，你很行嘛！\n之後就以滿分為目標吧！","4","vo_minigame_1012_result_1012","5.32","9","7","3001","2"
"11300114","1","7","8","1","嗯，很不錯喔！\n看來完～全不用擔心你會不及格呢♪\n但還是不會讓你停止學習的！","10","vo_minigame_1012_result_1013","6.49","9","7","3001","2"
"11300115","1","1","5","1","啊～\n只差一點點就能全部答對的說！\n雖然題目很難但你沒問題的，\n下次可以以滿分為目標！","0","vo_minigame_1012_result_1014","3.56","9","7","3001","2"
"11300116","1","1","8","1","嗯，幾乎都答對囉！\n裡面這麼多困難的題目，\n你很厲害嘛！\n你果然不是個普通人！","10","vo_minigame_1012_result_1015","5.67","9","7","3001","3"
"11300117","1","1","7","1","感覺你很紮實地在進步嘛？\n如果是你的話，即使面對難題，\n總有一天搞不好也能拿滿分…………！","10","vo_minigame_1012_result_1016","2.85","9","7","3001","3"
"11300118","1","1","5","1","哇啊～好可惜！\n差一點就滿分了！\n不過連我也有不會的難題，\n你拿這個分數已經可以抬頭挺胸了！","0","vo_minigame_1012_result_1017","3.88","9","7","3001","3"
"11300119","1","1","3","1","答對率一半左右啊～\n是不差啦，\n不過是你的話，應該不只這樣吧？","0","vo_minigame_1012_result_1018","4.12","6","4","3001","1"
"11300120","1","1","9","1","嗯～我就老實說了，\n這分數很不上不下呢……\n不過沒關係！\n接下來要咻咻咻地提高分數喔！","0","vo_minigame_1012_result_1019","4.34","6","4","3001","1"
"11300121","1","1","3","1","嗯～老實說這分數有點讓人不滿意呢！\n我對你抱有很大的期待，\n再更加油一些吧！","0","vo_minigame_1012_result_1020","3.15","6","4","3001","1"
"11300122","1","1","9","1","答對率一半左右啊……\n題目很難所以也沒辦法呢……\n不過你一定能更進步的！\n因為有我陪著你！","0","vo_minigame_1012_result_1021","5.3","6","4","3001","2"
"11300123","1","1","8","1","嗯，答得還行嘛！\n繼續努力學習，\n以更高的分數為目標吧！","0","vo_minigame_1012_result_1022","2.55","6","4","3001","2"
"11300124","1","7","1","1","題目很難，\n但看這個答對率，\n算是有在讀書的吧！\n不過可不能滿足於這種程度喔！？","0","vo_minigame_1012_result_1023","4.19","6","4","3001","2"
"11300125","1","1","7","1","題目這麼難卻答對了一半左右，\n你很厲害嘛♪\n保持這個步調，\n繼續提升實力吧！","0","vo_minigame_1012_result_1024","3.43","6","4","3001","3"
"11300126","1","1","1","1","好，拿到了平均分數！\n看你好像有好好學習，\n那我就安心了～♪","0","vo_minigame_1012_result_1025","0","6","4","3001","3"
"11300127","1","7","8","1","裡面都是難題，\n這個答對率很不得了喔！\n不過，如果你還想拿更高的分數，\n那我可以陪你讀書！","0","vo_minigame_1012_result_1026","3.72","6","4","3001","3"
"11300128","1","2","3","1","原來如此……\n看來很值得教你呢，\n我會徹底鞭策你的，\n做好覺悟吧！","1","vo_minigame_1012_result_1027","3.5","3","1","3001","1"
"11300129","1","2","4","1","喂，\n你完全不行嘛！\n……你不會要跟我說\n你已經拿出真本事了吧～？","1","vo_minigame_1012_result_1028","3.25","3","1","3001","1"
"11300130","1","2","3","1","唔嗯……\n即使隨便回答，\n答對率也差不多是這樣吧？\n看來我得認真教你了……！","0","vo_minigame_1012_result_1029","4.62","3","1","3001","1"
"11300131","1","1","9","1","……也、也對啦，\n這題目對你來說可能太難了，\n慢慢來就行了，\n一起提升實力吧！","0","vo_minigame_1012_result_1030","4.5","3","1","3001","2"
"11300132","1","3","3","1","嗯……蠻多答錯的呢……\n要繼續作答也可以，\n但從簡單的題目重新來過，\n也是種選項喔～？","9","vo_minigame_1012_result_1031","0.01","3","1","3001","2"
"11300133","1","9","9","1","唉呀呀，這對你來說，\n有點太難了嗎……？\n再重來一次吧！","9","vo_minigame_1012_result_1032","0.01","3","1","3001","2"
"11300134","1","3","3","1","唔嗯……真是遺憾的結果……\n題目超難也無可奈何，\n不要勉強，從簡單的題目開始挑戰\n搞不好也不錯喔？","6","vo_minigame_1012_result_1033","0.01","3","1","3001","3"
"11300135","1","9","3","1","答對率很低呢……\n畢竟題目很難嘛……！\n我很欣賞你的挑戰精神喔！","0","vo_minigame_1012_result_1034","2.97","3","1","3001","3"
"11300136","1","1","3","1","總算是避免拿到0分了……\n不過裡面都是難題就是了，\n繼續加油吧！","0","vo_minigame_1012_result_1035","3.1","3","1","3001","3"
"11300137","1","2","6","1","……你啊，換個角度來想，\n要考0分也是很難的喔！？\n你應該不是\n故意考這樣的對吧～！？","1","vo_minigame_1012_result_1036","4.31","0","0","3001","1"
"11300138","1","2","2","1","0分是……\n你是來鬧的嗎！？\n不好好作答的話，\n就用電擊魔法伺候喔！？","1","vo_minigame_1012_result_1037","0.1","0","0","3001","1"
"11300139","1","3","9","1","搞不好你其實\n不適合讀書呢……\n……學習不是一切，\n就在其他方面努力吧！","9","vo_minigame_1012_result_1038","4.23","0","0","3001","1"
"11300140","1","2","3","1","我不會生氣，你說實話吧？\n……你是亂回答的對吧？\n快點，老實地……\n說、出、來、吧？","0","vo_minigame_1012_result_1039","4.38","0","0","3001","2"
"11300141","1","2","8","1","你的分數是～～\n……好！0分！！\n……呃，開什麼玩笑──！！！","0","vo_minigame_1012_result_1040","3.58","0","0","3001","2"
"11300142","1","2","4","1","0分是怎麼回事！？\n不是，從反面來看你很厲害喔！？\n畢竟閉著眼睛考，\n也能拿個1分啊！","1","vo_minigame_1012_result_1041","2.02","0","0","3001","2"
"11300143","1","1","9","1","唉呀……很遺憾，是0分喔。\n可能有點太難了吧……\n……不過也是會有這種事的！\n別太喪氣！","9","vo_minigame_1012_result_1042","5.53","0","0","3001","3"
"11300144","1","1","3","1","雖說題目相當難，\n但0分還是讓人有點落寞呢……\n不過要反向思考！\n你以後只會更加成長的！","9","vo_minigame_1012_result_1043","4.4","0","0","3001","3"
"11300145","1","1","3","1","0分啊……嗯，抱歉……\n我想不到要怎麼安慰你！\n……算了，還有下一次，\n來轉換心情吧！","0","vo_minigame_1012_result_1044","5.35","0","0","3001","3"
"12120101","2","8","8","1","OK！","0","vo_minigame_1012_correct_132","0","0","0","1201","0"
"12120102","2","7","7","1","對了！","0","vo_minigame_1012_correct_133","0","0","0","1201","0"
"12120103","2","7","7","1","很好！","0","vo_minigame_1012_correct_134","0","0","0","1201","0"
"12120201","2","5","5","1","真的假的！？","0","vo_minigame_1012_correct_135","0","3000","0","1202","0"
"12120202","2","10","10","1","哦～！","0","vo_minigame_1012_correct_136","0","3000","0","1202","0"
"12120203","2","7","7","1","就是這樣！","0","vo_minigame_1012_correct_137","0","6000","3001","1202","0"
"12120204","2","1","1","1","要趕快囉！","0","vo_minigame_1012_correct_138","0","-1","13333","1202","0"
"12120301","2","5","5","1","太厲害了！","0","vo_minigame_1012_correct_139","0","0","0","1203","0"
"12120401","2","7","7","1","輕鬆！","0","vo_minigame_1012_correct_141","0","0","0","1204","0"
"12120501","2","7","7","1","雪恥吧！","0","vo_minigame_1012_correct_140","0","0","0","1205","0"
"12120601","2","1","1","1","很好喔！","0","vo_minigame_1012_correct_142","0","-1","3","1206","0"
"12120701","2","2","2","1","還早得很！","0","vo_minigame_1012_correct_143","0","-1","3","1207","0"
"12130101","2","2","2","1","噗～！","0","vo_minigame_1012_incorrect_127","0","0","0","1301","0"
"12130102","2","2","2","1","不行～！","0","vo_minigame_1012_incorrect_128","0","0","0","1301","0"
"12130103","2","9","9","1","唉呀呀……！","0","vo_minigame_1012_incorrect_129","0","0","0","1301","0"
"12130201","2","3","3","1","不要急！","0","vo_minigame_1012_incorrect_130","0","3000","0","1302","0"
"12130202","2","5","5","1","慢慢來！","0","vo_minigame_1012_incorrect_131","0","3000","0","1302","0"
"12130203","2","2","2","1","深呼吸！","0","vo_minigame_1012_incorrect_132","0","6000","3001","1302","0"
"12130204","2","3","3","1","好慢喔……！","0","vo_minigame_1012_incorrect_133","0","-1","20000","1302","0"
"12130301","2","5","5","1","好難！","0","vo_minigame_1012_incorrect_134","0","0","0","1303","0"
"12130401","2","6","6","1","你忘了嗎？","0","vo_minigame_1012_incorrect_135","0","0","0","1304","0"
"12130501","2","2","2","1","下一題一定行！","0","vo_minigame_1012_incorrect_136","0","0","0","1305","0"
"12170101","2","2","2","1","最後衝刺！","3","vo_minigame_1012_time_100","0.01","30000","20000","1701","0"
"12170102","2","1","1","1","馬上要結束了！","3","vo_minigame_1012_time_101","0.01","30000","20000","1701","0"
"12300101","2","1","7","1","好，做得很好！\n你的基礎打得很完美了！\n下次也挑戰看看\n更難的題目吧！","10","vo_minigame_1012_result_1045","3.74","-1","20","3001","1"
"12300102","2","9","1","1","什麼嘛，\n你這是回答得欲罷不能嗎？\n簡單來說，你很厲害嘛！\n給你個獎勵小花！","0","vo_minigame_1012_result_1046","3.85","-1","20","3001","1"
"12300103","2","5","5","1","好厲害的分數……！\n你就是那種說自己沒讀書，\n其實偷偷拼命複習的類型吧！？","8","vo_minigame_1012_result_1047","0.01","-1","20","3001","1"
"12300104","2","7","8","1","讀書的成果，\n確實展現出來了嘛！\n身為你的老師，\n我也好驕傲呢～♪","4","vo_minigame_1012_result_1048","2.86","-1","20","3001","2"
"12300105","2","3","5","1","OK！已經很夠了！\n要是你再更加苦讀的話，\n我就沒必要教你了！","9","vo_minigame_1012_result_1049","2.02","-1","20","3001","2"
"12300106","2","1","5","1","你選了困難的題目，\n沒想到答對率這麼高……！\n不過還有更難的……\n下次就挑戰最難的吧！","0","vo_minigame_1012_result_1050","4.46","-1","20","3001","2"
"12300107","2","4","5","1","本來就覺得你很厲害了，\n沒想到你連學習都這麼完美……？\n難怪大家都對你著迷……\n不，什、什麼都沒有！！","7","vo_minigame_1012_result_1051","6.85","-1","20","3001","3"
"12300108","2","9","5","1","這個題目，\n是連我也要思考很久的超級難題……\n呵呵，那也只能稱讚你了！\n你做得很好喔！","0","vo_minigame_1012_result_1052","3.79","-1","20","3001","3"
"12300109","2","4","4","1","我才沒有臉紅！\n喜歡頭腦好的人……\n或覺得你很帥之類的……\n……我都沒這樣想喔！","7","vo_minigame_1012_result_1053","0.01","-1","20","3001","3"
"12300110","2","5","5","1","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","0","vo_minigame_1012_result_1054","0","-1","20","3001","1"
"12300112","2","5","5","1","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","0","vo_minigame_1012_result_1054","0","-1","20","3001","2"
"12300114","2","5","5","1","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","0","vo_minigame_1012_result_1054","0","-1","20","3001","3"
"12300116","2","7","5","1","喔喔～答對了很多呢！\n保持這個步調，\n以更好的分數為目標！","10","vo_minigame_1012_result_1056","3","19","15","3001","1"
"12300117","2","8","8","1","嗯，感覺很完美喔！\n看來你很認真讀書了，\n佩服佩服♪","10","vo_minigame_1012_result_1057","0.01","19","15","3001","1"
"12300118","2","8","5","1","咦？都拿這麼高分了，\n你還不滿足？\n那股上進心是怎麼回事……\n很好嘛！","0","vo_minigame_1012_result_1058","4.01","19","15","3001","1"
"12300119","2","7","8","1","速度和答對題數都很理想喔！\n喂喂，趁狀態這麼好，\n要不要以頂點為目標？","10","vo_minigame_1012_result_1059","2.83","19","15","3001","2"
"12300120","2","10","10","1","這種難度也能\n毫無阻礙地回答出來……\n你喔，\n真的是個狠角色……！","0","vo_minigame_1012_result_1060","0","19","15","3001","2"
"12300121","2","7","8","1","能回答出這麼多題目，\n讀書也變得很有趣吧♪\n來吧，還要繼續下去喔～！","4","vo_minigame_1012_result_1061","3.66","19","15","3001","2"
"12300122","2","8","5","1","你啊，考這個成績\n並不是僥倖吧……！\n能學會這麼多，\n真是不得了！","0","vo_minigame_1012_result_1062","3.28","19","15","3001","3"
"12300123","2","1","8","1","好厲害！成績非常好喔！\n對你來說，\n即使是這種難題也是輕而易舉？","0","vo_minigame_1012_result_1063","2.7","19","15","3001","3"
"12300124","2","9","5","1","你……\n該不會分數比我還高？\n我、我也得向你學習，\n好好讀書呢……！","9","vo_minigame_1012_result_1064","3.98","19","15","3001","3"
"12300131","2","1","7","1","嗯，分數很不錯喔！\n不過還能繼續努力吧？\n來，接著繼續吧！","0","vo_minigame_1012_result_1067","2.51","14","10","3001","1"
"12300132","2","7","1","1","雖然成績已經十分優秀了，\n但你一定能拿到更高分！\n來，努力念書吧！","0","vo_minigame_1012_result_1068","4.16","14","10","3001","1"
"12300133","2","7","8","1","嗯，不錯喔！\n保持這個步調，\n慢慢地增加答對題數吧！","0","vo_minigame_1012_result_1069","2.07","14","10","3001","1"
"12300134","2","1","8","1","裡面都是困難的題目，\n但成績還蠻不錯的嘛！\n你一定能達成目標的，\n可以對自己更有自信！","0","vo_minigame_1012_result_1070","3.51","14","10","3001","2"
"12300135","2","1","1","1","即使面對難題，基礎也很重要！\n保持這個狀態，\n繼續提升分數吧！","0","vo_minigame_1012_result_1071","0","14","10","3001","2"
"12300136","2","7","1","1","答對10題以上呢！\n咦？還不夠？\n呵呵，\n那要以更高分為目標嗎？","0","vo_minigame_1012_result_1072","4.3","14","10","3001","2"
"12300137","2","7","8","1","嗯，在這些難題下，\n拿到這個分數已經十分出色了！\n不過你的話，\n一定是以更高分為目標吧♪","0","vo_minigame_1012_result_1073","4.47","14","10","3001","3"
"12300138","2","9","8","1","好，辛苦了～\n分數還蠻不錯的嘛？\n……我也得多讀書了！","0","vo_minigame_1012_result_1074","3.68","14","10","3001","3"
"12300139","2","1","5","1","喔喔～\n答對了10題以上嘛！\n你果然不是等閒之輩～","0","vo_minigame_1012_result_1075","3.34","14","10","3001","3"
"12300141","2","8","1","1","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","0","vo_minigame_1012_result_1077","6.58","14","10","3001","1"
"12300143","2","8","1","1","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","0","vo_minigame_1012_result_1077","6.58","14","10","3001","2"
"12300145","2","8","1","1","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","0","vo_minigame_1012_result_1077","6.58","14","10","3001","3"
"12300146","2","7","1","1","喔～成績還不錯嘛。\n雖然不差……但我對你\n還抱有更多更多期待～","0","vo_minigame_1012_result_1078","4.24","9","5","3001","1"
"12300147","2","1","7","1","嗯，雖然很努力了……\n但說實話你能答對更多吧～？\n這分數對你來說只是及格！\n要不要以更高分為目標？","0","vo_minigame_1012_result_1079","4.74","9","5","3001","1"
"12300148","2","1","1","1","分數普普通通，\n對你來說這很棘手嗎？\n如果你覺得這樣不行的話，\n就表示還有成長空間呢！","0","vo_minigame_1012_result_1080","0","9","5","3001","1"
"12300149","2","1","8","1","嗯，還不錯的結果吧！\n但你應該能拿到更好的成績的！\n繼續努力吧！","0","vo_minigame_1012_result_1081","2.21","9","5","3001","2"
"12300150","2","1","3","1","嗯～說實話有點尷尬呢！\n算了，畢竟題目很難。\n只要繼續學習，\n分數一定會更提升的！","0","vo_minigame_1012_result_1082","2.46","9","5","3001","2"
"12300151","2","1","3","1","嗯～\n沒拿到10分啊～\n下次要不要以超過10分為目標，\n努力學習看看？","0","vo_minigame_1012_result_1083","2.94","9","5","3001","2"
"12300152","2","1","7","1","好，辛苦了～\n分數還馬馬虎虎吧！\n畢竟題目超難，你很努力了！","0","vo_minigame_1012_result_1084","4.19","9","5","3001","3"
"12300153","2","1","1","1","嗯，題目相當難，\n但你還是作答到最後了。\n要不要以更好的分數為目標？","0","vo_minigame_1012_result_1085","0","9","5","3001","3"
"12300154","2","1","3","1","失誤有點多呢～\n但把錯的地方好好複習，\n下次就會答對了～！","0","vo_minigame_1012_result_1086","2.63","9","5","3001","3"
"12300155","2","1","3","1","唉呀……分數不太好看呢～\n怎麼了，狀況不好嗎？\n下次再更努力一點吧！","0","vo_minigame_1012_result_1087","5.53","4","1","3001","1"
"12300156","2","3","3","1","嗯～\n答對題數讓人不滿意呢～\n再多增加點讀書的時間吧？","9","vo_minigame_1012_result_1088","0.01","4","1","3001","1"
"12300157","2","1","3","1","嗯……若是你的話，\n能拿到更高分吧～？\n再多努力點啊，\n我可是對你很期待的！","3","vo_minigame_1012_result_1089","4.15","4","1","3001","1"
"12300158","2","9","9","1","嗯～對現在的你而言，\n這個題目太難了嗎……\n挑戰較低的難度，\n也許是個好選擇喔～？","9","vo_minigame_1012_result_1090","0.01","4","1","3001","2"
"12300159","2","1","3","1","成績不太好看呢～\n畢竟是很難的題目也沒辦法。\n希望你下次更努力！","0","vo_minigame_1012_result_1091","5.37","4","1","3001","2"
"12300160","2","1","3","1","原來如此……\n不擅長的題型很多嗎？\n再挑戰一次\n試試看吧～","0","vo_minigame_1012_result_1092","1.44","4","1","3001","2"
"12300161","2","3","3","1","嗯嗯～題目太難了嗎？\n比起硬要繼續回答難題，\n降低難易度的話，\n搞不好讀書效率會更好喔～？","0","vo_minigame_1012_result_1093","0","4","1","3001","3"
