b07b6c8f2628cd247b105f27c092e0fa985a97aef0a800cc2725903347d7ae0b,db10eaf5515e5e25faa6325bb4de577617b6bf77c5db9edb2b39fc916a22a5bd,3f83f0d594a4bdea38f140eef7ff59a3fa3321955efdb5a92c76d26370d28d2d,7404685df1f0abb12317531c399d1e81e8852cb8b300d2cdc5d49e1cd787ae5c,46cf183bca6610884d237640a844765b91ea238ef0b73582ebd09315c6ee2d56,447492e903e86e0f2d4f7fdfdf714cad78700468568d2ee275eced56ccc023e2,d997f1ddbbc4dbafbcf15dd2acef9cdc0012dfa109999aca31d0b6f4dde1aa8c
"0","1101","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","2","2","11012","11011"
"0","1102","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","2","2","11022","11021"
"0","1103","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","2","2","11032","11031"
"0","1104","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","2","2","11042","11041"
"0","1105","發現了魔物們聚集的競技場！","4","4","11052","11051"
"11071","1107","發現不可思議的石板！要怎麼辦？","7","7","11072","11073"
"0","1108","在地下城迷路了！要往哪邊前進？","8","8","11081","11082"
"0","1109","發現了魔物們聚集的競技場！","4","4","11092","11091"
"11103","1110","剪刀、石頭……布！","3","3","11102","11101"
"0","1111","能聽見箱子裡有聲音傳來……","10","10","11112","11111"
"0","1112","活動會場出現魔物了！","11","11","11122","11121"
"0","1113","發現了魔物們聚集的競技場！","4","4","11132","11131"
"0","1117","發現了魔物們聚集的競技場！","4","4","11172","11171"
"0","1314","發現釣魚景點！","5","5","0","13141"
"0","1315","是非常適合野餐的絕佳日子！","9","9","0","13151"
"0","1316","是拉霸機！要挑戰嗎？","6","6","0","13161"
"0","2314","Lucky！還可以再釣一次！","5","5","0","23141"
"0","2315","菜做好了！不過，還有材料喔！","9","9","23151","23152"
"0","2316","再來一局！","6","6","23161","23162"
"0","3314","再最後一次！","5","5","0","33141"
"0","3315","完美！不過，還有材料喔！","9","9","33151","33152"
"0","3316","最後一次！","6","6","33161","33162"
