6803abe71870f8e3faea42e01f4dbd46a9f218e7babfdc3631ddcc012f05903e,202ed8e47a4d142f9258fe3468d3bd429da4789badca20e2638cab8818082560,8ad1f0504f8c64900663016145f9090b7c4f82566759150b40121490387bf144,2175e2574dc74da0b321b698b2c4f627c2f94c13c2b09746fcf542e9a9bf43c9,3e26b9dc8513e0372af55aeeb1243aee716357003a4fc785c692be94066c7b47,30e65fe261b50bf10fbef98175cdf9b5455f557220b36ec14e6145be139f1afc,ebd0ca61095503e878bab712a79e55cdbe2938689d57a8eb9ffaf8f13047c857,55c34870e09ff5c3296e74299649822180d86afd9a8271a3792194531300c007,1b4c5664bda7d6298da7ecf4ea1b45db916ed11e0931f48d11cd40f07a26e014,b419245fdb7b25efdb7a254310c326ba2f21003c546f2190f4a9a87957295619,7d4be39a43c64cd0b318145d6e58ecf3f0fd2c15823c91644722d93c08ea7fa4,9c6a3c20053d21b81807526222563b30d847bd69eb7d32033e9c3bc0858dc222
"0","10074","91002","優衣的病歷　其一","20","2022/01/03 12:00:00","0","20041106","1007401","8","年輕與低燒","100201"
"1007401","10074","91002","優衣的病歷　其二","20","2022/01/03 12:00:00","0","20041112","1007402","8","感受內心的激烈鼓動","100201"
"1007402","10074","91002","優衣的病歷　其三","30","2022/01/05 05:00:00","0","20041115","1007403","8","心煩意亂的病名是","100201"
"0","10074","91002","優妮的病歷　其一","20","2022/01/03 12:00:00","0","20041106","1007404","8","預料之外的訪客","111001"
"1007404","10074","91002","優妮的病歷　其二","20","2022/01/03 12:00:00","0","20041112","1007405","8","服藥的時間","111001"
"1007405","10074","91002","優妮的病歷　其三","30","2022/01/06 05:00:00","0","20041115","1007406","8","致親愛的你","111001"
"0","10074","91002","鈴莓的病歷　其一","20","2022/01/03 12:00:00","0","20041108","1007407","8","奇妙的外來患者","102501"
"1007407","10074","91002","鈴莓的病歷　其二","20","2022/01/03 12:00:00","0","20041114","1007408","8","可怕的病症","102501"
"1007408","10074","91002","鈴莓的病歷　其三","30","2022/01/07 05:00:00","0","20041115","1007409","8","現代醫學的極限","102501"
"0","10074","91002","伊莉亞的病歷　其一","20","2022/01/03 12:00:00","0","20041108","1007410","8","統御黑夜之人的苦難","104401"
"1007410","10074","91002","伊莉亞的病歷　其二","20","2022/01/03 12:00:00","0","20041114","1007411","8","美麗計畫","104401"
"1007411","10074","91002","伊莉亞的病歷　其三","30","2022/01/08 05:00:00","0","20041115","1007412","8","華麗課程","104401"
"0","10074","91002","杏奈的病歷　其一","20","2022/01/03 12:00:00","0","20041110","1007413","8","不可視之敵","100901"
"1007413","10074","91002","杏奈的病歷　其二","20","2022/01/03 12:00:00","2004101","0","1007414","8","被封印的魔法","100901"
"1007414","10074","91002","杏奈的病歷　其三","30","2022/01/09 05:00:00","2004101","0","1007415","8","獨眼惡魔的特別治療","100901"
"0","10074","91002","忍的病歷　其一","20","2022/01/03 12:00:00","0","20041110","1007416","8","骷髏驚喜","103101"
"1007416","10074","91002","忍的病歷　其二","30","2022/01/05 05:00:00","2004101","0","1007417","8","向迷惘少女伸出援手","103101"
