a12fd13c9ea9acc5fafbd1f22f8f09e12cf27fccdf117836c9f57ee6937f4008,1c7762deeb57a0e9f666b30af02d1dad68d0433212ba74ee08a0b78576c866ad,af03237e4efd3fd4e7fbe1f2aab364608b9cc599e64aafe46b3c89b95636b2a4,aba67bbdada51d23a9f65b1c2daf5b96867eb855d5fa8c9f7bcdf6da5f28321f,99cb648941bdd6540de193d9e0e118ece976d7042280d8b07d38b576ca5e8974
"200","8500","1","1","30"
"5","1500","1","2","30"
"220","8500","2","3","60"
"5","1500","2","4","60"
"200","8500","3","5","60"
"200","1500","3","6","15"
"200","8500","4","7","60"
"200","1500","4","8","10"
"150","8500","5","9","40"
"5","1500","5","10","40"
"150","8500","6","11","60"
"200","1500","6","12","10"
"150","8500","7","13","40"
"5","1500","7","14","40"
"150","8500","8","15","50"
"200","1500","8","16","15"
"150","8500","9","17","45"
"200","1500","9","18","10"
"145","8500","10","19","40"
"5","1500","10","20","10"
"300","8500","11","21","40"
"5","1500","11","22","10"
"200","8500","12","23","65"
"200","1500","12","24","10"
"150","8500","13","25","40"
"5","1500","13","26","10"
"100","8500","14","27","40"
"5","1500","14","28","10"
"200","8500","15","29","50"
"5","1500","15","30","10"
"250","8500","16","31","60"
"200","1500","16","32","30"
"120","8500","17","33","45"
"300","1500","17","34","90"
"120","8500","18","35","90"
"200","1500","18","36","30"
"190","8500","19","37","50"
"350","1500","19","38","60"
"95","8500","20","39","90"
"95","1500","20","40","90"
"200","8500","21","41","20"
"5","1500","21","42","5"
"450","8500","22","43","30"
"5","1500","22","44","5"
"200","8500","23","45","20"
"5","1500","23","46","5"
"130","8500","1001","47","30"
"5","1500","1001","48","5"
"140","8500","1002","49","30"
"5","1500","1002","50","5"
"150","8500","1003","51","40"
"5","1500","1003","52","5"
"155","8500","1004","53","45"
"200","1500","1004","54","5"
"155","8500","1005","55","60"
"200","1500","1005","56","10"
"150","8500","1006","57","60"
"200","1500","1006","58","15"
"150","8500","1007","59","60"
"200","1500","1007","60","15"
"160","8500","1008","61","50"
"200","1500","1008","62","15"
"140","8500","1009","63","70"
"200","1500","1009","64","30"
"180","8500","1010","65","35"
"200","1500","1010","66","120"
"140","8500","1011","67","65"
"200","1500","1011","68","30"
"200","8500","1012","69","35"
"5","1500","1012","70","5"
"150","8500","1013","71","70"
"200","1500","1013","72","15"
"150","8500","1014","73","60"
"200","1500","1014","74","15"
"150","8500","1015","75","60"
"200","1500","1015","76","15"
"150","8500","1016","77","60"
"200","1500","1016","78","15"
"150","8500","1017","79","60"
"200","1500","1017","80","15"
"120","8500","1018","81","50"
"200","1500","1018","82","60"
"102","8500","1019","83","67"
"200","1500","1019","84","60"
"120","8500","1020","85","35"
"250","1500","1020","86","60"
"200","7000","10001","87","30"
"5","3000","10001","88","30"
"220","7000","10002","89","60"
"5","3000","10002","90","60"
"200","7000","10003","91","60"
"200","3000","10003","92","15"
"200","7000","10004","93","60"
"200","3000","10004","94","10"
"150","7000","10005","95","40"
"5","3000","10005","96","40"
"150","7000","10006","97","60"
"200","3000","10006","98","10"
"150","7000","10007","99","40"
"5","3000","10007","100","40"
"150","7000","10008","101","50"
"200","3000","10008","102","15"
"150","7000","10009","103","45"
"200","3000","10009","104","10"
"145","7000","10010","105","40"
"5","3000","10010","106","10"
"300","7000","10011","107","40"
"5","3000","10011","108","10"
"200","7000","10012","109","65"
"200","3000","10012","110","10"
"150","7000","10013","111","40"
"5","3000","10013","112","10"
"100","7000","10014","113","40"
"5","3000","10014","114","10"
"200","7000","10015","115","50"
"5","3000","10015","116","10"
"250","7000","10016","117","60"
"200","3000","10016","118","30"
"120","7000","10017","119","45"
"300","3000","10017","120","90"
"120","7000","10018","121","90"
"200","3000","10018","122","30"
"190","7000","10019","123","50"
"350","3000","10019","124","60"
"95","7000","10020","125","90"
"95","3000","10020","126","90"
"200","7000","10021","127","60"
"200","3000","10021","128","60"
"200","7000","10022","129","60"
"200","3000","10022","130","60"
"200","7000","10023","131","60"
"200","3000","10023","132","60"
"130","7000","11001","133","30"
"5","3000","11001","134","5"
"140","7000","11002","135","30"
"5","3000","11002","136","5"
"150","7000","11003","137","40"
"5","3000","11003","138","5"
"155","7000","11004","139","45"
"200","3000","11004","140","5"
"155","7000","11005","141","60"
"200","3000","11005","142","10"
"150","7000","11006","143","60"
"200","3000","11006","144","15"
"150","7000","11007","145","60"
"200","3000","11007","146","15"
"160","7000","11008","147","50"
"200","3000","11008","148","15"
"140","7000","11009","149","70"
"200","3000","11009","150","30"
"180","7000","11010","151","35"
"200","3000","11010","152","120"
"140","7000","11011","153","65"
"200","3000","11011","154","30"
"200","7000","11012","155","35"
"5","3000","11012","156","5"
"150","7000","11013","157","70"
"200","3000","11013","158","15"
"150","7000","11014","159","60"
"200","3000","11014","160","15"
"150","7000","11015","161","60"
"200","3000","11015","162","15"
"150","7000","11016","163","60"
"200","3000","11016","164","15"
"150","7000","11017","165","60"
"200","3000","11017","166","15"
"120","7000","11018","167","50"
"200","3000","11018","168","60"
"102","7000","11019","169","67"
"200","3000","11019","170","60"
"120","7000","11020","171","35"
"250","3000","11020","172","60"
"200","5000","20001","173","30"
"5","5000","20001","174","30"
"220","5000","20002","175","60"
"5","5000","20002","176","60"
"200","5000","20003","177","60"
"200","5000","20003","178","15"
"200","5000","20004","179","60"
"200","5000","20004","180","10"
"150","5000","20005","181","40"
"5","5000","20005","182","40"
"150","5000","20006","183","60"
"200","5000","20006","184","10"
"150","5000","20007","185","40"
"5","5000","20007","186","40"
"150","5000","20008","187","50"
"200","5000","20008","188","15"
"150","5000","20009","189","45"
"200","5000","20009","190","10"
"145","5000","20010","191","40"
"5","5000","20010","192","10"
"300","5000","20011","193","40"
"5","5000","20011","194","10"
"200","5000","20012","195","65"
"200","5000","20012","196","10"
"150","5000","20013","197","40"
"5","5000","20013","198","10"
"100","5000","20014","199","40"
"5","5000","20014","200","10"
"200","5000","20015","201","50"
"5","5000","20015","202","10"
"250","5000","20016","203","60"
"200","5000","20016","204","30"
"120","5000","20017","205","45"
"300","5000","20017","206","90"
"120","5000","20018","207","90"
"200","5000","20018","208","30"
"190","5000","20019","209","50"
"350","5000","20019","210","60"
"95","5000","20020","211","90"
"95","5000","20020","212","90"
"200","5000","20021","213","60"
"200","5000","20021","214","60"
"200","5000","20022","215","60"
"200","5000","20022","216","60"
"200","5000","20023","217","60"
"200","5000","20023","218","60"
"130","5000","21001","219","30"
"5","5000","21001","220","5"
"140","5000","21002","221","30"
"5","5000","21002","222","5"
"150","5000","21003","223","40"
"5","5000","21003","224","5"
"155","5000","21004","225","45"
"200","5000","21004","226","5"
"155","5000","21005","227","60"
"200","5000","21005","228","10"
"150","5000","21006","229","60"
"200","5000","21006","230","15"
"150","5000","21007","231","60"
"200","5000","21007","232","15"
"160","5000","21008","233","50"
"200","5000","21008","234","15"
"140","5000","21009","235","70"
"200","5000","21009","236","30"
"180","5000","21010","237","35"
"200","5000","21010","238","120"
"140","5000","21011","239","65"
"200","5000","21011","240","30"
"200","5000","21012","241","35"
"5","5000","21012","242","5"
"150","5000","21013","243","70"
"200","5000","21013","244","15"
"150","5000","21014","245","60"
"200","5000","21014","246","15"
"150","5000","21015","247","60"
"200","5000","21015","248","15"
"150","5000","21016","249","60"
"200","5000","21016","250","15"
"150","5000","21017","251","60"
