4ec92d1c9cb28d8df2bdba8637478300c024c9d7d2279483b85d855ce1e3e78b,7d817d1f2dca1c2d58c2f11df97631b3015235fe111fec9e8af9b061f8f0b5b4,f519c2a45ea4956ede23c3b8ebd81f87e9c1d5d5d8e19d91a3352e7b3606a1a3,a0b16468010bfb477a8eed47cea86c007d7c6e7428c5c511b4d368b907dbe1dd,d76abcfa889a6926d70fcc6ad3124f0138dcbd828b29001cb9e13e428d2bbdf2,6e48695dd223b0c947945574e47c459adf70f0ec3f5a058789152415a4417b1f
"春咲 日和","100101","蘭德索爾 公會小屋","9","500040","0"
"草野 優衣","100201","蘭德索爾 公會小屋","4","500040","0"
"士條 怜","100301","蘭德索爾 公會小屋","3","500040","0"
"穗高 禊","100401","普拉諾平原","4","500140","0"
"織原 茉莉","100501","蘭德索爾 王城入口","4","500090","0"
"風宮 茜里","100601","古城","4","500260","0"
"出雲 宮子","100701","古城","4","500260","0"
"虹村 雪","100801","普拉諾平原","4","500140","0"
"柊 杏奈","100901","蘭德索爾 餐廳內","3","500050","0"
"姫宮 真步","101001","哞哞自衛隊 據點","4","500060","0"
"衣之咲 璃乃","101101","蘭德索爾 鬧區","4","500030","0"
"柏崎 初音","101201","精靈之森","3","500180","0"
"丹野 七七香","101301","蘭德索爾 餐廳內","2","500050","0"
"霧原霞","101401","哞哞自衛隊 據點","4","500060","0"
"愛川 美里","101501","精靈之森","4","500180","0"
"美波 鈴奈","101601","月光學院","9","500080","0"
"喜屋武 香織","101701","哞哞自衛隊 據點","4","500060","0"
"支倉 伊緒","101801","月光學院","4","500080","0"
"茜 美美","102001","普拉諾平原","2","500140","0"
"栗林 胡桃","102101","咲戀育幼院 大廳","5","500110","0"
"風宮 依里","102201","古城","4","500260","0"
"北條 綾音","102301","咲戀育幼院 大廳","4","500110","0"
"天野 鈴莓","102501","咲戀育幼院 大廳","10","500110","0"
"森近 鈴","102601","伊麗莎白牧場 據點","3","500150","0"
"倉石 惠理子","102701","蘭德索爾 餐廳內","4","500050","0"
"佐佐木 咲戀","102801","咲戀育幼院 大廳","4","500110","0"
"櫻井 望","102901","蘭德索爾 市中心","1","500010","0"
"妮諾‧珠貝爾","103001","普拉諾平原","4","500140","0"
"上喜 忍","103101","古城","4","500260","0"
"藤堂 秋乃","103201","墨丘利財團 據點","4","500070","0"
"野戶 真陽","103301","伊麗莎白牧場 據點","9","500150","0"
"綾瀬 優花梨","103401","墨丘利財團 據點","4","500070","0"
"冰川 鏡華","103601","普拉諾平原","1","500140","0"
"御久間 智","103701","蘭德索爾 王城入口","2","500090","0"
"柏崎 栞","103801","伊麗莎白牧場 據點","2","500150","0"
"雙葉 碧","104001","精靈之森","2","500180","0"
"三角 千歌","104201","蘭德索爾 市中心","4","500010","0"
"安藝 真琴","104301","哞哞自衛隊 據點","2","500060","0"
"伊莉亞‧奧恩斯坦","104401","古城","4","500260","0"
