dedb27bf86478d1a2fe688b6c3c291ef5ee96ead7f7b00db308a4e7611f16ff8,427d3a29384f42218f2c1606b167a1db82a415d0bbd2bee49a5905daee67ea4c,72172f35ad8bfc3a27a46a55bc0652e63edc7c7bd58e4ed7fda0664f9922026b,9cbaf3f3882cbf98d1a87866b774533e5b43bfeb41a35e2c846d3afe0874f84e,100de2b9aecc9766539ffdfd11e3f592e613278dfc1623ac0e240a5f34a451b7,57d1081b7ff7e11b4a7a76a4a24a00a04ec2b4513f07db59c38e2881cae8e24e,2a4eaf751a4d14f1be4002db669fbcf704c26c9e68ad17e2f4c3003e19346afe,7601b3e9c0b708994d4969055bf1e3f3816672fdd793dbb1cd882e5ab2e38827,06bd17d715d759b24591ec9f3ba32abede9af4d96be4b6bcd442e29ee115399f,b0cb566c0fe1b2d8e621d44926ff3529d2468907f726a6fbd480ad9fa4ca4995,e1aeca7709896a2189038fadbd492042d6469ff991b0260363b71ec4a2f03ee9
"1009801001","-200","lsv_idle_normal","122711","1.95","1","0","1009801","-495","1","102"
"1009801002","100","lsv_idle_normal","122811","1.95","1","1","1009801","-480","1","100"
"1009801003","270","lsv_idle_normal","122911","1.95","1","1","1009801","-510","1","101"
"1009801004","0","lsv_white_loop","333","1","5","0","1009801","0","1","0"
"1009801005","1","","1","0","6","0","1009801","0","333","1"
"1009801006","1","","1","0","6","0","1009801","0","122711","1"
"1009801007","1","","1","0","6","0","1009801","0","122811","1"
"1009801008","1","","1","0","6","0","1009801","0","122911","1"
"1009801009","","","0","","93","","1009801","","1",""
"1009801010","1","","1","0.8","6","0","1009801","0.4","333","1"
"1009801011","lsv_idle_normal","","lsv_jump1","0.2","3","0.2","1009801","1","122711","0"
"1009801012","lsv_idle_normal","","lsv_jump1","0.2","3","0.2","1009801","1","122811","0"
"1009801013","lsv_idle_normal","","lsv_jump1","0.2","3","0.2","1009801","1","122911","0"
"1009801014","","","","","93","","1009801","","0.3",""
"1009801015","0.75","","-200","","2","","1009801","0","122711","-235"
"1009801016","0.75","","100","","2","","1009801","0","122811","-220"
"1009801017","0.75","","270","","2","","1009801","0","122911","-250"
"1009801018","1","","1","0.4","6","0","1009801","1","122711","1"
"1009801019","1","","1","0.4","6","0","1009801","1","122811","1"
"1009801020","1","","1","0.4","6","0","1009801","1","122911","1"
"1009801021","","","0","","93","","1009801","","2",""
"1009801022","","","lsv_talk_joy1","0.2","3","","1009801","","122911","1"
"1009801023","0","","vo_lsv_0121","","21","","1009801","","vo_lsv","0"
"1009801024","1","0","「小繆快快長大日記」♪\n開始囉開始囉～","0","11","0","1009801","1","122911","10"
"1009801025","","","","","91","","1009801","","0",""
"1009801026","","","lsv_idle_normal_joyR","0.2","3","","1009801","","122911","1"
"1009801027","","","lsv_talk_normal","0.2","3","","1009801","","122711","1"
"1009801028","0","","vo_lsv_0122","","21","","1009801","","vo_lsv","0"
"1009801029","1","0","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","0","11","0","1009801","1","122711","10"
"1009801030","","","","","91","","1009801","","0",""
"1009801031","","","lsv_idle_normal","0.2","3","","1009801","","122711","1"
"1009801032","","","lsv_idle_normal","0.2","3","","1009801","","122911","1"
"1009801033","lsv_talk_cool_loop","","lsv_talk_cool","0","3","0.2","1009801","1","122811","0"
"1009801034","0","","vo_lsv_0123","","21","","1009801","","vo_lsv","0"
"1009801035","1","0","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","0","11","0","1009801","1","122811","10"
"1009801036","","","","","91","","1009801","","0",""
"1009801037","","","lsv_talk_bitter","0.2","3","","1009801","","122811","1"
"1009801038","0","","vo_lsv_0124","","21","","1009801","","vo_lsv","0"
