f958230ba5e82c989b314640d29e905a1a329b1837b5dc9ab34889b3f4ca0977,aeb7b05bb316e5196496e701448a97d301024cb2fdc2ed7540b25f177e2738e0,972247a432bf0dacad7b7f93644d56338094d9092e30b17894ea370806a68968,be59a5da0b75e1530701b15efdedf39539d2568a090d3dc773a6232728cf5c30,6f448ab5ed0e04eb12277f15533a782f63d771acbf3e18137f64cc1d461367ed,af11a2d1871718f6328fbec14d00c162b305c791c0e72430f3c331d4687b023a,6b964766611f1c87007a0b501707ca3f2e0dd6ed78554fdce376b24eb32a4c09,1b7e918846cc30951c16ef2beb9079b45a288324bdb536b72770044acf24c604,4d0c76d3bd04733b369496d8e56fb83269c00a2d7b14799d9b07a1c4727a057d,407170839d7610e40934d3773c186d25eecc577239ba8a890107307026e44ee3,d22f6d49d4b47dd292fe4ab261c1d9b196e20d464884af9a597c7e6d6909653e,33ad8e5401767bc2c1e9a6e40e645dc3fab821d9bcc5987d6c5213c93c292d27,6810d75d4a9b88e3cd0ebb53fb4235b998442d0a9be2e8efb63fd9f6f0826673,e0b46775ea8756993cc3933cfd33de59cbf54d1756659ac8ecd1e25506879dea,1a3a5130b88d5494b6f7f5f7185d4650ed535db04016e94dcfa90796a67360fd,09028f59081f226c92fc6340192e8ecabe0f5b808efd0b89558a29e7f024f82c,b837e05caad067609022312ef83c03f6a843688d68ae229153af13c5c2634beb,cd04bbffd505edb18a3e0abab2fa4f3ee79f5bea8350493ef9f0efc4cfec40d6,262b63f676d65d34d74216e54eb03cd34f18c97a8220560effecce3537ee9b11,45c7b74278cb3b152cf129ce616898b7b13dd01250a414399e376406eda61b06,0ecb059923e9aa033180ceee465fdbd94487dc4e1de78c401ea143c43746ae59,05b873c761d47754f09c59a4f3662c6dcaa650b46e74b1897813b625bd3a5913
"1","250","-30","1001","bgm_M64","10010101","-30","101001","-480","10","1","1","1","1","0.8","101001","0.7","-120","210","0","0","0.6"
"1","0","-30","1001","bgm_M64","10010102","0","101001","-260","10","2","1","1","2","1.2","101001","1","-120","200","0","0","0.75"
"1","100","-30","1001","bgm_M64","10010103","-10","101001","-40","0","3","1","1","3","1.1","101001","1","0","200","-50","0","0.75"
"1","0","-30","1001","bgm_M64","10010104","0","101001","240","0","4","1","1","4","1","101001","1","-50","200","0","0","0.7"
"1","200","-30","1001","bgm_M55","10010105","0","101011","480","0","5","1","1","5","1.3","101011","1","-40","250","0","0","1.2"
"1","250","-30","1002","bgm_M64","10020101","-30","101001","-480","10","1","1","1","1","0.8","101021","0.7","-155","210","0","0","0.6"
"1","250","-30","1002","bgm_M64","10020102","0","101001","-265","10","2","1","1","2","1.2","101021","1","-120","200","0","0","0.75"
"1","100","-30","1002","bgm_M64","10020103","-10","101001","-30","0","3","1","1","3","1.4","101021","1","30","200","-30","-15","0.9"
"1","100","-30","1002","bgm_M64","10020104","0","101001","220","0","4","1","1","4","1.5","101021","1.25","-90","200","-30","0","1"
"1","200","-30","1002","bgm_M55","10020105","0","101011","440","0","5","1","1","5","1.8","101031","1.6","0","250","0","0","1.4"
"1","250","-30","1003","bgm_M64","10030101","-30","101041","-470","10","1","1","1","1","0.8","101041","0.7","-155","210","0","0","0.6"
"1","250","-30","1003","bgm_M64","10030102","0","101041","-210","10","2","1","1","2","1.2","101041","1","-95","200","0","0","0.75"
"1","100","-30","1003","bgm_M64","10030103","-10","101041","50","0","3","1","1","3","1.1","101041","1","-120","200","-50","0","0.75"
"1","100","-30","1003","bgm_M64","10030104","0","101041","195","0","4","1","1","4","1.5","101041","1.2","35","200","-30","0","0.8"
"1","150","-30","1003","bgm_M55","10030105","0","101042","450","0","5","1","1","5","1.8","101042","1.35","-55","210","-50","0","1.1"
"1","250","-30","1004","bgm_M64","10040101","-30","101161","-480","10","1","1","1","1","0.8","101161","0.7","-120","210","0","0","0.6"
"1","0","-30","1004","bgm_M64","10040102","0","101161","-260","10","2","1","1","2","1.2","101161","1","-120","200","0","0","0.75"
"1","100","-30","1004","bgm_M64","10040103","-10","101161","-20","0","3","1","1","3","1.4","101161","1","55","200","-30","-15","0.9"
"1","0","-30","1004","bgm_M64","10040104","0","101161","180","0","4","1","1","4","1.3","101161","1","-30","200","-30","0","0.9"
"1","200","-30","1004","bgm_M55","10040105","-30","101162","470","0","5","1","1","5","1.2","101162","0.9","-60","250","-50","-40","0.9"
"1","250","-30","1005","bgm_M64","10050101","-30","101161","-480","10","1","1","1","1","0.8","101171","0.7","-120","210","0","0","0.6"
"1","0","-30","1005","bgm_M64","10050102","0","101161","-260","10","2","1","1","2","1.2","101171","1","-120","200","0","0","0.75"
"1","100","-30","1005","bgm_M64","10050103","-10","101161","-20","0","3","1","1","3","1.4","101171","1","45","200","-30","-15","0.9"
"1","0","-30","1005","bgm_M64","10050104","0","101161","190","0","4","1","1","4","1","101171","1","-70","200","0","0","0.7"
"1","200","-30","1005","bgm_M55","10050105","0","101162","445","0","5","1","1","5","1.3","101172","1","-25","240","-30","-40","1"
