79fcdc1d50f29ccc8341a620881b8a824344945f542fd6b9f0b56f9b193c8b36,a14dd422953c933232e4154dfcd84e412c8188b70c10a9a88ef3b7a6f3258d0a,067ab3d8f279b7a644346731f592364c7beec47cdcfc3ddee2e5e560cfe5c7be,42bbb01755ea4a1cf91cb3f87daff0e15e773d8bb8687cce47b2f48044adbaa7,9451be332f202dff5f5c4987e28b7d40007587bddf9749b54f1632a3ba3256ff,891c11c49fba39d877b37068cf337fec3ce11f8015d444d8e3b961b0b8a4f02d,d36a8031e9e84cc56fbde998802e9bd534f9dc0879593f9f43240d880c506fc3,e80b61a5e43e685d6f98aed226c425f2e845bf78562d9d69f1e554fbff225f3c,bbd64fec479ab50ca7077a015cd2b44e4af9a7c7a6d042777cdf51011b9710c0,793a18208128ae0def3c19822feb6de29936cf07bbb7d9423155588c908e8748,1ac8f72a5296300b2104588582a981c52f8930fcca4fc59e9e66ce2aba68febf
"10003","10002","10006","0","0","0","50079","10001","10005","0","0"
"10003","10002","10006","0","0","10007","50084","10001","10005","0","0"
"10003","10002","10006","0","10008","10007","50094","10001","10005","0","0"
"10003","10002","10006","0","10008","10007","50108","10001","10005","10009","0"
"10003","10002","10006","0","10008","10007","50116","10001","10005","10009","0"
"10003","10002","10006","10010","10008","10007","50119","10001","10005","10009","0"
"10003","10002","10006","10010","10008","10007","50129","10001","10005","10009","0"
"10003","10002","10006","10010","10008","10007","50140","10001","10005","10009","10011"
"10005","10003","10007","10011","10009","10008","50151","10002","10006","10010","10012"
"10011","10010","10013","0","0","0","50162","10009","10012","0","0"
"10012","10011","10014","0","0","0","50172","10010","10013","0","0"
"10013","10012","10015","0","0","0","50183","10011","10014","0","0"
"10015","10014","10005","0","0","0","50190","10013","10007","0","0"
"10014","10013","10016","0","0","0","50195","10012","10015","0","0"
"10016","10015","10002","0","0","0","50200","10014","10003","0","0"
"10015","10014","10017","0","0","0","50217","10013","10016","0","0"
"10017","10016","10009","0","0","0","50231","10015","10010","0","0"
"10016","10015","10018","0","0","0","50237","10014","10017","0","0"
"0","0","0","0","0","0","50248","10019","0","0","0"
"0","0","0","0","0","0","50261","10011","0","0","0"
"0","0","0","0","0","0","50267","10020","0","0","0"
"0","0","0","0","0","0","50278","10021","0","0","0"
"0","0","0","0","0","0","50291","10006","0","0","0"
"0","0","0","0","0","0","50298","10022","0","0","0"
"0","0","0","0","0","0","50309","10023","0","0","0"
"0","0","0","0","0","0","50321","10024","0","0","0"
"0","0","0","0","0","0","50331","10025","0","0","0"
"0","0","0","0","0","0","50341","10026","0","0","0"
"0","0","0","0","0","0","50354","10027","0","0","0"
"0","0","0","0","0","0","50365","10028","0","0","0"
"0","0","0","0","0","0","50375","10029","0","0","0"
"0","0","0","0","0","0","50383","10030","0","0","0"
"0","0","0","0","0","0","50393","10019","0","0","0"
"0","0","0","0","0","0","50405","10031","0","0","0"
"0","0","0","0","0","0","50406","10032","0","0","0"
"0","0","0","0","0","0","50414","10033","0","0","0"
