52d5e5f29c02be478fe9372815d2635c2838eda22c30854d08a7f03d03479992,a524281bd8dc13534fe9e0741f16e3c89cb3747027d62da230a117961fe87b7b,7b6ed65dad9717f216f5a626d52ded257a01c3b9573ca3674efc6af0265b26fc,913d8c961381ce1d82eebea970dde8efc19077e02b13bce74e533977912cb611,08d622e095f52d3f653016a8665d238761e64c234c45ccd6e98bdd70ba23853a,e9e3dc360db511a9bd858151c5569c6ecfe1271b4f15d07567c03946c078c189,922a4a11a002155926dee15e767842683774118b0a98cf229acd1620e0bdf71e,7642129563231178baa55df08dee07288687fa4a586442bc95d5b7d6ebe1d1ce,fcbb530c1bdeb81ebec05435b76beaec8c51022f67ed2db4ac2200ee1e919a0f,06e83e8109ce9b74c34c6c4ed5fd959a4b1cfd669efdd89cec25651227b93ef6,176c1f5a1674e269d4e54aa1fa9a60579625253babf62490d3084585e33cc6f2,8f5cc842b59dbc64e31f55b2d89fba99df962581fcfa039613140376ca298456,8af4521bd3953577f7044fc5a5887d651122485db54dfb725103b9100db0ee1e,fab871dd7b5a2668e3b35529b32357af39c9bb16d8d0f41aa226d2b5c3c32ec7,0b2c71ce048249c78c70bb3e4c0f97edd1004b399785ace4d5dfc9bdd8a72758,d9e367e9a8d08158203b391e1d94d77fb224cd8d0d1a838b2c91d458923c773f,0ef1fdae1121e0a33c2c5bb0553b3c762fcdb881821427807d39c293554b6d6f,c6863acb87688c41666044041aee265d6e8eca668439728523d69dac03da0486,c4caf6ce6cb0ec23c3f090aa3f904450f5ad79d4c426add4cffda4472f8f5610,7b2e8e71df76032323da51b6038218456e5b0e5571475d9e9589b33f91ae6601,1c37b5b8500d31e445d5bfaa5b20ea0a44ad3be052cc133c15d6135369955c8c,0981519f70060cc62c5b3ffff41b8ff7c1167f0e797eb54f7e818337a761f031,30ff8b061d1b7617c379aad0b853a5f30ba6cbbf3bd538fbfb9be074d46a9e3d,9cf4dfa1c57ea5acf14ce3a9ea453aa26bf2feb30a08563ec197931a1d38ef88,f5194ec097589b3902458ff83b09a537ac8fed95da2284c442e9df992cf3f383,4baee33d6bb8156c73ec958c322211bf4a9dddfef694123802a843adb7e1dde9,50d6643ba2267d07da73c3bfbc96631d1026cefe4a16163af9405484c72f1623,2555b7b281117e852ec032d60028e541c2cd154d41c80d60c38bad4605ca75c6
"100203","100101","50","105401","180301","100003","90","1","100101","1","0","0","106001","100303","100101","100101","1001","100101","100101","0","110301","1001001","180301","100305","2024/11/01 16:00:00","0","128801","14"
"100203","100201","50","124501","101801","100003","90","1","100201","2","0","0","106001","100204","100201","100201","1001","100201","100201","0","123701","1001002","123701","100101","2024/11/01 16:00:00","0","110301","13"
"100304","100301","50","117301","110301","100003","90","1","100301","3","0","0","104001","100101","100301","100301","1001","100301","100301","0","106901","1001003","104001","100102","2024/11/01 16:00:00","0","105401","20"
"100202","100401","50","101801","101401","100003","90","1","100401","4","0","0","129001","100302","100401","100401","1001","100402","100402","0","123001","1001004","101801","100304","2024/11/01 16:00:00","0","103401","14"
"100303","100501","50","103001","102801","100003","90","1","100501","5","0","0","111001","100101","100501","100501","1001","100501","100501","0","102601","1001005","103001","100102","2024/11/01 16:00:00","0","104901","13"
"100202","100601","50","110301","123001","100003","90","1","100601","6","0","0","100801","100302","100602","100601","1001","100601","100601","0","106001","1001006","100801","100304","2024/11/01 16:00:00","0","106501","14"
"100202","100701","50","103401","105501","100003","90","1","100701","7","2","0","108301","100203","100701","100702","1001","100701","100701","0","106001","1001007","105501","100101","2024/11/01 16:00:00","0","128301","13"
"100303","100801","50","105301","101801","100003","90","1","100801","8","7","0","123001","100101","100801","100801","1001","100801","100802","0","112201","1001008","105201","100102","2024/11/01 16:00:00","0","105201","14"
"100202","100901","50","108901","113401","100003","90","1","100901","9","11","0","124501","100302","100901","100901","1001","100901","100901","0","110301","1001009","113401","100304","2024/11/01 16:00:00","0","100701","20"
"100303","101002","50","103401","124101","100003","90","2","101001","10","1","8","115001","100101","101005","101002","1001","101002","101005","0","100901","1001010","100901","100102","2024/11/01 16:00:00","0","106601","13"
"100203","101105","50","117501","110301","100003","90","2","101101","11","16","18","121301","100303","101105","101102","1001","101106","101105","0","106901","1001011","117501","100305","2024/11/01 16:00:00","0","105401","14"
"100203","101206","50","126101","117301","100003","90","2","101201","12","3","10","129001","100205","101205","101202","1001","101206","101206","0","123001","1001012","117301","100101","2024/11/01 16:00:00","0","108901","13"
"100303","101306","50","123001","106001","100003","90","2","101301","13","6","11","129001","100101","101301","101302","1001","101306","101306","0","118501","1001013","118501","100102","2024/11/02 16:00:00","0","101401","14"
"100203","101402","50","105301","126101","100003","90","2","101401","14","7","12","123001","100303","101406","101402","1001","101402","101406","0","105501","1001014","126101","100305","2024/11/02 16:00:00","0","103401","13"
"100203","101502","50","103401","106901","100003","90","2","101501","15","2","9","108301","100205","101506","101502","1001","101506","101504","0","123001","1001015","108301","100101","2024/11/02 16:00:00","0","100501","14"
"100203","101605","50","112201","123001","100003","90","3","101601","16","14","17","129001","100303","101606","101602","1001","101606","101606","0","118501","1001016","101401","100101","2024/11/03 16:00:00","18","101401","13"
"100203","101702","50","100501","101401","100003","90","3","101701","17","14","15","129001","100303","101702","101702","1001","101706","101706","0","123001","1001017","129001","100101","2024/11/03 16:00:00","16","108901","13"
"100203","101805","50","123301","103401","100003","90","3","101801","18","14","19","129001","100303","101802","101805","1001","101802","101806","0","105501","1001018","120001","100101","2024/11/03 16:00:00","0","120001","13"
"100203","100101","50","180401","121001","100003","90","1","100101","1","0","0","111801","100303","100101","100101","1002","100101","100101","0","107501","1002001","105801","100305","2024/12/01 16:00:00","0","105801","14"
"100203","100201","50","112001","180601","100003","90","1","100201","2","0","0","127201","100205","100201","100201","1002","100201","100201","0","106001","1002002","106001","100101","2024/12/01 16:00:00","0","121101","13"
"100304","100301","50","105901","107601","100003","90","1","100301","3","0","0","125301","100101","100301","100301","1002","100301","100301","0","180501","1002003","105901","100102","2024/12/01 16:00:00","0","111901","20"
"100202","100401","50","103401","110301","100003","90","1","100401","4","0","0","111401","100302","100401","100401","1002","100401","100401","0","101201","1002004","111401","100304","2024/12/01 16:00:00","0","104601","14"
