8b4803c3744dd56ed659e874fb1e5b3894c3ad71c70368dd4ad357d356c9cb87,240ecf189f4fee21d56ebdab13177c3191b38614b6cf0feb7b269c83e78f11de,7f0c30992b87d0c849b2f13a86fb81122bf6c79272e3f4e95ac5646549d5931f,804de7e885c490a755f980b931ef86bf0d8587c3495e3e7197f0a697a7a3710f,9fbff0858fca3bc0c4cf65e7b58d561eef7183ac0ef8f83ab0815fcb6fe3e195,85ac3e51409ff2e1011ad16101c54b77f858d58649eed23e833c31e3c3665fe8,11f5ef47ddd3785bbcdb8b30105c7d07170dd08b0d6ce081ec1e9ab7e6833dc1,6a6198ed4e6b610f712338d7bb92c8184a93c125515771ca0c039b07fae7ec4c,006c464231282c5c8ed51ebfb651933b59c05638c58e8768aca60ab435202e4a,754aeecafc5d99e682a5c32cd158a07ed3db93500b27af00b0f982e4f7efe9be,903188cb11cc1a6604a6b460f8cba578e5f1a61bfcb2738d01b25f23546b8f0c,04bc3b74437c181971bc8c65e573c932039e4bd54fd09fe1e3e231101f5de859,b6f894805c0ca55028de2b174573734069352cd6df671953920744c72dd8b69e,75518ac4e9a89a184692cab884df7295702b5548e2e64789fa315baf10850f4b,fd7aadd511cc8dddcd3b64d556453ad9186abf84032eb0036f3c7003cb8923d8,e64409e2b1d4fe78ef6f0591038b4cf3bf56bb8d9e2ed6e95e52701cf7556075,61cb568ed4292b6255ac26c7fdf43ac0ab95be5289099163b16390683771acc4,bf9a4fe0582ec7a977b939a2ddfa519a33adbb8cbbfabcc74ff05f967adde497
"12","5","8","0","2","2","0","22003","94002","1","1","91002","5","20","20003","150","0","150000"
"12","2","8","0","2","2","0","22003","94002","6","2","91002","9","15","20003","145","0","100000"
"12","5","8","0","2","2","0","22002","94002","10","3","91002","19","11","20003","140","0","80000"
"12","5","8","0","2","2","0","22002","94002","20","4","91002","29","10","20003","130","0","80000"
"12","4","8","0","2","2","0","22002","94002","30","5","91002","39","9","20003","120","0","70000"
"12","4","8","0","2","2","0","22002","94002","40","6","91002","49","8","20003","110","0","70000"
"12","3","8","0","2","2","0","22002","94002","50","7","91002","99","7","20003","100","0","60000"
"12","2","8","0","2","2","0","22002","94002","100","8","91002","499","2","20003","80","0","40000"
"12","1","8","0","2","2","0","22002","94002","500","9","91002","999","7","20002","50","0","20000"
"12","3","8","0","2","2","0","22001","94002","1000","10","91002","4999","4","20002","20","0","16000"
"12","2","8","0","2","2","0","22001","94002","5000","11","91002","9999","3","20002","15","0","9000"
"12","1","8","0","2","2","0","22001","94002","10000","12","91002","11999","8","20001","10","0","4000"
"12","1","8","0","2","2","0","22001","94002","12000","13","91002","13999","7","20001","5","0","3000"
"12","1","8","0","2","2","0","22001","94002","14000","14","91002","14999","6","20001","4","0","2000"
"12","1","8","0","2","2","0","22001","94002","15000","15","91002","30000","5","20001","3","0","1800"
